Player,performance_score,marker_score,geopolitical_risk,IPL_select_probability,,country,role
Abdul Malik,511.28,2.67,0.6,1,,Afghanistan,Top-order Batter
Shahidullah Kamal,605.2,3.33,0.6,1,,Afghanistan,Batter
Bahir Shah,761,4,0.6,1,,Afghanistan,Batter
Munir Ahmad Kakar,426.56,2.4,0.6,1,,Afghanistan,Wicketkeeper Batter
Darwish Rasooli,988.4,4.67,0.6,1,,Afghanistan,Top-order Batter
Zubaid Akbari,12.65,3.33,0.6,0,,Afghanistan,All-rounder
Rohullah Arab,11.11,2.67,0.6,0,,Afghanistan,All-rounder
Khatir Stanikzai,23.08,2.93,0.6,0,,Afghanistan,Bowler
Faridoon Dawoodzai,19.33,2.4,0.6,0,,Afghanistan,Bowler
Wafiullah Tarakhil,329.68,2,0.6,1,,Afghanistan,Batter
Mohammad Ishaq,521.52,3.33,0.6,1,,Afghanistan,Batter
Azizullah Mia Khil,394.8,2.4,0.6,1,,Afghanistan,Batter
Faisal Khan Ahmadzai,9.3,2.67,0.6,0,,Afghanistan,All-rounder
Nazifullah Amiri,17.68,2.93,0.6,0,,Afghanistan,All-rounder
Wahidullah Zadran,17.57,1.6,0.6,0,,Afghanistan,Off-spin Bowler
Henry Hunt,427.16,1.33,0.15,1,,Australia,Batter
Liam Scott,35.26,1.33,0.15,0,,Australia,All-rounder
Nathan McAndrew,49.74,1.33,0.15,0,,Australia,Fast Bowler
Jordan Buckingham,35.02,1.2,0.15,0,,Australia,Fast Bowler
Henry Thornton,26.38,1.07,0.15,0,,Australia,Fast Bowler
Jake Lehmann,367.79,1.33,0.15,1,,Australia,Batter
Sam Elliott,41.56,1.33,0.15,0,,Australia,Seam All-rounder
Fergus O'Neill,46.54,1.33,0.15,0,,Australia,Fast Bowler
Corey Rocchiccioli,48.59,1.33,0.15,0,,Australia,Off Spin Bowler
Liam Hatcher,53.92,1.33,0.15,0,,Australia,Fast Bowler
Cameron Gannon,54.12,1.33,0.15,0,,Australia,Fast Bowler
Jason Sangha,369.33,1.33,0.15,1,,Australia,Batter
Ben Kellaway,11.57,1.47,0.15,0,,Australia,Batting All-rounder
Mackenzie Harvey,290.34,1.33,0.15,1,,Australia,Batter
Campbell Kellaway,301.3,1.33,0.15,1,,Australia,Batter
Harry Nielsen,261.85,1.2,0.15,1,,Australia,WK Batter
Matthew Gilkes,278.77,1.33,0.15,1,,Australia,WK Batter
Ben Manenti,28.44,1.33,0.15,0,,Australia,Spin All-rounder
Anamul Haque Enam,1204.08,7.33,0.4,1,,Bangladesh,Batter
Zakir Hasan,1113.6,6.67,0.4,1,,Bangladesh,Wicketkeeper Batter
Mahidul Islam Ankon,932.84,6,0.4,1,,Bangladesh,Wicketkeeper Batter
