Player,performance_score,marker_score,geopolitical_risk,IPL_select_probability
Virat Kohli,599.82,4.14,0.15,1
Phil Salt,830.29,3.96,0.15,1
Rajat Patidar,742.8,3.16,0.15,1
Liam Livingstone,689.46,4.5,0.15,1
Jitesh Sharma,512.41,3.58,0.15,1
Tim David,512.4,3.34,0.15,1
Krunal Pandya,473.23,3.07,0.15,1
Romario Shepherd,796.47,4.06,0.15,1
Josh Hazlewood,690.45,4.22,0.15,1
Bhuvneshwar Kumar,733.23,3.03,0.15,1
Yash Dayal,458.23,3.92,0.15,1
Suyash Sharma,837.96,3.41,0.15,1
Rasikh Salam,782.98,4.16,0.15,1
Swapnil Singh,534.94,3.31,0.15,1
Manoj Bhandage,522.73,4.24,0.15,1
Devdutt Padikkal,523.36,3.7,0.15,1
Jacob Bethell,571.7,4.69,0.15,1
Nuwan Thushara,659.9,3.25,0.15,1
Abhinandan Singh,622.78,3.61,0.15,1
Mohit Rathee,566.49,3.2,0.15,1
Mayank Agarwal,694.74,4.66,0.15,1
Blessing Muzarabani,505.8,4.58,0.15,1
Ruturaj Gaikwad,566.86,3.46,0.15,1
MS Dhoni,596.54,4.19,0.15,1
Ravindra Jadeja,632.43,4.47,0.15,1
Devon Conway,764.07,4.0,0.15,1
Rachin Ravindra,529.87,3.95,0.15,1
Shivam Dube,655.69,3.44,0.15,1
Matheesha Pathirana,686.97,3.17,0.15,1
Noor Ahmad,468.58,4.61,0.15,1
Sam Curran,693.02,4.62,0.15,1
Ravichandran Ashwin,518.21,4.14,0.15,1
Deepak Hooda,476.02,3.61,0.15,1
Vijay Shankar,829.55,3.63,0.15,1
Khaleel Ahmed,836.25,4.31,0.15,1
Rahul Tripathi,773.36,4.61,0.15,1
Mukesh Choudhary,571.85,4.6,0.15,1
Anshul Kamboj,489.07,4.4,0.15,1
Nathan Ellis,723.69,4.16,0.15,1
Gurjapneet Singh,626.06,3.15,0.15,1
Kamlesh Nagarkoti,498.82,3.29,0.15,1
Shaik Rasheed,648.07,4.62,0.15,1
Hardik Pandya,463.76,4.09,0.15,1
Rohit Sharma,813.73,3.02,0.15,1
