Player Name,Playing Span,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Inning Score,Batting Average,Balls Faced,Batting Strike Rate,Hundreds Scored,Fifties Scored,Zeroes Scored,Boundary Fours,Boundary Sixes
BKG Mendis (SL),2024-2024,17,17,3,742,143,53,819,90.59,1,6,0,78,10
P Nissanka (SL),2024-2024,12,12,1,694,210*,63.09,652,106.44,3,2,1,86,17
KIC Asalanka (SL),2024-2024,18,16,4,605,101,50.41,623,97.11,1,4,1,52,18
KU Carty (WI),2024-2024,12,11,2,560,128*,62.22,636,88.05,1,3,0,51,9
H Thaker (CAN),2024-2024,15,15,3,553,111*,46.08,777,71.17,2,2,2,34,9
Rahmanullah Gurbaz (AFG),2024-2024,11,11,0,531,121,48.27,592,89.69,3,2,1,45,22
Pargat Singh (CAN),2024-2024,13,13,1,520,87*,43.33,650,80,0,5,0,62,9
Saim Ayub (PAK),2024-2024,9,9,1,515,113*,64.37,488,105.53,3,1,0,59,16
WIA Fernando (SL),2024-2024,18,17,0,515,100,30.29,595,86.55,1,3,3,55,14
MD Patel (USA),2024-2024,12,11,1,502,121*,50.2,555,90.45,1,5,2,42,9
J Liyanage (SL),2024-2024,18,13,3,462,101*,46.2,567,81.48,1,3,0,31,11
M van Lingen (NAM),2024-2024,12,12,0,445,107,37.08,478,93.09,1,3,0,62,10
MP O'Dowd (NED),2024-2024,12,12,1,428,79*,38.9,636,67.29,0,3,0,41,9
SE Rutherford (WI),2024-2024,9,7,3,425,113,106.25,354,120.05,1,4,0,33,23
Azmatullah Omarzai (AFG),2024-2024,14,12,4,417,149*,52.12,395,105.56,1,3,2,25,20
Mohammad Nabi (AFG),2024-2024,14,11,1,410,136,41,419,97.85,1,1,0,31,11
NR Kirton (CAN),2024-2024,15,14,3,398,73*,36.18,500,79.6,0,4,1,29,11
AK Sah (NEP),2024-2024,12,12,2,369,112*,36.9,392,94.13,1,4,1,38,12
Milind Kumar (USA),2024-2024,10,9,2,364,155*,52,337,108.01,1,2,2,31,11
MG Erasmus (NAM),2024-2024,12,12,1,364,63,33.09,434,83.87,0,4,0,42,9
B McMullen (SCOT),2024-2024,11,9,1,348,151,43.5,399,87.21,1,0,0,32,9
SR Mukkamalla (USA),2024-2024,8,7,2,341,107,68.2,371,91.91,1,3,1,26,6
Mahmudullah (BAN),2024-2024,9,9,2,337,98,48.14,354,95.19,0,4,1,23,15
S Movva (CAN),2024-2024,15,14,4,324,68,32.4,470,68.93,0,2,0,24,0
A Johnson (CAN),2024-2024,15,15,0,319,65,21.26,326,97.85,0,2,2,38,19
JJ Smit (NAM),2024-2024,12,11,3,314,60,39.25,480,65.41,0,1,1,18,15
HC Brook (ENG),2024-2024,5,5,1,312,110*,78,244,127.86,1,2,0,30,13
SD Hope (WI),2024-2024,12,12,3,311,117,34.55,395,78.73,1,1,0,14,11
SPD Smith (AUS),2024-2024,10,10,3,306,79*,43.71,356,85.95,0,2,0,32,5
BM Duckett (ENG),2024-2024,5,5,0,305,107,61,278,109.71,1,2,0,35,4
Mehidy Hasan Miraz (BAN),2024-2024,9,8,0,305,77,38.12,440,69.31,0,3,0,22,4
HG Munsey (SCOT),2024-2024,6,6,0,302,91,50.33,296,102.02,0,2,0,40,8
NS Dhaliwal (CAN),2024-2024,11,11,0,295,87,26.81,515,57.28,0,2,0,28,5
BA King (WI),2024-2024,9,9,0,291,102,32.33,348,83.62,1,1,0,36,5
Hashmatullah Shahidi (AFG),2024-2024,14,12,3,290,69,32.22,418,69.37,0,3,0,24,1
Najmul Hossain Shanto (BAN),2024-2024,5,5,1,286,122*,71.5,360,79.44,1,1,0,29,5
LS Livingstone (ENG),2024-2024,8,8,3,286,124*,57.2,215,133.02,1,1,2,15,21
E Lewis (WI),2024-2024,6,6,1,284,102*,56.8,246,115.44,1,1,0,21,17
Vikramjit Singh (NED),2024-2024,9,9,1,284,66,35.5,448,63.39,0,3,0,25,2
Rahmat Shah (AFG),2024-2024,14,13,1,280,65,23.33,411,68.12,0,4,0,23,1
RK Paudel (NEP),2024-2024,14,11,0,279,96,25.36,354,78.81,0,3,1,23,11
SK Patel (USA),2024-2024,8,8,1,278,70,39.71,366,75.95,0,2,0,35,1
JN Frylinck (NAM),2024-2024,10,10,0,275,73,27.5,411,66.9,0,2,1,30,0
RD Berrington (SCOT),2024-2024,11,9,4,273,89,54.6,329,82.97,0,2,0,24,6
S Samarawickrama (SL),2024-2024,18,16,2,273,52,19.5,310,88.06,0,1,1,30,1
Aasif Sheikh (NEP),2024-2024,13,13,2,272,58,24.72,362,75.13,0,3,0,36,4
SA Edwards (NED),2024-2024,12,11,1,268,72,26.8,347,77.23,0,3,0,17,1
H Klaasen (SA),2024-2024,3,3,0,264,97,88,214,123.36,0,3,0,27,8
Mohammad Rizwan (PAK),2024-2024,9,7,2,264,80,52.8,327,80.73,0,2,0,20,8
Shayan Jahangir (USA),2024-2024,12,10,3,263,104,37.57,305,86.22,1,1,1,26,4
R Chopra (UAE),2024-2024,11,11,0,260,78,23.63,369,70.46,0,2,2,22,8
Soumya Sarkar (BAN),2024-2024,9,8,0,257,73,32.12,288,89.23,0,2,0,31,7
