Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Hammad Mirza (OMA),2026-2026,7,7,1,375,112*,62.5,454,82.59,1,2,0,38,5
DJ Mitchell (NZ),2026-2026,3,3,1,352,137,176,319,110.34,2,1,0,31,8
Jatinder Singh (OMA),2026-2026,7,7,0,287,130,41,258,111.24,1,1,0,35,8
DS Airee (NEP),2026-2026,4,4,0,268,100,67,288,93.05,1,2,0,26,4
Tanzid Hasan (BAN),2026-2026,6,6,1,254,107,50.8,225,112.88,1,2,0,23,16
JE Root (ENG),2026-2026,3,3,1,247,111*,123.5,288,85.76,1,2,0,19,1
V Kohli (IND),2026-2026,3,3,0,240,124,80,228,105.26,1,1,0,20,4
Litton Das (BAN),2026-2026,6,6,1,214,76,42.8,260,82.3,0,1,0,12,4
Harpreet Singh (UAE),2026-2026,4,4,0,211,77,52.75,215,98.13,0,2,0,22,4
Najmul Hossain Shanto (BAN),2026-2026,6,6,1,209,105,41.8,260,80.38,1,1,2,22,4
A Sharma (UAE),2026-2026,4,4,0,206,105,51.5,247,83.4,1,1,0,22,5
L Steenkamp (NAM),2026-2026,4,4,0,197,78,49.25,266,74.06,0,2,0,14,4
Towhid Hridoy (BAN),2026-2026,6,5,3,194,55,97,202,96.03,0,1,0,15,3
HC Brook (ENG),2026-2026,3,3,1,184,136*,92,153,120.26,1,0,0,13,9
WA Young (NZ),2026-2026,6,6,0,180,87,30,229,78.6,0,1,0,16,1
J Ramanandi (OMA),2026-2026,7,7,1,180,91*,30,167,107.78,0,1,1,13,7
Salman Agha (PAK),2026-2026,3,3,0,175,106,58.33,168,104.16,1,1,0,17,6
V Shukla (OMA),2026-2026,7,7,1,168,58*,28,196,85.71,0,1,1,9,6
Muhammad Shahdad (UAE),2026-2026,4,4,0,166,74,41.5,163,101.84,0,2,0,10,8
P Rathnayake (SL),2026-2026,3,3,0,162,121,54,163,99.38,1,0,0,15,1
HM Nicholls (NZ),2026-2026,6,6,0,157,68,26.16,213,73.7,0,2,1,20,0
ZE Green (NAM),2026-2026,4,4,1,156,62,52,176,88.63,0,1,0,15,3
Adeeb Usmani (UAE),2026-2026,4,4,0,151,72,37.75,177,85.31,0,2,0,10,6
GD Phillips (NZ),2026-2026,3,3,1,150,106,75,132,113.63,1,0,0,12,4
NF Kelly (NZ),2026-2026,3,3,0,149,83,49.66,205,72.68,0,2,0,21,1
D Foxcroft (NZ),2026-2026,3,3,0,149,75,49.66,165,90.3,0,2,0,8,7
KL Rahul (IND),2026-2026,3,3,2,142,112*,142,119,119.32,1,0,0,13,2
BKG Mendis (SL),2026-2026,3,3,1,139,93*,69.5,171,81.28,0,1,0,16,1
Shubman Gill (IND),2026-2026,3,3,0,135,56,45,142,95.07,0,2,0,16,3
JN Frylinck (NAM),2026-2026,4,4,0,133,84,33.25,188,70.74,0,1,0,12,2
B McMullen (SCOT),2026-2026,3,2,1,122,100*,122,104,117.3,1,0,0,10,6
Wasim Ali (OMA),2026-2026,7,7,1,121,62,20.16,126,96.03,0,1,2,8,2
Aasif Sheikh (NEP),2026-2026,3,3,0,120,94,40,128,93.75,0,1,0,10,5
Saif Hassan (BAN),2026-2026,6,6,0,117,57,19.5,161,72.67,0,1,1,15,1
BM Duckett (ENG),2026-2026,3,3,0,108,62,36,145,74.48,0,1,0,7,2
AR Odedara (OMA),2026-2026,5,5,0,106,43,21.2,150,70.66,0,0,1,11,4
Maaz Sadaqat (PAK),2026-2026,3,3,0,99,75,33,79,125.31,0,1,0,9,6
P Nissanka (SL),2026-2026,3,3,0,97,50,32.33,92,105.43,0,1,0,9,4
MG Erasmus (NAM),2026-2026,4,4,0,90,54,22.5,115,78.26,0,1,0,5,1
JG Bethell (ENG),2026-2026,3,3,0,86,65,28.66,119,72.26,0,1,0,9,0
Mujibur Ali (OMA),2026-2026,4,4,0,86,43,21.5,103,83.49,0,0,0,11,0
Harshit Rana (IND),2026-2026,3,3,0,83,52,27.66,70,118.57,0,1,0,6,5
Aarif Sheikh (NEP),2026-2026,4,4,0,83,43,20.75,93,89.24,0,0,0,3,4
J Liyanage (SL),2026-2026,3,3,0,80,46,26.66,100,80,0,0,0,7,2
DP Conway (NZ),2026-2026,3,3,0,77,56,25.66,92,83.69,0,1,0,10,1
WP Myburgh (NAM),2026-2026,4,4,0,76,43,19,163,46.62,0,0,1,2,0
KIC Asalanka (SL),2026-2026,3,3,0,75,45,25,96,78.12,0,0,0,4,0
Gulsan Jha (NEP),2026-2026,3,3,1,75,44,37.5,78,96.15,0,0,0,8,2
K Nitish Kumar Reddy (IND),2026-2026,2,2,0,73,53,36.5,78,93.58,0,1,0,2,3
AD Nath (UAE),2026-2026,4,4,1,73,36*,24.33,95,76.84,0,0,0,4,2
JJ Smit (NAM),2026-2026,4,4,0,73,43,18.25,98,74.48,0,0,0,3,5
