Player,Span,Mat,Inns,Ct,Max,Ct/Inn
M Labuschagne (AUS),2024-2024,10,10,11,4,1.1
Mohammad Nabi (AFG),2024-2024,14,14,11,2,0.785
Saim Ayub (PAK),2024-2024,9,9,9,2,1
H Thaker (CAN),2024-2024,15,15,9,2,0.6
RL Chase (WI),2024-2024,12,12,8,3,0.666
G Motie (WI),2024-2024,12,12,8,3,0.666
NR Kirton (CAN),2024-2024,15,15,8,2,0.533
Soumya Sarkar (BAN),2024-2024,9,9,7,2,0.777
NS Dhaliwal (CAN),2024-2024,11,11,7,2,0.636
P Nissanka (SL),2024-2024,12,12,7,2,0.583
MP O'Dowd (NED),2024-2024,12,12,7,2,0.583
M van Lingen (NAM),2024-2024,12,12,7,3,0.583
BA King (WI),2024-2024,9,9,6,2,0.666
K Bhurtel (NEP),2024-2024,11,10,6,2,0.6
RD Berrington (SCOT),2024-2024,11,11,6,2,0.545
B McMullen (SCOT),2024-2024,11,11,6,3,0.545
NRJ Croes (NED),2024-2024,12,12,6,2,0.5
A Johnson (CAN),2024-2024,15,15,6,2,0.4
A Balbirnie (IRE),2024-2024,5,5,5,4,1
E Lewis (WI),2024-2024,6,6,5,2,0.833
Gulbadin Naib (AFG),2024-2024,7,7,5,2,0.714
Aarif Sheikh (NEP),2024-2024,9,8,5,2,0.625
SA Abbott (AUS),2024-2024,8,8,5,2,0.625
BFW de Leede (NED),2024-2024,8,8,5,1,0.625
Irfan Khan (PAK),2024-2024,8,8,5,3,0.625
LS Livingstone (ENG),2024-2024,8,8,5,2,0.625
JN Loftie-Eaton (NAM),2024-2024,8,8,5,2,0.625
Abdullah Shafique (PAK),2024-2024,9,9,5,2,0.555
Karan KC (NEP),2024-2024,9,9,5,2,0.555
JN Frylinck (NAM),2024-2024,10,10,5,2,0.5
Milind Kumar (USA),2024-2024,10,10,5,2,0.5
MG Erasmus (NAM),2024-2024,12,12,5,1,0.416
JJ Smit (NAM),2024-2024,12,12,5,2,0.416
RK Paudel (NEP),2024-2024,14,13,5,1,0.384
WIA Fernando (SL),2024-2024,18,18,5,3,0.277
DA Miller (SA),2024-2024,2,2,4,2,2
AK Markram (SA),2024-2024,6,6,4,2,0.666
KH Prajapati (OMA),2024-2024,6,6,4,2,0.666
Sediqullah Atal (AFG),2024-2024,6,6,4,3,0.666
HE van der Dussen (SA),2024-2024,6,6,4,2,0.666
GJ Maxwell (AUS),2024-2024,7,7,4,2,0.571
RE van der Merwe (NED),2024-2024,7,7,4,1,0.571
Shariz Ahmad (NED),2024-2024,8,8,4,2,0.5
Gulsan Jha (NEP),2024-2024,10,9,4,2,0.444
T Lungameni (NAM),2024-2024,9,9,4,2,0.444
MW Short (AUS),2024-2024,9,9,4,1,0.444
DN Wellalage (SL),2024-2024,9,9,4,1,0.444
AM Hardie (AUS),2024-2024,10,10,4,2,0.4
Harmeet Singh (USA),2024-2024,10,10,4,1,0.4
AK Sah (NEP),2024-2024,12,10,4,2,0.4
SC van Schalkwyk (USA),2024-2024,10,10,4,1,0.4
MRJ Watt (SCOT),2024-2024,10,10,4,1,0.4
R Chopra (UAE),2024-2024,11,11,4,2,0.363
Jasdeep Singh (USA),2024-2024,11,11,4,1,0.363
MA Leask (SCOT),2024-2024,11,11,4,2,0.363
Shayan Jahangir (USA),2024-2024,12,11,4,1,0.363
Sompal Kami (NEP),2024-2024,12,11,4,1,0.363
NP Kenjige (USA),2024-2024,12,12,4,1,0.333
Pargat Singh (CAN),2024-2024,13,13,4,1,0.307
KIC Asalanka (SL),2024-2024,18,18,4,1,0.222
Litton Das (BAN),2024-2024,5,2,3,2,1.5
IS Sodhi (NZ),2024-2024,3,2,3,2,1.5
Wasim Ali (OMA),2024-2024,2,2,3,2,1.5
RP Burl (ZIM),2024-2024,3,3,3,2,1
SP Krishnamurthi (USA),2024-2024,3,3,3,2,1
SA Engelbrecht (NED),2024-2024,4,4,3,2,0.75
D Khanal (NEP),2024-2024,4,4,3,1,0.75
