Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
HC Brook,5,2,England,v West Indies,Birmingham,29-May-25,ODI   4880
C Green,4,1,Australia,v South Africa,Mackay,22-Aug-25,ODI   4896
MJ Santner,3,1,New Zealand,v Sri Lanka,Wellington,05-Jan-25,ODI   4822
Shubman Gill,3,1,India,v England,Cuttack,09-Feb-25,ODI   4828
SPD Smith,3,1,Australia,v Sri Lanka,Colombo (RPS),12-Feb-25,ODI   4831
Abrar Ahmed,3,2,Pakistan,v New Zealand,Karachi,14-Feb-25,ODI   4838
AT Carey,3,1,Australia,v England,Lahore,22-Feb-25,ODI   4846
Mohammad Nabi,3,2,Afghanistan,v England,Lahore,26-Feb-25,ODI   4849
M Jansen,3,1,South Africa,v England,Karachi,01-Mar-25,ODI   4851
DJ Mitchell,3,2,New Zealand,v Pakistan,Hamilton,02-Apr-25,ODI   4862
TL Seifert,3,2,New Zealand,v Pakistan,Mount Maunganui,05-Apr-25,ODI   4863
R Chopra,3,2,U.A.E.,v Scotland,Amstelveen,04-May-25,ODI   4864
SK Patel,3,1,U.S.A.,v Oman,Lauderhill,21-May-25,ODI   4874
JNT Seales,3,2,West Indies,v England,Cardiff,01-Jun-25,ODI   4881
MW Jones,3,2,Scotland,v Nepal,Dundee,08-Jun-25,ODI   4886
R Trumpelmann,3,1,Namibia,v Canada,King City (NW),27-Aug-25,ODI   4898
MT Renshaw,3,1,Australia,v India,Perth,19-Oct-25,ODI   4911
AWJ Auguste,3,1,West Indies,v Bangladesh,Mirpur,23-Oct-25,ODI   4914
N Peter,3,1,South Africa,v Pakistan,Faisalabad,06-Nov-25,ODI   4926
C Wickramasinghe,2,1,Sri Lanka,v New Zealand,Hamilton,08-Jan-25,ODI   4823
DJ Mitchell,2,2,New Zealand,v Sri Lanka,Hamilton,08-Jan-25,ODI   4823
NG Smith,2,1,New Zealand,v Sri Lanka,Auckland,11-Jan-25,ODI   4824
