Player,Dismissed,Ct Wk,St,Inns,Team,Opposition,Ground,Match Date,Scorecard
Mohammad Rizwan,6,6,0,1,Pakistan,v Australia,Adelaide,08-Nov-24,ODI   4801
SK Patel,5,4,1,2,U.S.A.,v U.A.E.,Windhoek,24-Sep-24,ODI   4774
Mushfiqur Rahim,4,4,0,1,Bangladesh,v Sri Lanka,Chattogram,13-Mar-24,ODI   4743
Mushfiqur Rahim,4,4,0,1,Bangladesh,v Sri Lanka,Chattogram,18-Mar-24,ODI   4745
S Movva,4,4,0,1,Canada,v U.S.A.,Rotterdam,19-Aug-24,ODI   4759
SK Patel,4,4,0,1,U.S.A.,v U.A.E.,Windhoek,18-Sep-24,ODI   4763
J Gumbie,3,3,0,2,Zimbabwe,v Sri Lanka,Colombo (RPS),08-Jan-24,ODI   4719
S Movva,3,3,0,2,Canada,v Nepal,Kirtipur,10-Feb-24,ODI   4726
Aasif Sheikh,3,2,1,1,Nepal,v Canada,Kirtipur,10-Feb-24,ODI   4726
MH Cross,3,3,0,1,Scotland,v Oman,Dundee,16-Jul-24,ODI   4746
S Movva,3,3,0,1,Canada,v Netherlands,Rotterdam,17-Aug-24,ODI   4758
JP Inglis,3,2,1,1,Australia,v England,Bristol,29-Sep-24,ODI   4779
LJ Tucker,3,3,0,2,Ireland,v South Africa,Abu Dhabi,07-Oct-24,ODI   4782
JP Inglis,3,3,0,1,Australia,v Pakistan,Melbourne,04-Nov-24,ODI   4795
Mushfiqur Rahim,3,3,0,1,Bangladesh,v Afghanistan,Sharjah,06-Nov-24,ODI   4798
SD Hope,3,3,0,1,West Indies,v England,Bridgetown,06-Nov-24,ODI   4799
Hammad Mirza,3,2,1,1,Oman,v U.A.E.,Al Amerat,07-Nov-24,ODI   4800
Mohammad Rizwan,3,3,0,1,Pakistan,v Australia,Perth,10-Nov-24,ODI   4804
MJ Hay,3,3,0,2,New Zealand,v Sri Lanka,Pallekele,17-Nov-24,ODI   4808
BKG Mendis,3,1,2,1,Sri Lanka,v New Zealand,Pallekele,17-Nov-24,ODI   4808
T Marumani,3,3,0,2,Zimbabwe,v Pakistan,Bulawayo,24-Nov-24,ODI   4810
Mohammad Rizwan,3,3,0,1,Pakistan,v Zimbabwe,Bulawayo,24-Nov-24,ODI   4810
Ikram Alikhil,3,2,1,2,Afghanistan,v Zimbabwe,Harare,19-Dec-24,ODI   4818
BKG Mendis,2,1,1,1,Sri Lanka,v Zimbabwe,Colombo (RPS),11-Jan-24,ODI   4720
JP Inglis,2,2,0,2,Australia,v West Indies,Sydney,04-Feb-24,ODI   4722
BKG Mendis,2,2,0,2,Sri Lanka,v Afghanistan,Pallekele,11-Feb-24,ODI   4727
Aasif Sheikh,2,1,1,2,Nepal,v Namibia,Kirtipur,21-Feb-24,ODI   4733
ZE Green,2,1,1,1,Namibia,v Nepal,Kirtipur,21-Feb-24,ODI   4733
SA Edwards,2,2,0,1,Netherlands,v Namibia,Kirtipur,23-Feb-24,ODI   4734
V Aravind,2,2,0,1,U.A.E.,v Canada,Dubai (DICS),05-Mar-24,ODI   4739
SA Wijeyeratne,2,2,0,2,Canada,v U.A.E.,Dubai (DICS),05-Mar-24,ODI   4739
SA Wijeyeratne,2,1,1,1,Canada,v Scotland,Dubai (DICS),07-Mar-24,ODI   4740
Ikram Alikhil,2,2,0,2,Afghanistan,v Ireland,Sharjah,07-Mar-24,ODI   4741
Ikram Alikhil,2,2,0,2,Afghanistan,v Ireland,Sharjah,12-Mar-24,ODI   4742
LJ Tucker,2,2,0,1,Ireland,v Afghanistan,Sharjah,12-Mar-24,ODI   4742
BKG Mendis,2,1,1,1,Sri Lanka,v Bangladesh,Chattogram,15-Mar-24,ODI   4744
Mushfiqur Rahim,2,2,0,2,Bangladesh,v Sri Lanka,Chattogram,15-Mar-24,ODI   4744
BKG Mendis,2,2,0,2,Sri Lanka,v Bangladesh,Chattogram,18-Mar-24,ODI   4745
PS Athavale,2,2,0,1,Oman,v Namibia,Dundee,24-Jul-24,ODI   4750
BKG Mendis,2,2,0,2,Sri Lanka,v India,Colombo (RPS),02-Aug-24,ODI   4752
BKG Mendis,2,1,1,2,Sri Lanka,v India,Colombo (RPS),07-Aug-24,ODI   4754
S Movva,2,1,1,1,Canada,v U.S.A.,The Hague,13-Aug-24,ODI   4756
SA Edwards,2,2,0,2,Netherlands,v Canada,Rotterdam,17-Aug-24,ODI   4758
SK Patel,2,2,0,2,U.S.A.,v Canada,Rotterdam,19-Aug-24,ODI   4759
SA Edwards,2,2,0,2,Netherlands,v U.S.A.,Rotterdam,21-Aug-24,ODI   4760
SK Patel,2,2,0,1,U.S.A.,v Netherlands,Rotterdam,21-Aug-24,ODI   4760
S Movva,2,2,0,2,Canada,v Nepal,King City (NW),16-Sep-24,ODI   4762
PS Athavale,2,2,0,1,Oman,v Nepal,King City (NW),18-Sep-24,ODI   4765
A Saud,2,2,0,2,Nepal,v Oman,King City (NW),18-Sep-24,ODI   4765
S Movva,2,2,0,2,Canada,v Oman,King City (NW),20-Sep-24,ODI   4769
AT Carey,2,2,0,2,Australia,v England,Leeds,21-Sep-24,ODI   4770
JL Smith,2,2,0,1,England,v Australia,Chester-le-Street,24-Sep-24,ODI   4775
JL Smith,2,2,0,2,England,v Australia,Lord's,27-Sep-24,ODI   4778
RD Rickelton,2,2,0,2,South Africa,v Ireland,Abu Dhabi,04-Oct-24,ODI   4781
MH Cross,2,1,1,2,Scotland,v U.S.A.,Dallas,31-Oct-24,ODI   4789
Hammad Mirza,2,1,1,1,Oman,v U.A.E.,Al Amerat,01-Nov-24,ODI   4791
SA Edwards,2,1,1,1,Netherlands,v U.A.E.,Al Amerat,03-Nov-24,ODI   4794
SA Edwards,2,1,1,2,Netherlands,v U.A.E.,Al Amerat,09-Nov-24,ODI   4802
SD Hope,2,2,0,1,West Indies,v Bangladesh,Basseterre,08-Dec-24,ODI   4813
Ikram Alikhil,2,2,0,1,Afghanistan,v Zimbabwe,Harare,17-Dec-24,ODI   4816
Mohammad Rizwan,2,2,0,2,Pakistan,v South Africa,Cape Town,19-Dec-24,ODI   4819
Ikram Alikhil,2,2,0,1,Afghanistan,v Zimbabwe,Harare,21-Dec-24,ODI   4820
C Madande,1,1,0,1,Zimbabwe,v Sri Lanka,Colombo (RPS),06-Jan-24,ODI   4718
BKG Mendis,1,1,0,1,Sri Lanka,v Zimbabwe,Colombo (RPS),08-Jan-24,ODI   4719
J Gumbie,1,1,0,2,Zimbabwe,v Sri Lanka,Colombo (RPS),11-Jan-24,ODI   4720
JP Inglis,1,1,0,1,Australia,v West Indies,Melbourne,02-Feb-24,ODI   4721
SD Hope,1,1,0,2,West Indies,v Australia,Melbourne,02-Feb-24,ODI   4721
SD Hope,1,1,0,1,West Indies,v Australia,Sydney,04-Feb-24,ODI   4722
JP Inglis,1,1,0,1,Australia,v West Indies,Canberra,06-Feb-24,ODI   4723
SD Hope,1,1,0,2,West Indies,v Australia,Canberra,06-Feb-24,ODI   4723
S Movva,1,0,1,1,Canada,v Nepal,Kirtipur,08-Feb-24,ODI   4724
BKG Mendis,1,1,0,2,Sri Lanka,v Afghanistan,Pallekele,09-Feb-24,ODI   4725
Aasif Sheikh,1,1,0,2,Nepal,v Namibia,Kirtipur,15-Feb-24,ODI   4730
Aasif Sheikh,1,1,0,1,Nepal,v Netherlands,Kirtipur,17-Feb-24,ODI   4731
SA Edwards,1,0,1,1,Netherlands,v Namibia,Kirtipur,19-Feb-24,ODI   4732
ZE Green,1,0,1,2,Namibia,v Netherlands,Kirtipur,23-Feb-24,ODI   4734
Aasif Sheikh,1,1,0,2,Nepal,v Netherlands,Kirtipur,25-Feb-24,ODI   4735
T Suri,1,1,0,2,U.A.E.,v Canada,Dubai (DICS),28-Feb-24,ODI   4736
SA Wijeyeratne,1,1,0,1,Canada,v Scotland,Dubai (DICS),01-Mar-24,ODI   4737
MH Cross,1,0,1,1,Scotland,v U.A.E.,Dubai (DICS),03-Mar-24,ODI   4738
PS Athavale,1,1,0,2,Oman,v Namibia,Dundee,18-Jul-24,ODI   4747
JP Kotze,1,1,0,1,Namibia,v Oman,Dundee,18-Jul-24,ODI   4747
PS Athavale,1,1,0,2,Oman,v Scotland,Dundee,22-Jul-24,ODI   4749
MH Cross,1,1,0,1,Scotland,v Oman,Dundee,22-Jul-24,ODI   4749
MH Cross,1,1,0,2,Scotland,v Namibia,Dundee,26-Jul-24,ODI   4751
KL Rahul,1,1,0,1,India,v Sri Lanka,Colombo (RPS),04-Aug-24,ODI   4753
RR Pant,1,1,0,1,India,v Sri Lanka,Colombo (RPS),07-Aug-24,ODI   4754
A Sharma,1,1,0,1,U.A.E.,v Namibia,Windhoek,20-Sep-24,ODI   4767
Ikram Alikhil,1,1,0,2,Afghanistan,v South Africa,Sharjah,20-Sep-24,ODI   4768
K Verreynne,1,0,1,1,South Africa,v Afghanistan,Sharjah,20-Sep-24,ODI   4768
JL Smith,1,1,0,1,England,v Australia,Leeds,21-Sep-24,ODI   4770
ZE Green,1,1,0,2,Namibia,v U.S.A.,Windhoek,22-Sep-24,ODI   4771
SK Patel,1,1,0,1,U.S.A.,v Namibia,Windhoek,22-Sep-24,ODI   4771
K Verreynne,1,1,0,1,South Africa,v Afghanistan,Sharjah,22-Sep-24,ODI   4772
Ikram Alikhil,1,1,0,2,Afghanistan,v South Africa,Sharjah,22-Sep-24,ODI   4772
S Movva,1,1,0,1,Canada,v Nepal,King City (NW),22-Sep-24,ODI   4773
A Saud,1,1,0,2,Nepal,v Canada,King City (NW),22-Sep-24,ODI   4773
S Movva,1,1,0,1,Canada,v Oman,King City (NW),26-Sep-24,ODI   4777
JL Smith,1,1,0,2,England,v Australia,Bristol,29-Sep-24,ODI   4779
RD Rickelton,1,1,0,2,South Africa,v Ireland,Abu Dhabi,02-Oct-24,ODI   4780
