Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
MJ Henry (NZ),2025-2025,13,13,669,111.3,7,576,31,May-42,18.58,5.16,21.58,3,1
BM Scholtz (NAM),2025-2025,11,11,600,100,11,310,30,May-22,10.33,3.1,20,2,1
AU Rashid (ENG),2025-2025,15,15,724,120.4,4,709,30,Apr-63,23.63,5.87,24.13,2,0
JNT Seales (WI),2025-2025,12,11,511,85.1,8,490,27,Jun-18,18.14,5.75,18.92,1,1
MJ Santner (NZ),2025-2025,17,17,880,146.4,7,671,25,Mar-41,26.84,4.57,35.2,0,0
Harmeet Singh (USA),2025-2025,12,11,589,98.1,8,373,23,Jun-27,16.21,3.79,25.6,0,1
AM Fernando (SL),2025-2025,12,12,524,87.2,3,490,23,Apr-35,21.3,5.61,22.78,1,0
Shakeel Ahmed (OMA),2025-2025,8,8,454,75.4,10,249,22,Apr-25,11.31,3.29,20.63,2,0
JA Duffy (NZ),2025-2025,11,11,496,82.4,6,451,21,Mar-35,21.47,5.45,23.61,0,0
SN Netravalkar (USA),2025-2025,11,11,556,92.4,15,328,20,Apr-33,16.4,3.53,27.8,1,0
Milind Kumar (USA),2025-2025,12,12,520,86.4,4,366,20,May-66,18.3,4.22,26,1,1
Harshit Rana (IND),2025-2025,11,11,510,85,4,511,20,Apr-39,25.55,6.01,25.5,1,0
K Klein (NED),2025-2025,10,9,491,81.5,5,415,19,Apr-44,21.84,5.07,25.84,1,0
PA van Meekeren (NED),2025-2025,11,10,540,90,4,487,19,Apr-58,25.63,5.41,28.42,1,0
B McMullen (SCOT),2025-2025,11,10,588,98,11,512,19,Apr-55,26.94,5.22,30.94,1,0
Kuldeep Yadav (IND),2025-2025,11,11,625,104.1,1,551,19,Apr-41,29,5.28,32.89,2,0
L Ngidi (SA),2025-2025,13,13,590,98.2,3,621,19,May-42,32.68,6.31,31.05,0,1
JJ Smit (NAM),2025-2025,11,11,467,77.5,10,339,18,Apr-46,18.83,4.35,25.94,1,0
PW Hasaranga (SL),2025-2025,10,10,452,75.2,6,354,18,04-Oct,19.66,4.69,25.11,1,0
JC Archer (ENG),2025-2025,9,9,480,80,11,404,18,Apr-18,22.44,5.05,26.66,2,0
Abrar Ahmed (PAK),2025-2025,10,10,570,95,3,424,18,Apr-27,23.55,4.46,31.66,1,0
KA Maharaj (SA),2025-2025,12,12,669,111.3,2,586,18,May-33,32.55,5.25,37.16,1,1
Naseem Shah (PAK),2025-2025,14,13,709,118.1,4,714,18,Mar-40,39.66,6.04,39.38,0,0
Rishad Hossain (BAN),2025-2025,7,7,402,67,0,307,17,Jun-35,18.05,4.58,23.64,0,1
S Shrivastava (OMA),2025-2025,8,8,391,65.1,2,312,17,Apr-56,18.35,4.78,23,1,0
NG Smith (NZ),2025-2025,12,12,457,76.1,3,498,17,Apr-42,29.29,6.53,26.88,2,0
MG Bracewell (NZ),2025-2025,18,15,720,120,3,542,17,Apr-26,31.88,4.51,42.35,1,0
W O'Rourke (NZ),2025-2025,14,14,731,121.5,4,683,17,Apr-43,40.17,5.6,43,1,0
BJ Currie (SCOT),2025-2025,5,5,245,40.5,1,168,16,Apr-26,10.5,4.11,15.31,2,0
Tanvir Islam (BAN),2025-2025,9,9,528,88,3,371,16,May-39,23.18,4.21,33,0,1
N Burger (SA),2025-2025,9,9,415,69.1,2,446,16,Apr-46,27.87,6.44,25.93,1,0
A Zampa (AUS),2025-2025,10,10,521,86.5,1,513,16,Apr-60,32.06,5.9,32.56,1,0
Shaheen Shah Afridi (PAK),2025-2025,12,12,601,100.1,1,627,16,Apr-51,39.18,6.25,37.56,1,0
MG Erasmus (NAM),2025-2025,11,11,400,66.4,5,332,15,May-34,22.13,4.98,26.66,1,1
Kaleem Sana (CAN),2025-2025,10,9,450,75,3,360,15,Apr-33,24,4.8,30,1,0
Haris Rauf (PAK),2025-2025,9,9,452,75.2,2,453,15,Apr-61,30.2,6.01,30.13,1,0
Azmatullah Omarzai (AFG),2025-2025,6,6,257,42.5,1,227,14,May-58,16.21,5.29,18.35,0,1
S Lamichhane (NEP),2025-2025,8,8,480,80,2,378,14,Mar-39,27,4.72,34.28,0,0
Junaid Siddique (UAE),2025-2025,9,9,480,80,3,403,14,Mar-44,28.78,5.03,34.28,0,0
M Theekshana (SL),2025-2025,11,11,541,90.1,5,405,14,Apr-40,28.92,4.49,38.64,2,0
Jasdeep Singh (USA),2025-2025,10,9,419,69.5,3,395,13,Mar-64,30.38,5.65,32.23,0,0
RL Chase (WI),2025-2025,15,14,567,94.3,4,468,13,Feb-30,36,4.95,43.61,0,0
Rashid Khan (AFG),2025-2025,6,5,267,44.3,3,192,12,May-17,16,4.31,22.25,0,1
Simranjeet Singh (UAE),2025-2025,6,6,342,57,2,247,12,Apr-30,20.58,4.33,28.5,1,0
Karan KC (NEP),2025-2025,8,8,428,71.2,8,387,12,Mar-58,32.25,5.42,35.66,0,0
RA Jadeja (IND),2025-2025,10,10,516,86,3,401,12,Mar-26,33.41,4.66,43,0,0
PWA Mulder (SA),2025-2025,10,9,392,65.2,2,441,12,Mar-25,36.75,6.75,32.66,0,0
Tanzim Hasan Sakib (BAN),2025-2025,6,6,256,42.4,1,244,11,Mar-31,22.18,5.71,23.27,0,0
A Dutt (NED),2025-2025,7,6,330,55,4,255,11,Mar-28,23.18,4.63,30,0,0
SM Sharif (SCOT),2025-2025,8,8,339,56.3,3,260,11,Mar-62,23.63,4.6,30.81,0,0
NP Kenjige (USA),2025-2025,9,9,489,81.3,3,330,11,05-Nov,30,4.04,44.45,0,1
Mohammed Shami (IND),2025-2025,7,7,341,56.5,1,337,11,May-53,30.63,5.92,31,0,1
S Mahmood (ENG),2025-2025,8,8,374,62.2,2,352,11,Mar-32,32,5.64,34,0,0
AR Patel (IND),2025-2025,11,11,506,84.2,3,377,11,Feb-22,34.27,4.47,46,0,0
Mehidy Hasan Miraz (BAN),2025-2025,11,11,641,106.5,6,452,11,Mar-42,41.09,4.23,58.27,0,0
MRJ Watt (SCOT),2025-2025,11,11,623,103.5,2,479,11,Feb-34,43.54,4.61,56.63,0,0
BA Carse (ENG),2025-2025,11,11,499,83.1,3,549,11,Mar-45,49.9,6.6,45.36,0,0
CV Varun (IND),2025-2025,4,4,240,40,0,190,10,May-42,19,4.75,24,0,1
BV Sears (NZ),2025-2025,4,4,206,34.2,0,197,10,May-34,19.7,5.73,20.6,0,2
R Ngarava (ZIM),2025-2025,5,5,268,44.4,2,238,10,Mar-56,23.8,5.32,26.8,0,0
AS Joseph (WI),2025-2025,6,5,258,43,2,240,10,Apr-31,24,5.58,25.8,1,0
BJ Dwarshuis (AUS),2025-2025,5,5,270,45,1,252,10,Mar-47,25.2,5.6,27,0,0
Arshdeep Singh (IND),2025-2025,6,6,278,46.2,2,259,10,Feb-33,25.9,5.58,27.8,0,0
D Heyliger (CAN),2025-2025,7,6,264,44,1,261,10,Mar-45,26.1,5.93,26.4,0,0
KA Jamieson (NZ),2025-2025,7,7,330,55,6,300,10,Mar-44,30,5.45,33,0,0
R Trumpelmann (NAM),2025-2025,11,10,439,73.1,6,396,10,Mar-24,39.6,5.41,43.9,0,0
C Bosch (SA),2025-2025,11,11,508,84.4,2,587,10,Feb-32,58.7,6.93,50.8,0,0
ZG Foulkes (NZ),2025-2025,5,5,192,32,2,144,9,Apr-41,16,4.5,21.33,1,0
BM Tickner (NZ),2025-2025,3,3,144,24,1,159,9,Apr-34,17.66,6.62,16,2,0
BJ McCarthy (IRE),2025-2025,3,3,163,27.1,0,200,9,Apr-32,22.22,7.36,18.11,1,0
Aamir Kaleem (OMA),2025-2025,8,8,384,64,8,240,9,Feb-16,26.66,3.75,42.66,0,0
J Overton (ENG),2025-2025,8,8,290,48.2,1,261,9,Mar-22,29,5.4,32.22,0,0
PVD Chameera (SL),2025-2025,6,6,330,55,2,309,9,Mar-51,34.33,5.61,36.66,0,0
MW Forde (WI),2025-2025,8,7,360,60,5,413,9,Mar-68,45.88,6.88,40,0,0
G Motie (WI),2025-2025,12,11,522,87,0,498,9,Mar-65,55.33,5.72,58,0,0
DN Wellalage (SL),2025-2025,4,4,182,30.2,0,133,8,Apr-35,16.62,4.38,22.75,1,0
ZB Lion-Cachet (NED),2025-2025,11,8,188,31.2,0,167,8,Mar-15,20.87,5.32,23.5,0,0
JN Loftie-Eaton (NAM),2025-2025,11,9,259,43.1,2,206,8,Mar-22,25.75,4.77,32.37,0,0
Taskin Ahmed (BAN),2025-2025,6,6,276,46,5,222,8,Apr-47,27.75,4.82,34.5,1,0
Shivam Sharma (CAN),2025-2025,6,6,270,45,2,235,8,Apr-69,29.37,5.22,33.75,1,0
M Prasidh Krishna (IND),2025-2025,4,4,195,32.3,1,251,8,Apr-66,31.37,7.72,24.37,1,0
M Levitt (NED),2025-2025,8,8,330,55,0,275,8,Mar-49,34.37,5,41.25,0,0
M Jansen (SA),2025-2025,6,6,318,53,2,328,8,Mar-39,41,6.18,39.75,0,0
NT Ellis (AUS),2025-2025,9,9,453,75.3,3,397,8,Feb-23,49.62,5.25,56.62,0,0
R Ugarkar (USA),2025-2025,3,3,115,19.1,1,83,7,May-22,11.85,4.33,16.42,0,1
XC Bartlett (AUS),2025-2025,3,3,150,25,2,129,7,Mar-39,18.42,5.16,21.42,0,0
Jay Odedra (OMA),2025-2025,5,5,240,40,7,141,7,Mar-23,20.14,3.52,34.28,0,0
Akif Javed (PAK),2025-2025,3,3,168,28,2,165,7,Apr-62,23.57,5.89,24,1,0
Aayan Afzal Khan (UAE),2025-2025,4,4,185,30.5,1,178,7,Mar-41,25.42,5.77,26.42,0,0
MA Leask (SCOT),2025-2025,11,9,260,43.2,1,246,7,Feb-40,35.14,5.67,37.14,0,0
B Muzarabani (ZIM),2025-2025,5,5,285,47.3,4,268,7,Apr-51,38.28,5.64,40.71,1,0
Mohammad Wasim (PAK),2025-2025,5,5,276,46,0,270,7,Mar-47,38.57,5.86,39.42,0,0
HH Pandya (IND),2025-2025,8,8,261,43.3,1,271,7,Feb-31,38.71,6.22,37.28,0,0
J Jarvis (SCOT),2025-2025,7,7,319,53.1,2,281,7,Feb-34,40.14,5.28,45.57,0,0
Mohammad Nawaz (PAK),2025-2025,7,7,324,54,0,282,7,Feb-17,40.28,5.22,46.28,0,0
JJ Davidson (SCOT),2025-2025,5,5,264,44,0,293,7,Feb-40,41.85,6.65,37.71,0,0
RE van der Merwe (NED),2025-2025,8,8,427,71.1,1,343,7,Mar-34,49,4.81,61,0,0
JP Greaves (WI),2025-2025,14,10,372,62,0,415,7,Feb-32,59.28,6.69,53.14,0,0
AJ Hosein (WI),2025-2025,2,2,120,20,2,82,6,Apr-41,13.66,4.1,20,1,0
CPL Connolly (AUS),2025-2025,6,4,132,22,0,106,6,May-22,17.66,4.81,22,0,1
