Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
Nahid Rana (BAN),2026-2026,6,6,342,57,2,279,16,17.43,4.89,21.37,0,2
Junaid Siddique (UAE),2026-2026,4,4,217,36.1,4,187,12,15.58,5.17,18.08,0,1
Ajay Kumar (UAE),2026-2026,4,4,221,36.5,4,169,11,15.36,4.58,20.09,0,1
Hassnain Shah (OMA),2026-2026,5,5,209,34.5,0,214,11,19.45,6.14,19,1,0
Muhammed Imran (OMA),2026-2026,4,4,156,26,2,151,10,15.1,5.8,15.6,0,1
Mustafizur Rahman (BAN),2026-2026,4,4,196,32.4,2,168,10,16.8,5.14,19.6,0,1
Shakeel Ahmed (OMA),2026-2026,7,7,372,62,2,273,10,27.3,4.4,37.2,0,0
Taskin Ahmed (BAN),2026-2026,5,5,268,44.4,2,233,9,25.88,5.21,29.77,1,0
S Lamichhane (NEP),2026-2026,4,4,221,36.5,5,115,8,14.37,3.12,27.62,0,0
Nadeem Khan (OMA),2026-2026,3,3,174,29,0,138,8,17.25,4.75,21.75,0,0
Sompal Kami (NEP),2026-2026,3,3,156,26,1,165,8,20.62,6.34,19.5,1,0
JR Lennox (NZ),2026-2026,5,5,294,49,2,202,8,25.25,4.12,36.75,0,0
Mehidy Hasan Miraz (BAN),2026-2026,6,6,353,58.5,3,228,8,28.5,3.87,44.12,0,0
J Jarvis (SCOT),2026-2026,3,3,130,21.4,0,96,7,13.71,4.43,18.57,0,0
AU Rashid (ENG),2026-2026,3,3,180,30,0,139,7,19.85,4.63,25.71,0,0
KDC Clarke (NZ),2026-2026,3,3,162,27,0,183,7,26.14,6.77,23.14,0,0
Rishad Hossain (BAN),2026-2026,5,5,201,33.3,0,187,7,26.71,5.58,28.71,0,0
Haris Rauf (PAK),2026-2026,2,2,87,14.3,0,78,6,13,5.37,14.5,0,0
JT Brassell (NAM),2026-2026,4,3,168,28,1,121,6,20.16,4.32,28,1,0
KA Jamieson (NZ),2026-2026,3,3,174,29,3,169,6,28.16,5.82,29,1,0
Harshit Rana (IND),2026-2026,3,3,177,29.3,1,201,6,33.5,6.81,29.5,0,0
Shoriful Islam (BAN),2026-2026,3,3,162,27,3,78,5,15.6,2.88,32.4,0,0
Gulsan Jha (NEP),2026-2026,3,3,114,19,1,104,5,20.8,5.47,22.8,0,1
Karan KC (NEP),2026-2026,3,3,134,22.2,3,106,5,21.2,4.74,26.8,1,0
W O'Rourke (NZ),2026-2026,3,3,138,23,1,124,5,24.8,5.39,27.6,0,0
JDF Vandersay (SL),2026-2026,3,3,180,30,0,160,5,32,5.33,36,0,0
B McMullen (SCOT),2026-2026,3,3,108,18,2,70,4,17.5,3.88,27,0,0
BM Tickner (NZ),2026-2026,2,2,90,15,0,75,4,18.75,5,22.5,1,0
SM Sharif (SCOT),2026-2026,2,2,66,11,0,76,4,19,6.9,16.5,0,0
MRJ Watt (SCOT),2026-2026,3,3,144,24,1,79,4,19.75,3.29,36,0,0
R Trumpelmann (NAM),2026-2026,3,2,120,20,1,91,4,22.75,4.55,30,0,0
DM de Silva (SL),2026-2026,3,3,120,20,0,104,4,26,5.2,30,0,0
Shaheen Shah Afridi (PAK),2026-2026,3,3,120,20,1,112,4,28,5.6,30,0,0
LA Dawson (ENG),2026-2026,3,3,180,30,2,119,4,29.75,3.96,45,0,0
DS Airee (NEP),2026-2026,4,4,174,29,1,126,4,31.5,4.34,43.5,0,0
J Overton (ENG),2026-2026,3,3,108,18,1,135,4,33.75,7.5,27,0,0
NG Smith (NZ),2026-2026,3,3,153,25.3,1,141,4,35.25,5.52,38.25,0,0
Muhammad Shahdad (UAE),2026-2026,4,4,141,23.3,0,144,4,36,6.12,35.25,0,0
ZG Foulkes (NZ),2026-2026,3,3,168,28,0,193,4,48.25,6.89,42,0,0
Maaz Sadaqat (PAK),2026-2026,3,2,36,6,0,32,3,10.66,5.33,12,0,0
Pramod Madushan (SL),2026-2026,2,2,52,8.4,0,59,3,19.66,6.8,17.33,0,0
Arshdeep Singh (IND),2026-2026,1,1,60,10,1,63,3,21,6.3,20,0,0
NK Yadav (NEP),2026-2026,2,2,66,11,0,89,3,29.66,8.09,22,0,0
WG Jacks (ENG),2026-2026,2,2,108,18,0,90,3,30,5,36,0,0
S Shrivastava (OMA),2026-2026,2,2,81,13.3,0,90,3,30,6.66,27,0,0
Wasim Ali (OMA),2026-2026,7,6,72,12,0,98,3,32.66,8.16,24,0,0
M Heingo (NAM),2026-2026,2,2,97,16.1,2,100,3,33.33,6.18,32.33,0,0
M Prasidh Krishna (IND),2026-2026,2,2,108,18,0,109,3,36.33,6.05,36,0,0
Khuzaima Tanveer (UAE),2026-2026,3,3,135,22.3,1,110,3,36.66,4.88,45,0,0
Shah Faisal (OMA),2026-2026,2,2,120,20,2,123,3,41,6.15,40,0,0
