Player,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
Mohammad Rizwan (PAK),2025-2025,17,16,22,18,4,3 (3ct 0st),1.375
TWM Latham (NZ),2025-2025,16,16,19,17,2,3 (3ct 0st),1.187
SD Hope (WI),2025-2025,15,14,17,15,2,4 (4ct 0st),1.214
KL Rahul (IND),2025-2025,14,14,17,14,3,4 (4ct 0st),1.214
RD Rickelton (SA),2025-2025,11,7,14,10,4,3 (3ct 0st),2
V Shukla (OMA),2025-2025,8,8,12,9,3,3 (3ct 0st),1.5
JC Buttler (ENG),2025-2025,15,9,12,11,1,3 (3ct 0st),1.333
SK Patel (USA),2025-2025,12,10,12,10,2,6 (5ct 1st),1.2
ZE Green (NAM),2025-2025,11,11,12,11,1,3 (3ct 0st),1.09
A Sharma (UAE),2025-2025,9,8,10,9,1,3 (3ct 0st),1.25
SA Edwards (NED),2025-2025,10,9,10,10,0,3 (3ct 0st),1.111
MJ Hay (NZ),2025-2025,4,4,9,9,0,4 (4ct 0st),2.25
MH Cross (SCOT),2025-2025,9,9,9,7,2,3 (2ct 1st),1
S Movva (CAN),2025-2025,9,8,8,7,1,2 (2ct 0st),1
BKG Mendis (SL),2025-2025,13,13,8,6,2,2 (2ct 0st),0.615
Nurul Hasan (BAN),2025-2025,6,6,7,6,1,4 (4ct 0st),1.166
Aasif Sheikh (NEP),2025-2025,7,7,7,6,1,3 (3ct 0st),1
T Marumani (ZIM),2025-2025,3,3,6,6,0,3 (3ct 0st),2
PD Salt (ENG),2025-2025,6,3,6,6,0,3 (3ct 0st),2
JP Inglis (AUS),2025-2025,7,7,6,5,1,3 (3ct 0st),0.857
AT Carey (AUS),2025-2025,9,3,5,4,1,3 (3ct 0st),1.666
Rahmanullah Gurbaz (AFG),2025-2025,6,5,5,3,2,2 (2ct 0st),1
Q de Kock (SA),2025-2025,6,6,5,4,1,2 (2ct 0st),0.833
H Klaasen (SA),2025-2025,3,3,4,3,1,2 (1ct 1st),1.333
LJ Tucker (IRE),2025-2025,6,6,4,4,0,2 (2ct 0st),0.666
JR Philippe (AUS),2025-2025,1,1,3,3,0,3 (3ct 0st),3
Anop Santosh (CAN),2025-2025,1,1,2,2,0,2 (2ct 0st),2
Haseebullah Khan (PAK),2025-2025,1,1,2,2,0,2 (2ct 0st),2
Ikram Alikhil (AFG),2025-2025,1,1,2,2,0,2 (2ct 0st),2
C Tear (SCOT),2025-2025,10,2,2,2,0,2 (2ct 0st),1
NRJ Croes (NED),2025-2025,8,1,1,1,0,1 (1ct 0st),1
Litton Das (BAN),2025-2025,1,1,1,1,0,1 (1ct 0st),1
K Verreynne (SA),2025-2025,2,1,1,1,0,1 (1ct 0st),1
Jaker Ali (BAN),2025-2025,7,2,1,1,0,1 (1ct 0st),0.5
Mushfiqur Rahim (BAN),2025-2025,2,2,1,1,0,1 (1ct 0st),0.5
V Aravind (UAE),2025-2025,2,1,0,0,0,0,0
C Madande (ZIM),2025-2025,1,1,0,0,0,0,0
AK Sah (NEP),2025-2025,1,1,0,0,0,0,0
BRM Taylor (ZIM),2025-2025,2,1,0,0,0,0,0
AGS Gous (USA),2025-2025,9,2,0,0,0,0,0
JL Smith (ENG),2025-2025,12,3,0,0,0,0,0
