Player Name,Playing Span,Matches Played,Inns Batted,Not Outs,Runs Scored,Highest Innings Scores,Batting Average,Balls Faced,Batting Strike Rate,Hundreds Scored,Fifties Scored,Zeroes Scored,Boundary Fours,Boundary Sixes
Muhammad Waseem (UAE),2024-2024,26,26,3,909,100,39.52,568,160.03,1,8,3,65,55
K Kadowaki-Fleming (JPN),2024-2024,20,20,3,860,109*,50.58,569,151.14,1,6,0,67,43
Nizakat Khan (HKG),2024-2024,28,27,5,784,81,35.63,589,133.1,0,5,1,51,35
A Sharafu (UAE),2024-2024,24,24,4,770,90*,38.5,547,140.76,0,7,1,82,31
Babar Azam (PAK),2024-2024,24,23,1,738,75,33.54,554,133.21,0,6,2,76,20
O Manishimwe (RWN),2024-2024,24,24,3,723,89*,34.42,658,109.87,0,6,1,82,18
Asif Khan (UAE),2024-2024,22,22,4,719,79,39.94,506,142.09,0,5,1,47,45
Faisal Khan (KSA),2024-2024,22,22,2,702,101,35.1,413,169.97,1,3,0,72,42
AGS Gous (USA),2024-2024,23,22,1,692,81,32.95,475,145.68,0,6,1,59,38
Abdul Waheed (KSA),2024-2024,23,21,4,687,110,40.41,497,138.22,1,3,1,66,27
Haider Butt (BHR),2024-2024,22,21,6,682,79*,45.46,526,129.65,0,6,0,48,34
Meet Bhavsar (KUW),2024-2024,26,26,3,679,72,29.52,550,123.45,0,5,0,55,19
Babar Hayat (HKG),2024-2024,27,23,2,651,110,31,474,137.34,1,3,3,31,50
BJ Bennett (ZIM),2024-2024,24,24,2,632,91,28.72,440,143.63,0,3,2,73,23
Muhammad Tanveer (QAT),2024-2024,18,18,4,632,80*,45.14,454,139.2,0,4,1,50,32
BKG Mendis (SL),2024-2024,22,22,1,628,86,29.9,492,127.64,0,3,1,63,21
P Nissanka (SL),2024-2024,19,19,2,622,90,36.58,449,138.53,0,5,1,79,16
Mohammad Rizwan (PAK),2024-2024,21,20,5,617,90*,41.13,526,117.3,0,5,2,42,21
AP Yadav (THA),2024-2024,23,23,3,587,79*,29.35,498,117.87,0,4,2,68,12
Sikandar Raza (ZIM),2024-2024,24,23,3,573,133*,28.65,391,146.54,1,2,1,48,29
R Sandaruwan (KUW),2024-2024,26,26,1,569,102*,22.76,394,144.41,1,3,2,47,35
Luqman Butt (CAM),2024-2024,17,17,4,569,80*,43.76,400,142.25,0,4,1,55,26
RR Hendricks (SA),2024-2024,22,22,1,569,117,27.09,424,134.19,1,3,3,52,30
Selim Salau (NGA),2024-2024,20,19,0,565,112,29.73,515,109.7,1,0,0,58,11
SI Runsewe (NGA),2024-2024,22,22,1,560,74,26.66,454,123.34,0,5,1,70,5
Azyan Farhath (MDV),2024-2024,17,17,6,559,66*,50.81,594,94.1,0,5,0,43,9
M Levitt (NED),2024-2024,18,17,1,552,135,34.5,384,143.75,1,4,1,51,30
S Ravichandran (JPN),2024-2024,22,21,3,549,86*,30.5,382,143.71,0,4,0,55,12
TM Head (AUS),2024-2024,15,15,1,539,80,38.5,302,178.47,0,4,2,62,33
R Powell (WI),2024-2024,23,21,0,533,63,25.38,394,135.27,0,3,0,30,36
AV Lazarus (THA),2024-2024,23,22,4,532,95,29.55,442,120.36,0,4,0,42,23
RK Paudel (NEP),2024-2024,25,23,3,531,56*,26.55,456,116.44,0,2,1,44,17
CV Anto (KUW),2024-2024,24,24,4,529,75,26.45,326,162.26,0,2,0,35,40
Syed Aziz (MAS),2024-2024,21,21,3,524,59*,29.11,385,136.1,0,4,0,44,27
D Ndikubwimana (RWN),2024-2024,24,24,3,524,62,24.95,578,90.65,0,3,0,59,9
Rahmanullah Gurbaz (AFG),2024-2024,21,21,0,519,80,24.71,408,127.2,0,5,4,38,26
Aqib Ilyas (OMA),2024-2024,21,21,2,518,62*,27.26,454,114.09,0,4,2,41,18
Sami Sohail (MWI),2024-2024,15,15,5,515,81,51.5,381,135.17,0,4,1,41,20
Ibrahim Zadran (AFG),2024-2024,18,18,2,512,72*,32,463,110.58,0,5,1,52,9
Zeeshan Ali (HKG),2024-2024,25,20,8,506,70,42.16,332,152.4,0,4,2,43,25
Towhid Hridoy (BAN),2024-2024,21,20,4,493,63*,30.81,379,130.07,0,3,1,34,21
I Danladi (NGA),2024-2024,20,20,2,475,80,26.38,322,147.51,0,1,0,45,20
PD Salt (ENG),2024-2024,17,15,3,467,103*,38.91,284,164.43,1,2,1,44,25
N Pooran (WI),2024-2024,21,20,2,464,98,25.77,326,142.33,0,2,1,25,39
JC Buttler (ENG),2024-2024,15,13,2,462,84,42,281,164.41,0,3,2,47,23
RR Patel (KENYA),2024-2024,18,16,2,460,120,32.85,307,149.83,1,2,1,42,25
Aasif Sheikh (NEP),2024-2024,21,21,0,457,52,21.76,411,111.19,0,2,0,42,16
L Yamamoto-Lake (JPN),2024-2024,21,21,2,451,134*,23.73,315,143.17,1,1,3,48,19
Anshuman Rath (HKG),2024-2024,22,22,4,447,72*,24.83,355,125.91,0,2,0,42,10
MP O'Dowd (NED),2024-2024,19,18,1,445,66,26.17,386,115.28,0,3,1,43,12
SV Samson (IND),2024-2024,13,12,2,436,111,43.6,242,180.16,3,1,5,35,31
Waji Ul Hassan (KSA),2024-2024,24,19,3,434,115*,27.12,339,128.02,1,2,1,36,16
T Stubbs (SA),2024-2024,18,16,4,431,76,35.91,343,125.65,0,1,1,40,13
SA Yadav (IND),2024-2024,18,17,1,429,75,26.81,283,151.59,0,4,0,41,22
Virandeep Singh (MAS),2024-2024,17,16,4,423,72*,35.25,354,119.49,0,3,1,32,13
I Liyanage (QAT),2024-2024,14,14,0,421,86,30.07,324,129.93,0,4,2,41,16
T Marumani (ZIM),2024-2024,18,18,1,420,86,24.7,272,154.41,0,2,0,55,15
C Chatphaisan (THA),2024-2024,23,23,2,417,70*,19.85,378,110.31,0,2,5,44,11
Fakhar Zaman (PAK),2024-2024,16,15,0,415,78,27.66,272,152.57,0,3,0,29,28
Usman Patel (KUW),2024-2024,22,21,8,414,111*,31.84,295,140.33,1,2,2,40,15
BA King (WI),2024-2024,18,18,1,407,79,23.94,289,140.83,0,3,1,47,18
SA Edwards (NED),2024-2024,20,19,1,407,99,22.61,304,133.88,0,2,1,30,13
R Chopra (UAE),2024-2024,17,14,4,404,80,40.4,326,123.92,0,3,0,33,14
B Niaz (BEL),2024-2024,16,15,2,402,72*,30.92,243,165.43,0,2,1,26,28
HG Munsey (SCOT),2024-2024,12,12,1,402,75,36.54,269,149.44,0,2,0,30,28
DK Kesuma (INA),2024-2024,19,19,1,397,117*,22.05,345,115.07,1,0,0,47,13
NR Kirton (CAN),2024-2024,15,15,1,391,69*,27.92,322,121.42,0,2,0,28,13
GJ Maxwell (AUS),2024-2024,16,14,2,389,120*,32.41,233,166.95,1,1,1,39,22
JW Jenner (JER),2024-2024,11,11,1,388,80*,38.8,209,185.64,0,2,2,34,19
Ahmer Bin (BHR),2024-2024,22,18,3,384,62,25.6,312,123.07,0,3,1,31,8
DA Warner (AUS),2024-2024,11,11,1,383,81,38.3,252,151.98,0,4,0,42,17
R Obuya (UGA),2024-2024,17,17,2,383,83,25.53,307,124.75,0,3,2,32,21
K Bhurtel (NEP),2024-2024,24,23,2,383,92*,18.23,316,121.2,0,2,5,29,19
PR Surve (INA),2024-2024,16,16,6,382,71*,38.2,392,97.44,0,1,1,22,9
DS Airee (NEP),2024-2024,21,19,4,381,64*,25.4,255,149.41,0,2,0,28,20
RG Sharma (IND),2024-2024,11,11,2,378,121*,42,236,160.16,1,3,2,35,23
Manan Ali (KSA),2024-2024,24,21,4,378,47*,22.23,259,145.94,0,0,1,16,29
KIC Asalanka (SL),2024-2024,20,19,2,378,69,22.23,276,136.95,0,2,3,23,21
Saim Ayub (PAK),2024-2024,19,18,2,375,98*,23.43,261,143.67,0,1,0,47,17
N Mugabe (KENYA),2024-2024,17,17,2,373,71,24.86,339,110.02,0,2,3,34,13
Sahil Chauhan (EST),2024-2024,11,10,3,364,144*,52,176,206.81,1,1,1,21,34
MG Erasmus (NAM),2024-2024,13,13,2,363,77,33,282,128.72,0,4,1,31,13
FH Allen (NZ),2024-2024,12,12,0,361,137,30.08,216,167.12,1,1,2,26,31
Mohammad Nabi (AFG),2024-2024,21,21,5,361,59,22.56,291,124.05,0,1,2,25,14
Najmul Hossain Shanto (BAN),2024-2024,21,20,1,358,53*,18.84,349,102.57,0,1,0,27,12
MR Marsh (AUS),2024-2024,16,15,2,357,72*,27.46,248,143.95,0,1,0,29,23
Adil Butt (SWZ),2024-2024,10,10,1,356,88*,39.55,228,156.14,0,3,1,38,17
SD Hope (WI),2024-2024,13,13,3,354,82*,35.4,216,163.88,0,3,2,26,24
GD Phillips (NZ),2024-2024,16,14,3,354,70*,32.18,276,128.26,0,1,0,29,13
