Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Karanbir Singh (AUT),2025-2025,32,32,3,1488,115,51.31,851,174.85,2,13,2,127,122
Fiaz Ahmed (BHR),2025-2025,40,37,12,1251,105*,50.04,940,133.08,1,7,2,86,69
P Kurup (BHR),2025-2025,39,38,5,1037,73*,31.42,906,114.45,0,6,2,114,27
Bilal Zalmai (AUT),2025-2025,36,35,3,1008,79*,31.5,650,155.07,0,9,2,103,57
Asif Ali (BHR),2025-2025,32,30,3,955,100*,35.37,629,151.82,1,7,3,89,56
BJ Bennett (ZIM),2025-2025,25,25,0,936,111,37.44,633,147.86,1,6,0,109,26
Abhishek Sharma (IND),2025-2025,21,21,1,859,135,42.95,444,193.46,1,5,0,85,54
Anshuman Rath (HKG),2025-2025,21,21,1,814,100*,40.7,601,135.44,1,5,1,84,18
Tanzid Hasan (BAN),2025-2025,27,27,3,775,89,32.29,573,135.25,0,8,3,63,41
Sahibzada Farhan (PAK),2025-2025,26,26,1,771,80*,30.84,577,133.62,0,7,1,58,45
Sohail Ahmed (BHR),2025-2025,32,28,16,755,76*,62.91,606,124.58,0,5,0,49,34
Virandeep Singh (MAS),2025-2025,27,22,4,739,93*,41.05,560,131.96,0,7,1,69,27
DK Kesuma (INA),2025-2025,41,38,7,670,115*,21.61,589,113.75,2,1,5,69,25
Muhammad Waseem (UAE),2025-2025,22,22,0,669,84,30.4,481,139.08,0,5,1,71,29
GA Priandana (INA),2025-2025,34,32,7,667,78*,26.68,605,110.24,0,3,3,62,22
A Sharafu (UAE),2025-2025,21,20,2,664,86,36.88,489,135.78,0,6,0,56,33
Sami Sohail (MWI),2025-2025,20,20,1,641,96*,33.73,501,127.94,0,4,1,55,28
Litton Das (BAN),2025-2025,25,25,2,635,76,27.6,480,132.29,0,5,0,48,23
J Baker (CAY),2025-2025,14,14,2,628,94,52.33,456,137.71,0,7,0,55,37
P Nissanka (SL),2025-2025,18,18,1,625,107,36.76,419,149.16,1,4,1,58,24
Aqib Iqbal (AUT),2025-2025,36,30,7,625,66*,27.17,510,122.54,0,2,2,48,24
Salman Agha (PAK),2025-2025,34,32,8,625,63*,26.04,542,115.31,0,5,2,51,19
Zeeshan Ali (HKG),2025-2025,21,21,0,581,101,27.66,416,139.66,1,2,0,68,22
Saim Ayub (PAK),2025-2025,29,29,1,581,71*,20.75,450,129.11,0,4,7,51,28
NT Tilak Varma (IND),2025-2025,20,18,6,567,73,47.25,439,129.15,0,4,2,41,25
TL Seifert (NZ),2025-2025,16,14,3,559,97*,50.81,340,164.41,0,3,0,54,33
RP Burl (ZIM),2025-2025,25,25,7,558,67*,31,392,142.34,0,1,1,47,23
SD Hope (WI),2025-2025,19,19,3,556,102*,34.75,407,136.6,1,4,0,38,32
Sikandar Raza (ZIM),2025-2025,25,25,3,536,54*,24.36,420,127.61,0,2,2,46,18
Parvez Hossain Emon (BAN),2025-2025,23,23,2,519,100,24.71,377,137.66,1,3,5,43,34
Fakhar Zaman (PAK),2025-2025,22,21,3,512,77*,28.44,401,127.68,0,2,0,47,17
K Bhurtel (NEP),2025-2025,17,16,0,509,81,31.81,410,124.14,0,4,0,47,19
