Player,Span,Mat,Inns,Ct,Max,Ct/Inn
RK Singh (IND),2026-2026,10,10,12,4,1.2
GD Phillips (NZ),2026-2026,14,13,12,3,0.923
TB Robinson (NZ),2026-2026,8,8,10,3,1.25
T Banton (ENG),2026-2026,11,11,10,3,0.909
C Green (AUS),2026-2026,7,7,9,3,1.285
J Overton (ENG),2026-2026,9,9,9,2,1
SO Hetmyer (WI),2026-2026,13,13,9,3,0.692
DJ Mitchell (NZ),2026-2026,14,13,9,2,0.692
P Baron (ARG),2026-2026,6,6,8,3,1.333
HJ Manenti (ITA),2026-2026,7,7,8,2,1.142
Babar Azam (PAK),2026-2026,9,8,8,3,1
NT Tilak Varma (IND),2026-2026,9,9,8,2,0.888
JO Holder (WI),2026-2026,10,10,8,2,0.8
T Stubbs (SA),2026-2026,10,10,8,3,0.8
F Banunaek (INA),2026-2026,13,13,8,2,0.615
S Dube (IND),2026-2026,14,14,8,2,0.571
T Musekiwa (ZIM),2026-2026,5,5,7,2,1.4
MG Erasmus (NAM),2026-2026,7,7,7,2,1
HG Munsey (SCOT),2026-2026,7,7,7,4,1
Imal Zuwak (SWE),2026-2026,8,8,7,2,0.875
Ishan Kishan (IND),2026-2026,13,8,7,3,0.875
S Joseph (WI),2026-2026,10,10,7,4,0.7
JG Bethell (ENG),2026-2026,11,11,7,2,0.636
WG Jacks (ENG),2026-2026,11,11,7,1,0.636
Mohammad Nawaz (PAK),2026-2026,12,11,7,2,0.636
Ahmer Bin (BHR),2026-2026,12,12,7,1,0.583
Ali Dawood (BHR),2026-2026,12,12,7,2,0.583
MD Shanaka (SL),2026-2026,12,12,7,2,0.583
DJ Hawoe (INA),2026-2026,14,14,7,2,0.5
HH Pandya (IND),2026-2026,14,14,7,3,0.5
Milind Kumar (USA),2026-2026,4,4,6,3,1.5
RE van der Merwe (NED),2026-2026,4,4,6,2,1.5
Abhishek Anand (JPN),2026-2026,6,6,6,2,1
RP Burl (ZIM),2026-2026,6,6,6,2,1
S Muniandy (MAS),2026-2026,6,6,6,2,1
AA Senn (CYP),2026-2026,6,6,6,3,1
Darwish Rasooli (AFG),2026-2026,7,7,6,3,0.857
BJ Jacobs (NZ),2026-2026,7,7,6,2,0.857
B McMullen (SCOT),2026-2026,7,7,6,2,0.857
GH Dockrell (IRE),2026-2026,8,8,6,2,0.75
D Brevis (SA),2026-2026,11,11,6,1,0.545
JDS Neesham (NZ),2026-2026,12,11,6,2,0.545
P Nissanka (SL),2026-2026,12,12,6,2,0.5
Abhishek Sharma (IND),2026-2026,13,13,6,2,0.461
GD Arta (INA),2026-2026,14,14,6,2,0.428
GK Ghalley (BHU),2026-2026,4,4,5,3,1.25
MS Maker (TAN),2026-2026,4,4,5,2,1.25
Fayaz Khan (GER),2026-2026,5,5,5,2,1
RA Hermann (SA),2026-2026,6,6,5,3,0.833
Karan Singh (CYP),2026-2026,6,6,5,1,0.833
J Martins (POR),2026-2026,6,6,5,2,0.833
A Mundra (SWE),2026-2026,7,6,5,2,0.833
AA Rahayu (INA),2026-2026,6,6,5,2,0.833
PA Raikes (GIBR),2026-2026,6,6,5,3,0.833
BF Calitz (IRE),2026-2026,7,7,5,2,0.714
YS Chauhan (SWE),2026-2026,7,7,5,2,0.714
Ibrahim Zadran (AFG),2026-2026,7,7,5,2,0.714
Muhammad Waseem (UAE),2026-2026,8,8,5,1,0.625
HT Tector (IRE),2026-2026,8,8,5,2,0.625
AR Patel (IND),2026-2026,9,9,5,2,0.555
R Powell (WI),2026-2026,10,10,5,2,0.5
Saim Ayub (PAK),2026-2026,11,10,5,2,0.5
PD Salt (ENG),2026-2026,10,10,5,2,0.5
Salman Agha (PAK),2026-2026,12,11,5,2,0.454
SM Curran (ENG),2026-2026,11,11,5,2,0.454
LA Dawson (ENG),2026-2026,11,11,5,1,0.454
MS Chapman (NZ),2026-2026,13,12,5,2,0.416
Sohail Ahmed (BHR),2026-2026,12,12,5,2,0.416
R Ravindra (NZ),2026-2026,14,13,5,1,0.384
IKO Aboagye (GHA),2026-2026,3,3,4,3,1.333
Babar Hayat (HKG),2026-2026,3,3,4,2,1.333
D Maisuria (BOT),2026-2026,3,3,4,2,1.333
Nizakat Khan (HKG),2026-2026,3,3,4,2,1.333
AG Cremer (ZIM),2026-2026,4,4,4,3,1
S Desungnoen (THA),2026-2026,4,4,4,2,1
MA Jones (SCOT),2026-2026,4,4,4,2,1
AUKDS Kalugala (CYP),2026-2026,4,4,4,3,1
NR Kirton (CAN),2026-2026,4,4,4,3,1
JJ Smit (NAM),2026-2026,4,4,4,3,1
Tashi Phuntsho (BHU),2026-2026,4,4,4,2,1
KD Abeyrathna (NOR),2026-2026,5,5,4,2,0.8
Chaudhary Akram (NOR),2026-2026,5,5,4,2,0.8
R Hashu (POR),2026-2026,5,5,4,2,0.8
MADI Hemantha (SL),2026-2026,5,5,4,2,0.8
Maaz Khan (LES),2026-2026,5,5,4,2,0.8
Ziaur Rahman (AFG),2026-2026,5,5,4,3,0.8
DP Conway (NZ),2026-2026,7,6,4,1,0.666
Natim Hassam (POR),2026-2026,6,6,4,3,0.666
AAP Rivero (ARG),2026-2026,6,6,4,2,0.666
T Rossi (ARG),2026-2026,6,6,4,1,0.666
A Shahi (CYP),2026-2026,6,6,4,2,0.666
Bilal Zalmai (AUT),2026-2026,7,7,4,2,0.571
A Dhabe (SWE),2026-2026,7,7,4,1,0.571
Irfan Safi (AUT),2026-2026,7,7,4,2,0.571
Karanbir Singh (AUT),2026-2026,7,7,4,1,0.571
Mohammad Khan Rafah (Fran),2026-2026,7,7,4,1,0.571
AJ Mosca (ITA),2026-2026,7,7,4,1,0.571
Shaheen Shah Afridi (PAK),2026-2026,7,7,4,2,0.571
S Sharma (MEX),2026-2026,7,7,4,2,0.571
R Trumpelmann (NAM),2026-2026,7,7,4,2,0.571
