Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
Saim Ayub,4,1,Pakistan,v New Zealand,Auckland,12-Jan-24,T20I   2429
WP Masakadza,4,2,Zimbabwe,v Sri Lanka,Colombo (RPS),14-Jan-24,T20I   2432
SA Abbott,4,2,Australia,v West Indies,Hobart,09-Feb-24,T20I   2459
HT Tector,4,2,Ireland,v Afghanistan,Sharjah,15-Mar-24,T20I   2521
Ayaan Khan,4,2,Oman,v Namibia,Al Amerat,02-Apr-24,T20I   2540
IKEG Artawan,4,1,Indonesia,v Thailand,Bali,02-May-24,T20I   2585
AK Markram,4,2,South Africa,v Bangladesh,New York,10-Jun-24,T20I   2664
GJ Maxwell,4,1,Australia,v Namibia,North Sound,11-Jun-24,T20I   2666
Scott Austin,4,2,Cyprus,v Estonia,Episkopi,18-Jun-24,T20I   2704
Syed Aziz,4,1,Malaysia,v Kuwait,Kuala Lumpur,22-Aug-24,T20I   2788
R Chopra,4,2,U.A.E.,v U.S.A.,Windhoek,04-Oct-24,T20I   2893
Mohammad Nadeem,4,2,Oman,v Qatar,ICCA Dubai,14-Dec-24,T20I   3049
KS Williamson,3,2,New Zealand,v Pakistan,Auckland,12-Jan-24,T20I   2429
RP Burl,3,1,Zimbabwe,v Sri Lanka,Colombo (RPS),16-Jan-24,T20I   2433
GD Phillips,3,1,New Zealand,v Pakistan,Christchurch,21-Jan-24,T20I   2438
Zhuang Zelin,3,2,China,v Myanmar,Bangkok,29-Jan-24,T20I   2441
IK Gamantika,3,2,Indonesia,v Bhutan,Bangkok,01-Feb-24,T20I   2444
Luqman Butt,3,1,Cambodia,v Singapore,Bangkok,09-Feb-24,T20I   2458
R Sakurano-Thomas,3,1,Japan,v Hong Kong,Mong Kok,15-Feb-24,T20I   2472
Abdul Waheed,3,1,Saudi Arabia,v Thailand,Bangkok,16-Feb-24,T20I   2475
Babar Hayat,3,2,Hong Kong,v Japan,Mong Kok,17-Feb-24,T20I   2478
MJ Santner,3,1,New Zealand,v Australia,Auckland,23-Feb-24,T20I   2483
