Player,Dismissed,Ct Wk,St,Inns,Team,Opposition,Ground,Match Date,Scorecard
MJ Hay,5,4,1,2,New Zealand,v Pakistan,Mount Maunganui,23-Mar-25,T20I   3126
J Scheffer,4,3,1,1,Falkland Isl,v Costa Rica,Guacima,10-Mar-25,T20I   3109
MJ Hay,4,4,0,1,New Zealand,v Pakistan,Wellington,26-Mar-25,T20I   3128
M Chadha,4,4,0,1,Cambodia,v Indonesia,Bali,15-Jun-25,T20I   3235
M Chadha,4,4,0,2,Cambodia,v Indonesia,Bali,16-Jun-25,T20I   3242
Aasif Sheikh,4,3,1,1,Nepal,v Netherlands,Glasgow,19-Jun-25,T20I   3250
L Canessane,4,4,0,1,France,v Hungary,Ilfov County,29-Jun-25,T20I   3274
HER Tyler,4,3,1,2,Philippines,v Indonesia,Bali,06-Jul-25,T20I   3278
Ahmad Ramdoni,4,4,0,2,Indonesia,v South Korea,Bali,08-Jul-25,T20I   3285
BI Dilruksha,4,4,0,2,South Korea,v Philippines,Bali,09-Jul-25,T20I   3289
Litton Das,4,2,2,2,Bangladesh,v Sri Lanka,Dambulla,13-Jul-25,T20I   3315
Ibrahim Rahimi,4,4,0,2,Norway,v Sweden,Stockholm,09-Aug-25,T20I   3400
AP Rajeevan,4,4,0,2,Tanzania,v Uganda,Harare,28-Sep-25,T20I   3479
JM Sharma,4,4,0,2,India,v South Africa,Cuttack,09-Dec-25,T20I   3623
MJ Hay,3,3,0,1,New Zealand,v Pakistan,Christchurch,16-Mar-25,T20I   3120
Khizer Ahmed,3,2,1,1,Norway,v Portugal,Albergaria,09-Apr-25,T20I   3133
Aasif Sheikh,3,3,0,1,Nepal,v Kuwait,Mong Kok,13-Apr-25,T20I   3139
S Movva,3,3,0,1,Canada,v Bahamas,George Town,21-Apr-25,T20I   3151
S Movva,3,2,1,2,Canada,v Cayman,George Town,23-Apr-25,T20I   3153
Mansoor Safi,3,3,0,2,Austria,v Slovenia,Latschach,17-May-25,T20I   3184
Mansoor Safi,3,3,0,1,Austria,v Slovenia,Graz,18-May-25,T20I   3186
Ali Raza,3,3,0,1,Belgium,v Malta,Zemst,30-May-25,T20I   3191
C Nunes,3,3,0,1,Portugal,v Malta,Zemst,30-May-25,T20I   3192
Ali Raza,3,3,0,2,Belgium,v Portugal,Zemst,01-Jun-25,T20I   3202
Ahmad Ramdoni,3,3,0,1,Indonesia,v Cambodia,Bali,14-Jun-25,T20I   3228
Khizer Ahmed,3,3,0,1,Norway,v Finland,Ishoj,14-Jun-25,T20I   3230
Jordan O'Brien,3,3,0,1,Finland,v Sweden,Ishoj,14-Jun-25,T20I   3233
Jordan O'Brien,3,2,1,2,Finland,v Norway,Ishoj,15-Jun-25,T20I   3237
SA Edwards,3,3,0,2,Netherlands,v Nepal,Glasgow,16-Jun-25,T20I   3243
K Tathgur,3,3,0,2,Canada,v Cayman,King City (NW),16-Jun-25,T20I   3244
R Pisal,3,3,0,1,Romania,v Austria,Ilfov County,26-Jun-25,T20I   3265
MPS Cheema,3,3,0,1,Austria,v Malta,Ilfov County,29-Jun-25,T20I   3273
V Ravindran,3,3,0,2,Hungary,v France,Ilfov County,29-Jun-25,T20I   3274
Ahmad Ramdoni,3,3,0,2,Indonesia,v Philippines,Bali,07-Jul-25,T20I   3282
BI Dilruksha,3,1,2,1,South Korea,v Indonesia,Bali,08-Jul-25,T20I   3285
BI Dilruksha,3,3,0,1,South Korea,v Philippines,Bali,12-Jul-25,T20I   3305
CJ Stamp,3,3,0,1,Philippines,v Indonesia,Bali,13-Jul-25,T20I   3310
Litton Das,3,3,0,2,Bangladesh,v Pakistan,Mirpur,22-Jul-25,T20I   3349
Ahmer Bin,3,2,1,1,Bahrain,v Malawi,Rwanda,25-Jul-25,T20I   3366
A Manepalli,3,3,0,1,Luxembourg,v Hungary,Szodliget,25-Jul-25,T20I   3368
V Ravindran,3,3,0,2,Hungary,v Luxembourg,Szodliget,27-Jul-25,T20I   3379
Ahmed Hassan,3,0,3,2,Switzerland,v Estonia,Tallinn,03-Aug-25,T20I   3389
Rohit Kumar,3,3,0,2,Romania,v Czech Rep.,Ilfov County,21-Aug-25,T20I   3412
Rohit Kumar,3,3,0,2,Romania,v Czech Rep.,Ilfov County,22-Aug-25,T20I   3414
R Chopra,3,3,0,1,U.A.E.,v Pakistan,Sharjah,30-Aug-25,T20I   3426
R Chopra,3,3,0,1,U.A.E.,v Pakistan,Sharjah,04-Sep-25,T20I   3436
JJ Chicuele,3,3,0,1,Mozambique,v Eswatini,Malkerns,12-Sep-25,T20I   3448
H Jangariya,3,2,1,2,Eswatini,v Mozambique,Malkerns,13-Sep-25,T20I   3451
AA Jangoo,3,3,0,1,West Indies,v Nepal,Sharjah,30-Sep-25,T20I   3490
S Chilemanya,3,3,0,2,Nigeria,v Botswana,Harare,02-Oct-25,T20I   3492
Amar Naeem,3,3,0,2,Austria,v Romania,Ilfov County,18-Oct-25,T20I   3529
Rahmanullah Gurbaz,3,3,0,2,Afghanistan,v Zimbabwe,Harare,29-Oct-25,T20I   3537
BM Pecic,3,3,0,1,Serbia,v Cyprus,Episkopi,31-Oct-25,T20I   3540
JP Inglis,3,3,0,1,Australia,v India,Melbourne,31-Oct-25,T20I   3541
Rizwan Mangera,3,2,1,1,Panama,v Brazil,Itaguai,31-Oct-25,T20I   3545
Swann Htet Ko Ko,3,2,1,1,Myanmar,v Timor-Leste,Bali,07-Nov-25,T20I   3562
DP Conway,3,3,0,1,New Zealand,v West Indies,Dunedin,13-Nov-25,T20I   3574
Yasir Ali,3,2,1,2,Spain,v Croatia,Cartagena,07-Dec-25,T20I   3612
O Manishimwe,3,3,0,1,Rwanda,v Zambia,Abuja,07-Dec-25,T20I   3613
Ahmad Ramdoni,3,3,0,1,Indonesia,v Thailand,Bangkok,09-Dec-25,T20I   3618
P Kurup,3,1,2,2,Bahrain,v Bhutan,Gelephu,09-Dec-25,T20I   3619
Ahmer Bin,3,3,0,1,Bahrain,v Bhutan,Gelephu,13-Dec-25,T20I   3638
JM Sharma,3,2,1,1,India,v South Africa,Dharamsala,14-Dec-25,T20I   3644
DK Kesuma,3,3,0,1,Indonesia,v Cambodia,Bali,29-Dec-25,T20I   3658
Tshering Tashi,3,1,2,2,Bhutan,v Myanmar,Gelephu,29-Dec-25,T20I   3659
SV Samson,2,1,1,1,India,v England,Eden Gardens,22-Jan-25,T20I   3082
PD Salt,2,2,0,1,England,v India,Wankhede,02-Feb-25,T20I   3086
TV Valivarthi,2,2,0,1,Hungary,v Austria,Marsa,05-Feb-25,T20I   3092
AGS Gous,2,2,0,1,U.S.A.,v Oman,Al Amerat,23-Feb-25,T20I   3100
P Kurup,2,2,0,2,Bahrain,v Singapore,Singapore,28-Feb-25,T20I   3104
TV Badri Narayanan,2,2,0,2,Costa Rica,v Falkland Isl,Guacima,11-Mar-25,T20I   3111
Zeeshan Ali,2,2,0,2,Hong Kong,v Bahrain,Kuala Lumpur,14-Mar-25,T20I   3118
P Kurup,2,2,0,1,Bahrain,v Hong Kong,Kuala Lumpur,17-Mar-25,T20I   3121
ZE Green,2,2,0,1,Namibia,v Canada,Windhoek,19-Mar-25,T20I   3123
Mohammad Haris,2,2,0,1,Pakistan,v New Zealand,Mount Maunganui,23-Mar-25,T20I   3126
JP Kotze,2,2,0,1,Namibia,v Canada,Windhoek,23-Mar-25,T20I   3127
Usman Patel,2,1,1,1,Kuwait,v Hong Kong,Mong Kok,09-Apr-25,T20I   3132
Zeeshan Ali,2,1,1,2,Hong Kong,v Qatar,Mong Kok,10-Apr-25,T20I   3135
KK Ahuja,2,1,1,1,Mexico,v Turks and C.,Panama City,18-Apr-25,T20I   3143
R Poojary,2,2,0,1,Mexico,v Panama,Panama City,19-Apr-25,T20I   3147
Ainool Hafizs,2,2,0,2,Malaysia,v Singapore,Kuala Lumpur,24-Apr-25,T20I   3155
S Movva,2,2,0,2,Canada,v U.S.A.,George Town,24-Apr-25,T20I   3158
Manpreet Singh,2,2,0,1,Singapore,v Saudi Arabia,Kuala Lumpur,25-Apr-25,T20I   3160
AP Yadav,2,1,1,1,Thailand,v Singapore,Kuala Lumpur,26-Apr-25,T20I   3162
Shayan Jahangir,2,1,1,1,U.S.A.,v Bermuda,George Town,26-Apr-25,T20I   3164
S Movva,2,1,1,2,Canada,v U.S.A.,George Town,27-Apr-25,T20I   3165
Nawazish Akhtar,2,1,1,1,Saudi Arabia,v Singapore,Kuala Lumpur,29-Apr-25,T20I   3169
Nawazish Akhtar,2,2,0,1,Saudi Arabia,v Malaysia,Kuala Lumpur,30-Apr-25,T20I   3170
Ainool Hafizs,2,2,0,2,Malaysia,v Saudi Arabia,Kuala Lumpur,02-May-25,T20I   3172
M Vaik,2,1,1,1,Estonia,v Malta,Marsa,06-May-25,T20I   3173
AP Yadav,2,1,1,2,Thailand,v Cook Islands,Sano,07-May-25,T20I   3175
