Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Ali Dawood (BHR),2025-2025,37,37,779,129.5,5,711,63,Jul-19,11.28,5.47,12.36,3,1
Rizwan Butt (BHR),2025-2025,34,34,726,121,4,713,55,06-Sep,12.96,5.89,13.2,1,1
Umair Tariq (AUT),2025-2025,30,27,470,78.2,4,533,48,May-32,11.1,6.8,9.79,1,1
Aqib Iqbal (AUT),2025-2025,36,35,744,124,3,870,43,Mar-28,20.23,7.01,17.3,0,0
F Banunaek (INA),2025-2025,41,40,720,120,0,805,39,03-May,20.64,6.7,18.46,0,0
Abdul Majid (BHR),2025-2025,40,39,828,138,8,675,38,Apr-19,17.76,4.89,21.78,1,0
Virandeep Singh (MAS),2025-2025,27,26,576,96,2,539,36,Apr-26,14.97,5.61,16,1,0
Mohammad Nawaz (PAK),2025-2025,26,24,448,74.4,1,490,36,May-19,13.61,6.56,12.44,0,1
CV Varun (IND),2025-2025,20,18,402,67,1,475,36,May-24,13.19,7.08,11.16,1,1
Bilal Zalmai (AUT),2025-2025,36,35,803,133.5,1,981,35,Apr-14,28.02,7.33,22.94,1,0
JA Duffy (NZ),2025-2025,21,20,424,70.4,1,528,35,Apr-14,15.08,7.47,12.11,3,0
Rishad Hossain (BAN),2025-2025,25,24,518,86.2,0,730,33,Mar-18,22.12,8.45,15.69,0,0
Syed Aziz (MAS),2025-2025,27,26,509,84.5,4,588,32,Apr-16,18.37,6.93,15.9,1,0
Imran Anwar (BHR),2025-2025,33,33,607,101.1,3,640,31,Mar-19,20.64,6.32,19.58,0,0
DJ Hawoe (INA),2025-2025,41,40,655,109.1,0,820,31,03-Sep,26.45,7.51,21.12,0,0
JO Holder (WI),2025-2025,23,22,489,81.3,0,701,31,Apr-19,22.61,8.6,15.77,2,0
B Evans (ZIM),2025-2025,17,17,352,58.4,0,454,30,Apr-16,15.13,7.73,11.73,1,0
R Ngarava (ZIM),2025-2025,24,22,480,80,1,637,30,Apr-34,21.23,7.96,16,1,0
Haider Ali (UAE),2025-2025,21,21,486,81,2,458,29,Apr-16,15.79,5.65,16.75,1,0
S Vijay Unni (MAS),2025-2025,27,27,518,86.2,2,530,29,04-Jun,18.27,6.13,17.86,1,0
Karanbir Singh (AUT),2025-2025,32,22,298,49.4,0,365,29,Apr-42,12.58,7.34,10.27,1,0
Kaleem Sana (CAN),2025-2025,15,15,275,45.5,5,262,28,Apr-17,9.35,5.71,9.82,2,0
Abrar Ahmed (PAK),2025-2025,22,22,491,81.5,1,539,28,04-Sep,19.25,6.58,17.53,1,0
MM Baig (QAT),2025-2025,14,13,255,42.3,1,320,27,Apr-17,11.85,7.52,9.44,2,0
Mustafizur Rahman (BAN),2025-2025,20,20,452,75.2,0,459,26,03-Nov,17.65,6.09,17.38,0,0
Imran Khan (BHR),2025-2025,27,27,468,78,3,517,26,03-Jul,19.88,6.62,18,0,0
Shaheen Shah Afridi (PAK),2025-2025,21,21,449,74.5,1,556,26,Mar-17,21.38,7.42,17.26,0,0
N Senamontree (THA),2025-2025,17,14,324,54,3,294,24,Apr-19,12.25,5.44,13.5,1,0
Anjar Tadarus (INA),2025-2025,30,26,375,62.3,0,448,24,05-Aug,18.66,7.16,15.62,1,1
Faheem Ashraf (PAK),2025-2025,28,24,374,62.2,0,507,24,Apr-23,21.12,8.13,15.58,2,0
Taskin Ahmed (BAN),2025-2025,13,13,296,49.2,0,444,24,Apr-28,18.5,9,12.33,1,0
Sikandar Raza (ZIM),2025-2025,25,23,508,84.4,2,539,23,03-Nov,23.43,6.36,22.08,0,0
Yasim Murtaza (HKG),2025-2025,21,19,406,67.4,1,491,23,03-Nov,21.34,7.25,17.65,0,0
SFS Cheema (AUT),2025-2025,19,15,222,37,1,272,23,May-27,11.82,7.35,9.65,1,1
AJ Hosein (WI),2025-2025,20,20,440,73.2,0,551,23,Mar-17,23.95,7.51,19.13,0,0
Tanzim Hasan Sakib (BAN),2025-2025,22,21,455,75.5,1,614,23,Feb-21,26.69,8.09,19.78,0,0
Haris Rauf (PAK),2025-2025,15,15,307,51.1,1,466,23,Apr-31,20.26,9.1,13.34,1,0
Waqar Ali (CYP),2025-2025,10,10,228,38,0,176,22,Apr-13,8,4.63,10.36,4,0
