Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
JJ Bumrah (IND),2026-2026,12,12,258,43,0,316,18,17.55,7.34,14.33,1,0
AU Rashid (ENG),2026-2026,11,11,256,42.4,0,319,18,17.72,7.47,14.22,0,0
Ali Dawood (BHR),2026-2026,12,12,263,43.5,1,329,18,18.27,7.5,14.61,2,0
CV Varun (IND),2026-2026,12,12,258,43,0,395,18,21.94,9.18,14.33,0,0
KA Maharaj (SA),2026-2026,14,14,288,48,0,440,17,25.88,9.16,16.94,0,0
Arshdeep Singh (IND),2026-2026,12,12,276,46,0,422,17,24.82,9.17,16.23,0,1
PVD Chameera (SL),2026-2026,8,8,174,29,0,258,16,16.12,8.89,10.87,0,1
SN Swamy (SWE),2026-2026,7,7,156,26,0,163,15,10.86,6.26,10.4,0,0
Abrar Ahmed (PAK),2026-2026,9,9,186,31,0,203,15,13.53,6.54,12.4,0,0
Mohammad Nawaz (PAK),2026-2026,12,11,210,35,0,258,15,17.2,7.37,14,0,1
AR Patel (IND),2026-2026,9,9,195,32.3,1,280,15,18.66,8.61,13,0,0
DJ Hawoe (INA),2026-2026,14,13,240,40,0,352,15,23.46,8.8,16,1,0
IK Gamantika (INA),2026-2026,12,12,236,39.2,0,247,14,17.64,6.27,16.85,0,0
LA Dawson (ENG),2026-2026,11,11,234,39,0,297,14,21.21,7.61,16.71,0,0
SC van Schalkwyk (USA),2026-2026,4,4,89,14.5,0,101,13,7.76,6.8,6.84,2,0
Muhammad Salman (BHR),2026-2026,12,12,258,43,0,293,13,22.53,6.81,19.84,0,0
MJ Humphreys (IRE),2026-2026,8,8,186,31,0,217,13,16.69,7,14.3,1,0
L Ngidi (SA),2026-2026,8,8,168,28,0,206,13,15.84,7.35,12.92,1,0
A Zampa (AUS),2026-2026,7,7,152,25.2,0,187,13,14.38,7.38,11.69,3,0
M Theekshana (SL),2026-2026,11,11,243,40.3,0,309,13,23.76,7.62,18.69,0,0
G Motie (WI),2026-2026,11,11,216,36,1,279,13,21.46,7.75,16.61,1,0
C Bosch (SA),2026-2026,9,9,186,31,0,242,13,18.61,7.8,14.3,0,0
B Muzarabani (ZIM),2026-2026,6,6,143,23.5,1,188,13,14.46,7.88,11,1,0
WG Jacks (ENG),2026-2026,11,9,168,28,0,233,13,17.92,8.32,12.92,0,0
HH Pandya (IND),2026-2026,14,13,258,43,1,374,13,28.76,8.69,19.84,0,0
Junaid Siddique (UAE),2026-2026,7,7,148,24.4,0,217,13,16.69,8.79,11.38,0,1
MJ Henry (NZ),2026-2026,12,11,219,36.3,1,328,13,25.23,8.98,16.84,0,0
JC Archer (ENG),2026-2026,10,10,222,37,1,350,13,26.92,9.45,17.07,0,0
Usman Tariq (PAK),2026-2026,7,6,133,22.1,1,157,12,13.08,7.08,11.08,1,0
MJ Santner (NZ),2026-2026,16,15,318,53,0,411,12,34.25,7.75,26.5,0,0
R Ravindra (NZ),2026-2026,14,7,114,19,0,149,12,12.41,7.84,9.5,1,0
Rizwan Butt (BHR),2026-2026,12,12,253,42.1,1,331,12,27.58,7.84,21.08,0,0
Usman Khan (Fran),2026-2026,7,7,125,20.5,0,166,12,13.83,7.96,10.41,1,0
Mohammad Khan Rafah (Fran),2026-2026,7,7,114,19,0,159,12,13.25,8.36,9.5,0,0
LH Ferguson (NZ),2026-2026,11,10,190,31.4,1,267,12,22.25,8.43,15.83,0,0
BJ McCarthy (IRE),2026-2026,8,8,164,27.2,0,265,12,22.08,9.69,13.66,0,0
M Jansen (SA),2026-2026,7,7,160,26.4,0,276,12,23,10.35,13.33,2,0
R Edwards (CAY),2026-2026,6,6,132,22,0,106,11,9.63,4.81,12,1,1
XSD Smith (SUR),2026-2026,6,6,126,21,0,108,11,9.81,5.14,11.45,1,0
Rashid Khan (AFG),2026-2026,7,7,168,28,0,158,11,14.36,5.64,15.27,0,0
Dawood Ahmadzai (Fran),2026-2026,7,7,168,28,1,159,11,14.45,5.67,15.27,1,0
A Dhabe (SWE),2026-2026,7,7,162,27,0,182,11,16.54,6.74,14.72,1,0
Mujeeb Ur Rahman (AFG),2026-2026,7,7,162,27,0,187,11,17,6.92,14.72,1,0
Zain Muzaffar (SWE),2026-2026,7,7,152,25.2,1,176,11,16,6.94,13.81,0,0
Vinay Ravi (NOR),2026-2026,5,5,119,19.5,0,141,11,12.81,7.1,10.81,1,0
Azmatullah Omarzai (AFG),2026-2026,6,6,119,19.5,0,146,11,13.27,7.36,10.81,1,0
Shadab Khan (PAK),2026-2026,12,11,204,34,0,261,11,23.72,7.67,18.54,0,0
