Player,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
Ahmad Ramdoni (INA),2025-2025,34,34,29,28,1,4 (4ct 0st),0.852
Mohammad Haris (PAK),2025-2025,26,26,24,19,5,2 (2ct 0st),0.923
Litton Das (BAN),2025-2025,25,21,23,17,6,4 (2ct 2st),1.095
P Kurup (BHR),2025-2025,39,33,22,18,4,3 (1ct 2st),0.666
Khizer Ahmed (NOR),2025-2025,16,14,19,17,2,3 (3ct 0st),1.357
R Chopra (UAE),2025-2025,21,20,19,17,2,3 (3ct 0st),0.95
MJ Hay (NZ),2025-2025,8,7,16,15,1,5 (4ct 1st),2.285
Ainool Hafizs (MAS),2025-2025,20,20,15,12,3,2 (2ct 0st),0.75
BI Dilruksha (SKOR),2025-2025,8,7,14,11,3,4 (4ct 0st),2
K Tathgur (CAN),2025-2025,12,9,14,9,5,3 (3ct 0st),1.555
V Ravindran (HUN),2025-2025,12,11,14,14,0,3 (3ct 0st),1.272
SV Samson (IND),2025-2025,15,14,14,12,2,2 (2ct 0st),1
A Mundra (SWE),2025-2025,11,11,13,12,1,2 (2ct 0st),1.181
M Chadha (CAM),2025-2025,8,8,12,12,0,4 (4ct 0st),1.5
S Movva (CAN),2025-2025,8,8,12,10,2,3 (3ct 0st),1.5
Ali Raza (BEL),2025-2025,9,9,12,11,1,3 (3ct 0st),1.333
ZE Green (NAM),2025-2025,12,10,12,12,0,2 (2ct 0st),1.2
C Nunes (POR),2025-2025,5,5,11,9,2,3 (3ct 0st),2.2
Jordan O'Brien (FIN),2025-2025,7,6,11,9,2,3 (3ct 0st),1.833
Ahmer Bin (BHR),2025-2025,40,8,11,9,2,3 (3ct 0st),1.375
JP Inglis (AUS),2025-2025,12,12,11,10,1,3 (3ct 0st),0.916
Aasif Sheikh (NEP),2025-2025,14,14,11,7,4,4 (3ct 1st),0.785
SI Runsewe (NGA),2025-2025,21,15,11,10,1,2 (2ct 0st),0.733
Zeeshan Ali (HKG),2025-2025,21,20,11,6,5,2 (2ct 0st),0.55
MPS Cheema (AUT),2025-2025,9,9,10,8,2,3 (3ct 0st),1.111
Ahmed Hassan (SUI),2025-2025,13,10,10,5,5,3 (0ct 3st),1
BM Pecic (SRB),2025-2025,12,11,10,10,0,3 (3ct 0st),0.909
D Ndikubwimana (RWN),2025-2025,16,15,10,8,2,2 (2ct 0st),0.666
BKG Mendis (SL),2025-2025,18,18,10,7,3,2 (2ct 0st),0.555
Mansoor Safi (AUT),2025-2025,13,5,9,9,0,3 (3ct 0st),1.8
HER Tyler (PHI),2025-2025,12,5,9,8,1,4 (3ct 1st),1.8
JC Buttler (ENG),2025-2025,15,9,9,7,2,2 (2ct 0st),1
R Pisal (ROM),2025-2025,10,10,9,8,1,3 (3ct 0st),0.9
SA Edwards (NED),2025-2025,11,11,9,7,2,3 (3ct 0st),0.818
Rahmanullah Gurbaz (AFG),2025-2025,14,12,9,9,0,3 (3ct 0st),0.75
SD Hope (WI),2025-2025,19,15,9,9,0,2 (2ct 0st),0.6
Rohit Kumar (ROM),2025-2025,8,6,8,8,0,3 (3ct 0st),1.333
Nawazish Akhtar (KSA),2025-2025,7,7,8,7,1,2 (2ct 0st),1.142
I Liyanage (QAT),2025-2025,9,9,8,5,3,2 (2ct 0st),0.888
AP Yadav (THA),2025-2025,10,10,8,6,2,2 (2ct 0st),0.8
S Singh (KENYA),2025-2025,11,11,8,8,0,2 (2ct 0st),0.727
