player_name,match_type,match_id,runs,balls_faced,fours,sixes,not_outs,strike_rate,avg,power_play_impact,match_winning_impact,death_overs_efficiency,pressure_handling,boundary_consistency,confidence_interval,form_index
A Ashok,ODI,2026,55,0,0,0,0,36.0,55.0,14.4,49.5,10.799999999999999,27.5,0.0,0.53,55.0
A Athanaze,TEST,2024,448,796,50,2,0,28.14,24.88,100.0,64.704,18.442,12.44,19.597989949748744,0.4907,448.0
A Athanaze,TEST,2025,221,438,27,1,0,25.225,18.41,64.09,36.828,12.567499999999999,9.205,19.17808219178082,0.47612499999999996,314.4705882352941
A Athanaze,TEST,22-Nov-24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,170.87671232876713
A Athanaze,TEST,25-Jan-25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,103.41650217133834
A Athanaze,TEST,30-Nov-24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,66.12376041253471
A Augastin,T20,2025,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
A Augastin,T20,2026,145,102,15,4,2,142.15,72.5,86.86000000000001,72.5,62.645,66.25,55.88235294117647,0.9392499999999999,85.29411764705883
A Balbirnie,ODI,02-Oct-24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
A Balbirnie,ODI,14-Feb-25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
A Balbirnie,ODI,2024,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
A Balbirnie,ODI,2025,190,267,15,5,0,35.58,38.0,44.232,49.400000000000006,35.674,19.0,22.471910112359552,0.5279,75.00986971969996
A Balbirnie,T20,2024,298,262,32,8,0,113.74,24.83,100.0,49.664,74.122,12.415,45.80152671755725,0.9187000000000001,298.0
A Balbirnie,TEST,11-Nov-25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
A Balbirnie,TEST,19-Nov-25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
A Balbirnie,TEST,2024,83,161,8,0,1,25.775,27.66,26.310000000000002,30.428,7.732499999999999,28.83,14.906832298136646,0.47887500000000005,37.89954337899543
A Balbirnie,TEST,2025,147,317,13,0,0,23.185,24.5,35.274,34.3,6.9555,12.25,12.302839116719243,0.46592500000000003,80.97118041847611
A Balbirnie,TEST,28-Feb-24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,51.772384695827775
