player_name,role,Runs 2025,bat_avg,Wkts 2025,bowl_avg,strike_rate,highest_score,economy,Bowling SR,team,format,wickets,name_key,bbi_wkts,designation,role_sq,runs,innings,matches_played,centuries,five_wickets,batting_score,bowling_score,allrounder_score,is_wicketkeeper,is_batter,is_bowler,is_spin_bowler,is_pace_bowler,is_allrounder,is_batting_ar,is_bowling_ar,high_striker,power_hitter,elite_striker,experienced_batter,elite_batter,wicket_taker,economy_bowler,century_scorer,role_encoded,is_in_probable_11
Babar Azam,Batter,820,58.5,,0.0,89.5,151.0,0.0,0.0,Pakistan,ODI,0.0,babar azam,,,Batter,6501.0,137.0,140.0,20.0,0.0,100.0,0.0,28.031135977752395,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
Mushfiqur Rahim,Wicketkeeper,440,40.0,0.0,0.0,79.2,82.0,0.0,0.0,Bangladesh,ODI,0.0,mushfiqur rahim,,,,7795.0,256.0,274.0,9.0,0.0,87.30018125076657,0.0,24.10184795473869,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1
Quinton de Kock,Wicketkeeper,353,70.6,,0.0,105.2,145.0,0.0,0.0,South Africa,ODI,0.0,quinton de kock,,,Wicketkeeper-Batter,0.0,0.0,0.0,0.0,0.0,79.31424522002207,0.0,21.63102192030792,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1
Mahmudullah,Batting All-Rounder,310,38.75,5.0,33.2,86.8,75.0,5.25,37.9,Bangladesh,ODI,82.0,mahmudullah,,,,5689.0,209.0,239.0,4.0,0.0,76.18119625505935,39.810542259243164,56.748476577775946,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,1
Sikandar Raza,Batting All-Rounder,580,44.61,,32.4,88.5,115.0,4.8,40.5,Zimbabwe,ODI,15.0,sikandar raza,,Captain,All-Rounder,4476.0,144.0,153.0,7.0,0.0,75.50661633437359,8.807636672181914,28.43675516919848,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,1
Mohammad Nabi,Batting All-Rounder,340,30.9,14.0,32.2,171.0,136.0,4.8,40.3,Afghanistan,ODI,176.0,mohammad nabi,,,All-Rounder,3762.0,154.0,176.0,2.0,0.0,75.40031889232615,83.70132580011258,96.29227706011132,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,2,1
Virat Kohli,Batter,951,65.0,2.0,45.0,96.15,135.0,5.5,49.1,India,ODI,0.0,virat kohli,,,,0.0,0.0,0.0,0.0,0.0,72.12213303533709,1.4185651037665261,20.691680502508646,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
Fakhar Zaman,Batter,640,42.6,,0.0,92.4,142.0,0.0,0.0,Pakistan,ODI,0.0,fakhar zaman,,,Batter,3861.0,91.0,92.0,11.0,0.0,71.03394704206927,0.0,19.069121069590967,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Dewald Brevis,Batter,520,47.0,,0.0,171.1,132.0,0.0,0.0,South Africa,ODI,0.0,rassie van der dussen,,,,0.0,0.0,0.0,0.0,0.0,70.27214870739586,0.0,18.833422818183664,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
Lhuan-dre Pretorius,Wicketkeeper,480,43.0,,0.0,188.5,115.0,0.0,0.0,South Africa,ODI,0.0,heinrich klaasen,,,Wicketkeeper-Batter,0.0,0.0,0.0,0.0,0.0,70.01321904087001,0.0,18.75331071126526,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,7,0
Matthew Breetzke,Batter,706,64.18,,0.0,88.5,124.0,0.0,0.0,South Africa,ODI,0.0,matthew breetzke,,,,0.0,0.0,0.0,0.0,0.0,69.77609397784107,0.0,18.679944887034722,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Mohammad Rizwan,Wicketkeeper,550,45.8,,0.0,88.6,124.0,0.0,0.0,Pakistan,ODI,0.0,mohammad rizwan,,,,2979.0,94.0,103.0,4.0,0.0,68.50188746099019,0.0,18.285708992462574,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,1
Shubman Gill,Batter,490,44.55,2.0,0.0,88.76,101.0,0.0,0.0,India,ODI,0.0,shubman gill,,,,2953.0,61.0,61.0,8.0,0.0,67.20042518976818,0.0,17.883040244530598,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Hardik Pandya,Batting All-Rounder,720,40.0,28.0,34.0,180.5,92.0,5.4,37.8,India,ODI,0.0,hardik pandya,,,All-Rounder,0.0,0.0,0.0,0.0,0.0,65.51601956963165,1.609003935114791,18.820393555747778,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,2,1
Glenn Phillips,Batting All-Rounder,760,38.0,18.0,36.0,182.2,88.0,5.25,41.1,New Zealand,ODI,0.0,glenn phillips,,,All-Rounder,0.0,0.0,0.0,0.0,0.0,63.95562763188377,1.6150210052834715,18.34306695654271,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,2,1
Rahmat Shah,Batter,510,36.42,4.0,38.0,76.5,114.0,5.25,43.4,Afghanistan,ODI,15.0,rahmat shah,,,,4034.0,120.0,125.0,5.0,0.0,62.8313277640742,8.559136674550732,24.28980048867949,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Pathum Nissanka,Batter,840,56.0,,0.0,92.5,154.0,0.0,0.0,Sri Lanka,ODI,0.0,pathum nissanka,,,Batter,0.0,0.0,0.0,0.0,0.0,62.79044413251748,0.0,16.518604570909787,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Sherfane Rutherford,Batter,350,38.8,,41.0,172.1,102.0,5.2,47.3,West Indies,ODI,2.0,sherfane rutherford,,,All-Rounder,0.0,0.0,0.0,0.0,0.0,62.654165360661764,2.4834159561554516,18.727566702641486,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1
Dasun Shanaka,Batting All-Rounder,408,38.42,,31.08,173.7,104.0,5.24,34.39,Sri Lanka,ODI,5.0,dasun shanaka,,,All-Rounder,0.0,0.0,0.0,0.0,0.0,62.61873287997929,4.043448617726676,20.130716960668007,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,2,1
Towhid Hridoy,Batter,610,46.92,0.0,0.0,95.0,101.0,0.0,0.0,Bangladesh,ODI,0.0,towhid hridoy,,,,1459.0,45.0,50.0,1.0,0.0,62.5928399133267,0.0,16.457466384051006,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
A. Omarzai,Bowling All-Rounder,420,38.18,18.0,29.5,170.8,97.0,5.45,32.5,Afghanistan,ODI,0.0,a. omarzai,,,,0.0,0.0,0.0,0.0,0.0,61.79697188568937,1.6969115924598812,17.749415814506648,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,4,1
Travis Head,Batter,720,48.0,6.0,45.0,122.4,152.0,5.5,49.1,Australia,ODI,0.0,travis head,,,Batter,0.0,0.0,0.0,0.0,0.0,61.27093582632632,1.4185651037665261,17.33435075862554,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
Shai Hope,Wicketkeeper,654,55.83,,0.0,80.2,120.0,0.0,0.0,West Indies,ODI,0.0,shai hope,,,Wicketkeeper-Batter,0.0,0.0,0.0,0.0,0.0,60.11392905327138,0.0,15.690498370974286,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1
Glenn Maxwell,Batting All-Rounder,700,35.0,20.0,42.0,175.2,201.0,4.95,50.9,Australia,ODI,0.0,glenn maxwell,,,All-Rounder,0.0,0.0,0.0,0.0,0.0,59.66284631842899,1.6190063374731172,17.01850511130309,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,2,1
Daryl Mitchell,Batting All-Rounder,910,52.0,10.0,42.0,94.2,145.0,5.45,46.2,New Zealand,ODI,0.0,daryl mitchell,,,Batter,0.0,0.0,0.0,0.0,0.0,59.32214938878971,1.468137171047136,16.776337022567574,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,2,1
Tristan Stubbs,Batting All-Rounder,410,34.0,,40.0,177.4,78.0,5.65,42.5,South Africa,ODI,6.0,tristan stubbs,,,Batter,0.0,0.0,0.0,0.0,0.0,59.15861486256286,4.233168745232579,19.232140634026724,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,2,1
Shimron Hetmyer,Batter,380,34.5,,0.0,173.2,126.0,0.0,0.0,West Indies,ODI,0.0,shimron hetmyer,,,Batter,0.0,0.0,0.0,0.0,0.0,58.77703430136687,0.0,15.276866913674528,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Rohit Sharma,Batter,850,50.0,0.0,0.0,100.46,121.0,0.0,0.0,India,ODI,0.0,rohit sharma,,,,0.0,0.0,0.0,0.0,0.0,58.6939042505349,0.0,15.251146710927042,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Ibrahim Zadran,Batter,640,42.66,0.0,0.0,82.4,129.0,0.0,0.0,Afghanistan,ODI,0.0,ibrahim zadran,,,Batter,1869.0,39.0,39.0,6.0,0.0,58.18831000695022,0.0,15.094717281102156,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Jos Buttler,Wicketkeeper,820,45.5,0.0,0.0,118.5,162.0,0.0,0.0,England,ODI,0.0,jos buttler,,,Wicketkeeper-Batter,0.0,0.0,0.0,0.0,0.0,58.088826503495554,0.0,15.063937366338774,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1
Liam Livingstone,Batting All-Rounder,680,34.0,22.0,38.0,172.0,95.0,5.95,38.3,England,ODI,0.0,liam livingstone,,,,0.0,0.0,0.0,0.0,0.0,58.054756810531615,1.3994565496282245,16.321952851615894,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,2,1
Shreyas Iyer,Batter,780,48.0,0.0,0.0,95.8,105.0,0.0,0.0,India,ODI,0.0,shreyas iyer,,,,0.0,0.0,0.0,0.0,0.0,55.833412829283574,0.0,14.366118750812674,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Harry Tector,Batter,650,50.0,6.0,39.0,85.2,140.0,5.45,42.9,Ireland,ODI,0.0,harry tector,,,Batter,0.0,0.0,0.0,0.0,0.0,55.574483162757744,1.5096685275497577,15.654466352375643,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
Joe Root,Batter,780,48.0,4.0,45.0,92.4,133.0,5.4,50.0,England,ODI,0.0,joe root,,,,0.0,0.0,0.0,0.0,0.0,55.13839109281946,1.4459730023339121,15.461803017612347,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
Harry Brook,Batter,860,43.0,2.0,50.0,115.2,102.0,5.8,51.7,England,ODI,0.0,harry brook,,Captain,Batter,0.0,0.0,0.0,0.0,0.0,55.0293680753349,1.2916206285447829,15.288156781425997,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
KL Rahul,Wicketkeeper,720,46.0,0.0,0.0,90.5,108.0,0.0,0.0,India,ODI,0.0,kl rahul,,,,367.0,11.0,14.0,0.0,0.0,54.84266615789258,0.0,14.059584531182782,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1
Marcus Stoinis,Batting All-Rounder,430,30.0,22.0,38.0,172.0,62.0,5.75,39.7,Australia,ODI,0.0,marcus stoinis,,,All-Rounder,0.0,0.0,0.0,0.0,0.0,54.2389511985718,1.4470423494061642,15.184488181033956,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,2,1
Litton Das,Wicketkeeper,420,32.3,0.0,0.0,85.6,95.0,0.0,0.0,Bangladesh,ODI,0.0,litton das,,,,2783.0,100.0,101.0,5.0,0.0,53.94186347592635,0.0,13.780878727640335,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0
Rovman Powell,Batting All-Rounder,210,28.1,,39.0,175.6,95.0,5.6,41.8,West Indies,ODI,5.0,rovman powell,,Captain,All-Rounder,0.0,0.0,0.0,0.0,0.0,53.1623489009117,3.795417221671098,16.98010703225987,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,2,1
