Date,Series,Venue,Toss_Winner,Toss_Decision,1st_Inn_Runs,1st_Inn_Wkts,2nd_Inn_Runs,2nd_Inn_Wkts,3rd_Inn_Runs,3rd_Inn_Wkts,4th_Inn_Runs,4th_Inn_Wkts,Result,POM,Format,Search_Field,Toss_Enc,Venue_Enc
24/02/09,SL v AFG,Pallekele International Cricket Stadium,Afghanistan,Bowl,381,3,339,6,0,0,0,0,SL (42 runs),P. Nissanka,ODI,SL V AFG AFGHANISTAN SL (42 RUNS),0,83
24/02/11,SL v AFG,Pallekele International Cricket Stadium,Sri Lanka,Bat,308,6,153,10,0,0,0,0,SL (155 runs),C. Asalanka,ODI,SL V AFG SRI LANKA SL (155 RUNS),21,83
24/02/14,SL v AFG,Pallekele International Cricket Stadium,Afghanistan,Bat,266,10,267,3,0,0,0,0,SL (7 wkts),P. Nissanka,ODI,SL V AFG AFGHANISTAN SL (7 WKTS),0,83
24/03/07,AFG v IRE,Sharjah Cricket Stadium,Ireland,Bowl,310,5,275,8,0,0,0,0,AFG (35 runs),R. Gurbaz,ODI,AFG V IRE IRELAND AFG (35 RUNS),7,112
24/03/12,AFG v IRE,Sharjah Cricket Stadium,Ireland,Bowl,236,9,119,10,0,0,0,0,AFG (117 runs),Mohammad Nabi,ODI,AFG V IRE IRELAND AFG (117 RUNS),7,112
24/09/18,AFG v SA,Sharjah Cricket Stadium,South Africa,Bat,106,10,107,4,0,0,0,0,AFG (6 wkts),F. Farooqi,ODI,AFG V SA SOUTH AFRICA AFG (6 WKTS),20,112
24/09/20,AFG v SA,Sharjah Cricket Stadium,Afghanistan,Bat,311,4,134,10,0,0,0,0,AFG (177 runs),Rashid Khan,ODI,AFG V SA AFGHANISTAN AFG (177 RUNS),0,112
24/09/22,AFG v SA,Sharjah Cricket Stadium,Afghanistan,Bat,169,10,170,3,0,0,0,0,SA (7 wkts),R. Gurbaz,ODI,AFG V SA AFGHANISTAN SA (7 WKTS),0,112
24/11/06,AFG v BAN,Sharjah Cricket Stadium,Afghanistan,Bat,235,10,143,10,0,0,0,0,AFG (92 runs),Allah Ghazanfar,ODI,AFG V BAN AFGHANISTAN AFG (92 RUNS),0,112
24/11/09,AFG v BAN,Sharjah Cricket Stadium,Bangladesh,Bat,252,7,184,10,0,0,0,0,BAN (68 runs),N. H. Shanto,ODI,AFG V BAN BANGLADESH BAN (68 RUNS),2,112
24/11/11,AFG v BAN,Sharjah Cricket Stadium,Bangladesh,Bat,244,8,246,5,0,0,0,0,AFG (5 wkts),A. Omarzai,ODI,AFG V BAN BANGLADESH AFG (5 WKTS),2,112
24/12/17,ZIM v AFG,Harare Sports Club,Afghanistan,Bowl,44,5,0,0,0,0,0,0,No Result,,ODI,ZIM V AFG AFGHANISTAN NO RESULT,0,46
24/12/19,ZIM v AFG,Harare Sports Club,Zimbabwe,Bowl,286,6,54,10,0,0,0,0,AFG (232 runs),Sediqullah Atal,ODI,ZIM V AFG ZIMBABWE AFG (232 RUNS),26,46
24/12/21,ZIM v AFG,Harare Sports Club,Afghanistan,Bowl,127,10,131,2,0,0,0,0,AFG (8 wkts),Allah Ghazanfar,ODI,ZIM V AFG AFGHANISTAN AFG (8 WKTS),0,46
25/02/21,ICC CT (SA),Karachi National Stadium,South Africa,Bowl,181,10,288,5,0,0,0,0,SA (107 runs),Quinton de Kock,ODI,ICC CT (SA) SOUTH AFRICA SA (107 RUNS),20,53
25/02/26,ICC CT (ENG),Gaddafi Stadium,England,Bowl,265,9,257,10,0,0,0,0,AFG (8 runs),Fazalhaq Farooqi,ODI,ICC CT (ENG) ENGLAND AFG (8 RUNS),4,36
25/02/28,ICC CT (AUS),Gaddafi Stadium,,,0,0,0,0,0,0,0,0,No Result,,ODI,,27,36
25/10/08,AFG v BAN,Sheikh Zayed Stadium,Bangladesh,Bat,221,10,226,5,0,0,0,0,AFG (5 wkts),A. Omarzai,ODI,AFG V BAN BANGLADESH AFG (5 WKTS),2,114
25/10/11,AFG v BAN,Sheikh Zayed Stadium,Afghanistan,Bat,255,8,174,10,0,0,0,0,AFG (81 runs),Rashid Khan,ODI,AFG V BAN AFGHANISTAN AFG (81 RUNS),0,114
25/10/14,AFG v BAN,Sheikh Zayed Stadium,Afghanistan,Bat,293,9,93,10,0,0,0,0,AFG (200 runs),Bilal Sami,ODI,AFG V BAN AFGHANISTAN AFG (200 RUNS),0,114
24/02/01,AUS v WI,Melbourne Cricket Ground,Australia,Bowl,231,10,232,2,0,0,0,0,AUS (8 wkts),Xavier Bartlett,ODI,AUS V WI AUSTRALIA AUS (8 WKTS),1,70
24/02/04,AUS v WI,Sydney Cricket Ground,West Indies,Bowl,258,9,175,10,0,0,0,0,AUS (83 runs),Sean Abbott,ODI,AUS V WI WEST INDIES AUS (83 RUNS),25,128
24/02/06,AUS v WI,Manuka Oval,Australia,Bowl,86,10,87,2,0,0,0,0,AUS (8 wkts),Xavier Bartlett,ODI,AUS V WI AUSTRALIA AUS (8 WKTS),1,66
24/09/19,ENG v AUS,Trent Bridge,England,Bat,315,10,317,3,0,0,0,0,AUS (7 wkts),Travis Head,ODI,ENG V AUS ENGLAND AUS (7 WKTS),4,136
24/09/21,ENG v AUS,Headingley,England,Bowl,270,10,202,10,0,0,0,0,AUS (68 runs),Alex Carey,ODI,ENG V AUS ENGLAND AUS (68 RUNS),4,48
24/09/24,ENG v AUS,Riverside Ground,Australia,Bowl,304,7,226,2,0,0,0,0,ENG (46 runs*),Harry Brook,ODI,ENG V AUS AUSTRALIA ENG (46 RUNS*),1,102
24/09/27,ENG v AUS,Lord's,Australia,Bowl,312,5,126,10,0,0,0,0,ENG (186 runs),Liam Livingstone,ODI,ENG V AUS AUSTRALIA ENG (186 RUNS),1,58
24/09/29,ENG v AUS,County Ground (Bristol),Australia,Bowl,309,10,165,2,0,0,0,0,AUS (49 runs*),Travis Head,ODI,ENG V AUS AUSTRALIA AUS (49 RUNS*),1,25
24/11/04,AUS v PAK,Melbourne Cricket Ground,Australia,Bowl,203,10,204,8,0,0,0,0,AUS (2 wkts),Mitchell Starc,ODI,AUS V PAK AUSTRALIA AUS (2 WKTS),1,70
24/11/08,AUS v PAK,Adelaide Oval,Pakistan,Bowl,163,10,169,1,0,0,0,0,PAK (9 wkts),Haris Rauf,ODI,AUS V PAK PAKISTAN PAK (9 WKTS),15,2
24/11/10,AUS v PAK,Perth Stadium,Pakistan,Bowl,140,10,143,2,0,0,0,0,PAK (8 wkts),Haris Rauf,ODI,AUS V PAK PAKISTAN PAK (8 WKTS),15,87
25/02/12,SL v AUS,R. Premadasa Stadium,Sri Lanka,Bat,275,7,226,10,0,0,0,0,SL (49 runs),Kusal Mendis,ODI,SL V AUS SRI LANKA SL (49 RUNS),21,94
25/02/13,SL v AUS,R. Premadasa Stadium,Sri Lanka,Bat,281,10,107,10,0,0,0,0,SL (174 runs),Kusal Mendis,ODI,SL V AUS SRI LANKA SL (174 RUNS),21,94
25/02/22,ICC CT (ENG),Gaddafi Stadium,Australia,Bowl,240,10,241,5,0,0,0,0,AUS (5 wkts),Mitchell Marsh,ODI,ICC CT (ENG) AUSTRALIA AUS (5 WKTS),1,36
25/02/28,ICC CT (AFG),Gaddafi Stadium,,,0,0,0,0,0,0,0,0,No Result,,ODI,,27,36
25/03/04,ICC CT (IND),Dubai Intl Stadium,Australia,Bat,258,8,259,6,0,0,0,0,IND (4 wkts),Virat Kohli,ODI,ICC CT (IND) AUSTRALIA IND (4 WKTS),1,31
25/08/18,AUS v SA,Cazaly's Stadium,Australia,Bowl,296,8,198,10,0,0,0,0,SA (98 runs),Keshav Maharaj,ODI,AUS V SA AUSTRALIA SA (98 RUNS),1,20
25/08/22,AUS v SA,Harrup Park,South Africa,Bat,265,7,181,10,0,0,0,0,SA (84 runs),Quinton de Kock,ODI,AUS V SA SOUTH AFRICA SA (84 RUNS),20,47
25/08/24,AUS v SA,Harrup Park,Australia,Bat,382,4,106,10,0,0,0,0,AUS (276 runs),Marnus Labuschagne,ODI,AUS V SA AUSTRALIA AUS (276 RUNS),1,47
25/10/18,AUS v IND,Perth Stadium,Australia,Bowl,136,9,131,3,0,0,0,0,AUS (7 wkts*),Mitchell Marsh,ODI,AUS V IND AUSTRALIA AUS (7 WKTS*),1,87
25/10/23,AUS v IND,Adelaide Oval,India,Bat,244,10,245,8,0,0,0,0,AUS (2 wkts),Glenn Maxwell,ODI,AUS V IND INDIA AUS (2 WKTS),6,2
25/10/25,AUS v IND,Sydney Cricket Ground,India,Bat,321,4,212,10,0,0,0,0,IND (9 wkts*),Rohit Sharma,ODI,AUS V IND INDIA IND (9 WKTS*),6,128
24/03/13,BAN v SL,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bat,255,10,257,4,0,0,0,0,BAN (6 wkts),Najmul Shanto,ODI,BAN V SL SRI LANKA BAN (6 WKTS),21,145
24/03/15,BAN v SL,Zahur Ahmed Chowdhury Stadium,Bangladesh,Bowl,286,7,287,7,0,0,0,0,SL (3 wkts),Pathum Nissanka,ODI,BAN V SL BANGLADESH SL (3 WKTS),2,145
24/03/18,BAN v SL,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bat,235,10,237,6,0,0,0,0,BAN (4 wkts),Rishad Hossain,ODI,BAN V SL SRI LANKA BAN (4 WKTS),21,145
24/11/06,AFG v BAN,Sharjah Cricket Stadium,Afghanistan,Bat,235,10,143,10,0,0,0,0,AFG (92 runs),Allah Ghazanfar,ODI,AFG V BAN AFGHANISTAN AFG (92 RUNS),0,112
24/11/09,AFG v BAN,Sharjah Cricket Stadium,Bangladesh,Bat,252,7,184,10,0,0,0,0,BAN (68 runs),Najmul Shanto,ODI,AFG V BAN BANGLADESH BAN (68 RUNS),2,112
24/11/11,AFG v BAN,Sharjah Cricket Stadium,Bangladesh,Bat,244,8,246,5,0,0,0,0,AFG (5 wkts),Azmatullah Omarzai,ODI,AFG V BAN BANGLADESH AFG (5 WKTS),2,112
24/12/08,WI v BAN,Warner Park Cricket Ground,Bangladesh,Bowl,251,10,252,5,0,0,0,0,WI (5 wkts),Shai Hope,ODI,WI V BAN BANGLADESH WI (5 WKTS),2,143
24/12/10,WI v BAN,Warner Park Cricket Ground,West Indies,Bat,280,6,212,10,0,0,0,0,WI (7 wkts),Brandon King,ODI,WI V BAN WEST INDIES WI (7 WKTS),25,143
24/12/12,WI v BAN,Warner Park Cricket Ground,Bangladesh,Bowl,210,10,211,6,0,0,0,0,WI (4 wkts),Alzarri Joseph,ODI,WI V BAN BANGLADESH WI (4 WKTS),2,143
25/02/20,ICC CT (IND),Dubai International Cricket Stadium,India,Bowl,198,10,201,4,0,0,0,0,IND (6 wkts),Jasprit Bumrah,ODI,ICC CT (IND) INDIA IND (6 WKTS),6,30
25/02/24,ICC CT (NZ),Rawalpindi Cricket Stadium,New Zealand,Bowl,242,8,245,5,0,0,0,0,NZ (5 wkts),Daryl Mitchell,ODI,ICC CT (NZ) NEW ZEALAND NZ (5 WKTS),13,100
25/07/02,SL v BAN,R. Premadasa International Cricket Stadium,Bangladesh,Bowl,244,10,167,10,0,0,0,0,SL (77 runs),Kusal Mendis,ODI,SL V BAN BANGLADESH SL (77 RUNS),2,93
25/07/05,SL v BAN,R. Premadasa International Cricket Stadium,Bangladesh,Bat,248,10,232,10,0,0,0,0,BAN (16 runs),Mehidy Hasan,ODI,SL V BAN BANGLADESH BAN (16 RUNS),2,93
25/07/08,SL v BAN,Pallekele International Cricket Stadium,Sri Lanka,Bat,285,7,186,10,0,0,0,0,SL (99 runs),Kusal Mendis,ODI,SL V BAN SRI LANKA SL (99 RUNS),21,83
25/10/08,AFG v BAN,Sheikh Zayed Stadium,Bangladesh,Bat,221,10,226,5,0,0,0,0,AFG (5 wkts),Azmatullah Omarzai,ODI,AFG V BAN BANGLADESH AFG (5 WKTS),2,114
25/10/11,AFG v BAN,Sheikh Zayed Stadium,Afghanistan,Bat,255,8,174,10,0,0,0,0,AFG (81 runs),Rashid Khan,ODI,AFG V BAN AFGHANISTAN AFG (81 RUNS),0,114
25/10/14,AFG v BAN,Sheikh Zayed Stadium,Afghanistan,Bat,293,9,93,10,0,0,0,0,AFG (200 runs),Bilal Sami,ODI,AFG V BAN AFGHANISTAN AFG (200 RUNS),0,114
