player_name,role,Runs 2025,bat_avg,Wkts 2025,bowl_avg,strike_rate,highest_score,economy,Bowling SR,team,format,wickets,name_key,bbi_wkts,designation,role_sq,runs,innings,matches_played,centuries,five_wickets,batting_score,bowling_score,allrounder_score,is_wicketkeeper,is_batter,is_bowler,is_spin_bowler,is_pace_bowler,is_allrounder,is_batting_ar,is_bowling_ar,high_striker,power_hitter,elite_striker,experienced_batter,elite_batter,wicket_taker,economy_bowler,century_scorer,role_encoded,is_in_probable_11
Abhishek Sharma,Batter,859,43.0,0.0,0.0,193.46,135.0,0.0,0.0,India,T20,7.0,abhishek sharma,,,All-Rounder,1438.0,45.0,46.0,2.0,0.0,99.99999999999999,3.583755496385812,29.902666995785605,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
Babar Azam,Batter,580,41.4,,0.0,130.2,122.0,0.0,0.0,Pakistan,T20,0.0,babar azam,,,Batter,4596.0,136.0,145.0,3.0,0.0,90.47085396577187,0.0,23.87948544636372,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Sahibzada Farhan,Batter,760,50.9,,0.0,161.1,100.0,0.0,0.0,Pakistan,T20,0.0,sahibzada farhan,,,Batter,1305.0,45.0,46.0,2.0,0.0,89.79063504473983,0.0,23.669164060624016,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1
Tilak Varma,Batter,507,72.0,0.0,0.0,131.48,69.0,0.0,0.0,India,T20,0.0,tilak varma,,,Batter,0.0,0.0,0.0,0.0,0.0,83.0657631830423,0.0,21.58985646546299,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Tim David,Batter,650,36.0,0.0,0.0,188.5,64.0,0.0,0.0,Australia,T20,0.0,tim david,,,All-Rounder,0.0,0.0,0.0,0.0,0.0,82.1631482929372,0.0,21.310770999583607,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Sikandar Raza,Batting All-Rounder,490,35.0,,21.4,145.2,88.0,7.2,17.8,Zimbabwe,T20,21.0,sikandar raza,11-Mar,Captain,All-Rounder,3089.0,128.0,133.0,1.0,0.0,82.16054209017462,12.558211436488323,32.09170756669728,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,2,1
Shreyas Iyer,Batter,920,38.0,0.0,0.0,178.4,112.0,0.0,0.0,India,T20,0.0,shreyas iyer,,,,0.0,0.0,0.0,0.0,0.0,78.90105116844757,0.0,20.302141620972353,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Rahmanullah Gurbaz,Wicketkeeper,540,36.0,0.0,0.0,142.5,105.0,0.0,0.0,Afghanistan,T20,0.0,rahmanullah gurbaz,,,Wicketkeeper-Batter,2280.0,87.0,87.0,1.0,0.0,76.0298844583442,0.0,19.414386601981644,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1
Shai Hope,Wicketkeeper,527,58.55,,0.0,136.6,102.0,0.0,0.0,West Indies,T20,0.0,shai hope,,,Wicketkeeper-Batter,0.0,0.0,0.0,0.0,0.0,74.99609069585615,0.0,19.09474107320737,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1
Fakhar Zaman,Batter,390,32.5,,0.0,140.8,91.0,0.0,0.0,Pakistan,T20,0.0,fakhar zaman,,,Batter,2494.0,110.0,120.0,0.0,0.0,73.96837807314743,0.0,18.776975812249415,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Travis Head,Batter,600,35.0,3.0,40.0,172.5,91.0,9.1,26.4,Australia,T20,0.0,travis head,,,Batter,0.0,0.0,0.0,0.0,0.0,73.73642602727827,1.023218973633127,19.583732710107252,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Glenn Maxwell,Batting All-Rounder,700,29.0,28.0,34.0,182.3,104.0,8.45,24.1,Australia,T20,0.0,glenn maxwell,,,All-Rounder,0.0,0.0,0.0,0.0,0.0,73.72773868473634,1.218460389398286,19.748669420064456,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,2,1
Jos Buttler,Wicketkeeper,750,44.1,0.0,0.0,155.2,101.0,0.0,0.0,England,T20,0.0,jos buttler,,,Wicketkeeper-Batter,0.0,0.0,0.0,0.0,0.0,72.58535314047434,0.0,18.34934918888082,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1
Phil Salt,Batter,680,35.8,0.0,0.0,168.4,119.0,0.0,0.0,England,T20,0.0,phil salt,,,Wicketkeeper-Batter,0.0,0.0,0.0,0.0,0.0,72.40291894709408,0.0,18.29294115439124,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1
Litton Das,Wicketkeeper,440,29.33,0.0,0.0,135.5,85.0,0.0,0.0,Bangladesh,T20,0.0,litton das,,,,2676.0,119.0,121.0,0.0,0.0,70.22239596907305,0.0,17.61873083739677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
