Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
R. Gurbaz,WK,720,45,0,0,88.5,151,0,0
Ibrahim Zadran,Batter,640,42.66,0,0,82.4,129,0,0
Rahmat Shah,Batter,510,36.42,4,38,76.5,114,5.25,43.4
H. Shahidi,Batter,580,44.61,0,0,74.2,97,0,0
A. Omarzai,Bowling All-rounder,420,38.18,18,29.5,170.8,97,5.45,32.5
Mohammad Nabi,Batting All-rounder,340,30.9,14,32.2,171,136,4.8,40.3
Gulbadin Naib,Bowling All-rounder,280,25.45,10,34.8,94.5,82,5.65,37
Ikram Alikhil,WK,190,27.14,0,0,78,58,0,0
Rashid Khan,Bowler,210,21,28,22.4,105.4,60,4.35,30.9
N. Kharote,Bowler,85,17,15,26.5,85,45,4.95,32.1
F. Farooqi,Bowler,40,8,24,25.1,65,12,4.85,31.1
A. Ghazanfar,Bowler,30,10,16,23.8,70,15,4.7,30.4
Noor Ahmad,Bowler,25,6.25,19,24.9,60,10,4.9,30.5
Fareed Malik,Bowler,20,5,12,30.4,62,8,5.5,33.2
Bilal Sami,Bowler,15,7.5,11,28.2,55,5,5.75,29.4
