Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Rahmanullah Gurbaz,WK,540,36,0,0,142.5,105,0,0
Ibrahim Zadran,Batter,410,34.16,0,0,125,82,0,0
Sediqullah Atal,Batter,380,31.66,0,0,138,75,0,0
Azmatullah Omarzai,Bowling All-rounder,290,26.36,14,22.5,148.5,66,7.8,17.3
Mohammad Nabi,Batting All-rounder,210,23.33,11,24.8,140,54,7.2,20.7
Najibullah Zadran,Batter,240,24,0,0,152,72,0,0
Karim Janat,Bowling All-rounder,180,20,9,26.4,145,48,8.5,18.6
Rashid Khan,Bowler,110,18.33,25,17.8,160,35,6.4,16.7
Mujeeb Ur Rahman,Bowler,45,9,18,20.2,110,18,6.8,17.8
Noor Ahmad,Bowler,30,10,21,18.5,105,12,6.7,16.6
Naveen-ul-Haq,Bowler,15,5,22,19.4,115,10,7.9,14.7
Fazalhaq Farooqi,Bowler,10,3.33,20,20.1,90,8,7.1,17
Mohammad Ishaq,WK,140,23.33,0,0,135,42,0,0
Nangeyalia Kharote,Bowler,60,15,12,21.5,128,30,7.4,17.4
Fareed Ahmad,Bowler,20,6.66,13,23.2,112,15,8.2,17
