Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Mitchell Marsh,Batting All-rounder,640,40,18,32,105.7,96,5.6,34.3
Travis Head,Batter,720,48,6,45,122.4,152,5.5,49.1
Marnus Labuschagne,Batter,580,36,4,50,84.1,92,5.8,51.7
Steve Smith,Batter,670,44.6,3,48,88.5,105,5.4,53.3
Cameron Green,Batting All-rounder,510,36,14,40,95.5,58,5.4,44.4
Matthew Short,Batter,520,37,10,34,102.5,88,5.25,38.9
Matt Renshaw,Batter,450,32,6,36,78.2,74,6.1,35.4
Alex Carey,WK,610,38,0,0,92.4,67,0,0
Josh Inglis,WK,480,34,0,0,108.5,110,0,0
Glenn Maxwell,Batting All-rounder,700,35,20,42,175.2,201,4.95,50.9
Marcus Stoinis,Batting All-rounder,430,30,22,38,172,62,5.75,39.7
Adam Zampa,Bowler,120,15,38,28,78.5,22,5.15,32.6
Mitchell Starc,Bowler,90,18,42,24,85,24,5.35,26.9
Josh Hazlewood,Bowler,60,12,28,26,60,10,4.8,32.5
Pat Cummins,Bowler,40,10,25,25,70,15,5.5,27.3
