Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Mitchell Marsh,Batting All-rounder,520,32.5,15,30,155.4,75,8.4,21.4
Travis Head,Batter,600,35,3,40,172.5,91,9.1,26.4
Steve Smith,Batter,480,30,10,32,132.4,78,8.2,23.4
Cameron Green,Batting All-rounder,410,27,14,33,142.1,55,8.8,22.5
Cooper Connolly,Batting All-rounder,350,29,16,31,138.5,44,7.85,23.7
Josh Inglis,WK,540,33,0,0,158.2,110,0,0
Matthew Short,Batter,580,34,18,28,162.4,72,7.9,21.3
Glenn Maxwell,Batting All-rounder,700,29,28,34,182.3,104,8.45,24.1
Marcus Stoinis,Batting All-rounder,620,31,26,30,145,62,8.35,21.6
Tim David,Batter,650,36,0,0,188.5,64,0,0
Adam Zampa,Bowler,90,12,45,22,90,15,7.25,18.2
Nathan Ellis,Bowler,70,14,38,23,110,18,7.6,18.2
Xavier Bartlett,Bowler,50,12,30,25,105,12,7.9,19
Ben Dwarshuis,Bowler,120,18,28,27,125,32,8.15,19.9
Matthew Kuhnemann,Bowler,40,10,18,26,85,10,7.45,20.9
