Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Mehidy Hasan Miraz,Bowling All-rounder,380,34.54,22,28.4,82.5,112,4.75,35.9
Tanzid Hasan,Batter,490,37.69,0,0,88,116,0,0
Soumya Sarkar,Batter,320,29.09,4,36.5,92.4,127,5.4,40.6
Najmul Shanto,Batter,550,42.3,2,41,78.5,122,5.1,48.2
Towhid Hridoy,Batter,610,46.92,0,0,95,101,0,0
Litton Das,WK,420,32.3,0,0,85.6,95,0,0
Mushfiqur Rahim,WK,440,40,0,0,79.2,82,0,0
Mahmudullah,Batting All-rounder,310,38.75,5,33.2,86.8,75,5.25,37.9
Rishad Hossain,Bowler,140,17.5,18,26.5,110.5,48,5.35,29.7
Taskin Ahmed,Bowler,60,12,26,24.1,65,18,5.2,27.8
Mustafizur Rahman,Bowler,35,7,24,25.8,58,12,5.15,30.1
Shoriful Islam,Bowler,20,5,19,29.2,52,10,5.45,32.1
Nahid Rana,Bowler,15,3.75,12,31.4,48,8,5.8,32.5
Tanvir Islam,Bowler,30,10,11,27.5,60,15,4.6,35.9
Afif Hossain,Batter,210,26.25,1,55,90,62,5.5,60
