Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Litton Das,WK,440,29.33,0,0,135.5,85,0,0
P. Hossain Emon,Batter,380,27.14,0,0,128.4,72,0,0
Tanzid Hasan,Batter,350,25,0,0,132,68,0,0
Tawhid Hridoy,Batter,410,31.53,0,0,138.6,92,0,0
Nurul Hasan,WK,220,24.44,0,0,125,45,0,0
Shamim Hossain,Batter,190,21.11,2,34,142.5,52,8.4,24.3
Mahedi Hasan,Bowling All-rounder,160,17.77,19,18.5,122,38,7.1,15.6
Rishad Hossain,Bowler,110,15.71,21,20.2,145,44,7.8,15.5
Nasum Ahmed,Bowler,45,9,15,22.4,110,18,6.9,19.5
Shoriful Islam,Bowler,25,6.25,18,21.5,95,12,8.2,15.7
Tanzim Sakib,Bowler,30,10,16,23.8,105,15,8.5,16.8
M. Rahman,Bowler,15,5,20,19.4,85,8,7.9,14.7
M. Saifuddin,Bowling All-rounder,120,20,12,26.1,128,42,8.4,18.6
Ripon Mondol,Bowler,10,5,9,24.2,90,6,8.1,17.9
A. G. Saqlain,Bowling All-rounder,85,21.25,7,25.5,130,32,7.6,20.1
