Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Jos Buttler,WK,750,44.1,0,0,155.2,101,0,0
Phil Salt,Batter,680,35.8,0,0,168.4,119,0,0
Will Jacks,Batting All-rounder,450,28.1,12,30,162.1,76,8.45,21.3
Jonny Bairstow,WK,520,32.5,0,0,145.5,82,0,0
Harry Brook,Batter,610,38.2,0,0,158,85,0,0
Liam Livingstone,Batting All-rounder,400,25,15,28.5,152.4,64,8.2,20.9
Liam Dawson,Bowling All-rounder,143,1.96,41,21.59,152.13,87,7.6,17.03
Sam Curran,Bowling All-rounder,280,20,25,24.5,140.5,48,8.55,17.2
Chris Jordan,Bowler,120,15,28,27.2,135,35,8.9,18.3
Jofra Archer,Bowler,50,12,33,22.5,120,25,7.45,18.1
Adil Rashid,Bowler,80,10,35,21.4,110,18,7.15,18
Reece Topley,Bowler,30,5,22,23.8,95,12,8.1,17.6
Mark Wood,Bowler,40,8,20,25,115,15,7.95,18.9
Tom Hartley,Bowler,60,15,18,28,125,20,7.55,22.3
Ben Duckett,WK,480,34.2,0,0,138.5,84,0,0
Jacob Bethell,Batting All-rounder,472,15.73,8,23.88,143.03,38,9.05,15.83
