Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Rohit Sharma,Batter,850,50,0,0,100.46,121,0,0
Shubman Gill,Batter,490,44.55,2,0,88.76,101,0,0
Virat Kohli,Batter,951,65,2,45,96.15,135,5.5,49.1
KL Rahul,WK,720,46,0,0,90.5,108,0,0
Shreyas Iyer,Batter,780,48,0,0,95.8,105,0,0
Suryakumar Yadav,Batter,650,36,0,0,125,88,0,0
Rishabh Pant,WK,700,38,0,0,108.5,125,0,0
Ishan Kishan,WK,620,34,0,0,104.2,210,0,0
Hardik Pandya,Batting All-rounder,720,40,28,34,180.5,92,5.4,37.8
Ravindra Jadeja,Bowling All-rounder,650,37,35,29,88.5,77,4.85,35.9
Axar Patel,Bowling All-rounder,580,35,32,30,92.4,64,4.75,37.9
Kuldeep Yadav,Bowler,120,15,45,26,75,33,4.95,31.5
Jasprit Bumrah,Bowler,77,13,63,24,65,28,4.45,28
Mohammed Siraj,Bowler,70,12,40,25,55,18,5.25,28.6
Arshdeep Singh,Bowler,50,10,29,27,60,15,5.65,28.7
