Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Abhishek Sharma,Batter,859,43,0,0,193.46,135,0,0
Sanju Samson,WK,680,33,0,0,155,119,0,0
Ishan Kishan,WK,700,34,0,0,140,89,0,0
Tilak Varma,Batter,507,72,0,0,131.48,69,0,0
Suryakumar Yadav,Batter,920,38,0,0,178.4,112,0,0
Hardik Pandya,Batting All-rounder,750,35,30,28,148.1,64,7.9,21.3
Shivam Dube,Batting All-rounder,700,34,18,32,160.5,95,8.8,21.8
Washington Sundar,Bowling All-rounder,600,30,28,29,135.5,46,7.1,24.5
Axar Patel,Bowling All-rounder,580,31,30,27,138.5,44,7.2,22.5
Kuldeep Yadav,Bowler,100,14,36,24,80,20,6.8,21.2
Jasprit Bumrah,Bowler,70,12,71,24,99.3,15,5.5,15.5
Arshdeep Singh,Bowler,60,11,45,22,90.6,12,8.15,16.2
Mohammed Siraj,Bowler,50,10,30,26,90,10,8.2,19
Ravi Bishnoi,Bowler,54,13,36,23,95,12,7.45,18.5
Varun Charkaravarthy,Bowler,58,10,40,13,128.89,13,7.08,11.17
Harshit Rana,Bowler,153,14,34,14,124.39,35,9.4,15.88
