Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Paul Stirling,Batter,620,41.33,0,0,88.5,128,0,0
Andrew Balbirnie,Batter,580,44.61,0,0,76.4,114,0,0
Harry Tector,Batter,650,50,6,39,85.2,140,5.45,42.9
Lorcan Tucker,WK,410,37.27,0,0,89,95,0,0
Curtis Campher,Bowling All-rounder,390,35.45,16,29.5,84.5,101,5.85,30.3
George Dockrell,Bowling All-rounder,320,32,12,31.4,92.1,74,5.15,36.6
Stephen Doheny,Batter,340,30.9,0,0,74,82,0,0
Gareth Delany,Bowling All-rounder,210,23.33,9,36.5,105.6,58,5.6,39.1
Mark Adair,Bowler,140,20,24,25.4,115.2,44,5.4,28.2
Andy McBrine,Bowler,120,24,21,27.8,72.8,38,4.85,34.4
Josh Little,Bowler,45,9,22,26.8,60.5,18,5.25,30.6
Craig Young,Bowler,20,5,18,28.5,45,10,5.55,30.8
Barry McCarthy,Bowler,65,13,15,32.2,80.4,24,5.9,32.7
Graham Hume,Bowler,30,7.5,11,34.8,52,12,5.3,39.4
T. van Woerkom,Bowling All-rounder,85,17,8,31,78.5,35,4.95,37.6
