Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Paul Stirling,Batter,480,32,0,0,135.2,115,0,0
Ross Adair,Batter,390,30,0,0,145.8,100,0,0
Lorcan Tucker,WK,420,35,0,0,132.5,94,0,0
Harry Tector,Batter,450,34.61,3,28,128.4,85,7.5,22.4
Curtis Campher,Bowling All-rounder,280,25.45,14,22.1,130.6,72,8.4,15.8
George Dockrell,Bowling All-rounder,240,24,11,24.8,135,58,7.2,20.7
Gareth Delany,Bowling All-rounder,210,26.25,15,21.5,140.2,66,7.8,16.5
Mark Adair,Bowler,95,15.83,25,19.4,125.5,48,8.1,14.4
Josh Little,Bowler,15,5,22,18.5,110,15,7.6,14.6
Barry McCarthy,Bowler,30,7.5,19,23.2,115.4,22,8.5,16.4
Craig Young,Bowler,10,3.33,16,22.4,100,10,8.2,16.4
Ben White,Bowler,25,8.33,18,20.2,95,8,7.4,16.4
Benjamin Calitz,Batter,180,25.71,0,0,122.5,45,0,0
Tim Tector,Batter,140,20,0,0,118.4,38,0,0
M. Humphreys,Bowler,40,13.33,12,23.8,90,12,7.1,20.1
