Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Devon Conway,Batter,850,46,0,0,89.4,138,0,0
Rachin Ravindra,Batting All-rounder,880,44,22,30,98.8,122,4.95,36.4
Tom Latham,WK,700,40,0,0,85.6,110,0,0
Kane Williamson,Batter,720,48,2,50,82.5,124,5.1,58.8
Daryl Mitchell,Batting All-rounder,910,52,10,42,94.2,145,5.45,46.2
Glenn Phillips,Batting All-rounder,760,38,18,36,182.2,88,5.25,41.1
Mitchell Santner,Bowling All-rounder,650,36,30,29,88.5,75,4.65,37.4
M. Bracewell,Batting All-rounder,600,35,28,32,91,62,5.15,37.3
Jimmy Neesham,Bowling All-rounder,520,31,26,34,102.4,74,5.8,35.2
Finn Allen,Batter,680,34,0,0,115.1,95,0,0
Mark Chapman,Batter,620,33,4,45,88.5,82,5.4,50
Tim Seifert,WK,657,32,0,0,95,55,0,0
Matt Henry,Bowler,120,15,45,26,75.4,24,5.05,30.9
Trent Boult,Bowler,90,12,42,25,68,18,4.85,30.9
Lockie Ferguson,Bowler,80,11,38,27,72.3,15,5.35,30.3
Ish Sodhi,Bowler,140,18,36,31,70,20,5.1,36.5
