Player,Role,Runs 2025,Bat Avg,Wkts 2025,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Finn Allen,Batter,720,36,0,0,162.5,105,0,0
Devon Conway,Batter,780,34,0,0,138.4,92,0,0
Tim Seifert,WK,657,33,0,0,145.2,88,0,0
Rachin Ravindra,Batting All-rounder,620,32,22,30,134.2,68,7.45,24.2
Glenn Phillips,Batting All-rounder,850,36,20,32,152.8,74,7.85,24.5
Daryl Mitchell,Batting All-rounder,700,35,15,34,140.6,82,8.2,24.9
Mitchell Santner,Bowling All-rounder,540,30,34,28,128.5,45,7.1,23.7
M. Bracewell,Batting All-rounder,560,31,30,29,132,52,7.65,22.7
Jimmy Neesham,Bowling All-rounder,600,32,28,30,158.4,64,8.9,20.2
Mark Chapman,Batter,600,30,6,40,142.1,70,8.4,28.6
Tim Robinson,Batter,386,29,0,0,148.5,55,0,0
Adam Milne,Bowler,90,12,32,26,110,18,7.95,19.6
Lockie Ferguson,Bowler,70,10,36,25,105.4,12,7.6,19.7
Ish Sodhi,Bowler,110,15,40,24,95,15,7.8,18.5
Jacob Duffy,Bowler,100,14,34,27,102.3,10,8.15,19.9
Ben Sears,Bowler,80,13,28,26,90,8,7.75,20.1
