Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Babar Azam,Batter,820,58.5,0,0,89.5,151,0,0
Fakhar Zaman,Batter,640,42.6,0,0,92.4,142,0,0
Imam-ul-Haq,Batter,490,37.6,0,0,82.1,115,0,0
Mohammad Rizwan,WK,550,45.8,0,0,88.6,124,0,0
Salman Ali Agha,Batting All-rounder,380,38,11,36.4,94.2,85,5.25,41.6
Iftikhar Ahmed,Batter,310,34.4,6,39.5,105.4,74,5.4,43.9
Saud Shakeel,Batter,290,36.25,0,0,85,92,0,0
Shadab Khan,Bowling All-rounder,210,23.3,16,34.2,96.8,68,5.35,38.4
Shaheen Afridi,Bowler,110,18.3,25,24.8,85.5,44,5.15,28.9
Naseem Shah,Bowler,50,10,22,26.5,70,18,4.95,32.1
Haris Rauf,Bowler,30,6,24,28.1,65,12,5.8,29.1
M. Wasim Jr,Bowler,85,21.25,14,30.6,92.1,35,5.45,33.7
Usama Mir,Bowler,40,13.3,18,31.9,80,20,5.2,36.8
Abbas Afridi,Bowler,65,16.25,10,33.4,88.4,24,5.65,35.5
Haseebullah Khan,WK,140,28,0,0,84,62,0,0
Saim Ayub,Batter,711,28,4,35.5,99.4,82,8.25,25.8
Sahibzada Farhan,Batter,805,30.9,0,0,91.1,110,0,0
