Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Quinton de Kock,WK,353,70.6,0,0,105.2,145,0,0
Ryan Rickelton,WK,266,26.6,0,0,90.4,95,0,0
Aiden Markram,Batter,420,42,8,38,92.4,112,5.45,41.8
Matthew Breetzke,Batter,706,64.18,0,0,88.5,124,0,0
Tony de Zorzi,Batter,256,32,0,0,86.8,110,0,0
Dewald Brevis,Batter,230,28.75,4,45,115.2,85,5.8,46.6
Rassie v.d. Dussen,Batter,520,47,0,0,171.1,132,0,0
Tristan Stubbs,Batting All-rounder,410,34,6,40,177.4,78,5.65,42.5
Heinrich Klaasen,WK,480,43,0,0,188.5,115,0,0
Marco Jansen,Bowling All-rounder,350,29,30,32,95.8,64,5.15,37.3
Wiaan Mulder,Bowling All-rounder,380,31,28,30,91.2,52,5.25,34.3
Keshav Maharaj,Bowling All-rounder,120,20,34,28,82.5,28,4.85,34.6
Kagiso Rabada,Bowler,100,18,38,27,80,22,5.3,30.6
Anrich Nortje,Bowler,90,15,32,26,75,18,5.45,28.6
Tabraiz Shamsi,Bowler,80,14,36,29,68,12,5.1,34.1
