Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Quinton de Kock,WK,620,32,0,0,148.6,78,0,0
Reeza Hendricks,Batter,700,36,0,0,132.4,91,0,0
Aiden Markram,Batter,650,34,10,32,135.5,82,7.85,24.5
Dewald Brevis,Batter,600,33,8,36,162,110,8.25,26.2
Tristan Stubbs,Batting All-rounder,580,31,6,38,155.2,64,8.4,27.1
Donovan Ferreira,Batter,500,30,4,42,158.4,55,8.15,30.9
David Miller,Batter,720,38,0,0,145.8,72,0,0
Marco Jansen,Bowling All-rounder,420,28,28,29,130.5,48,7.65,22.7
Wiaan Mulder,Bowling All-rounder,460,29,26,30,125.8,52,7.95,22.6
Keshav Maharaj,Bowling All-rounder,100,18,32,26,110,18,6.95,22.4
Kagiso Rabada,Bowler,90,15,36,25,105.5,12,7.8,19.2
Anrich Nortje,Bowler,80,14,34,24,102.4,10,7.45,19.3
Gerald Coetzee,Bowler,70,12,30,27,115,15,8.2,19.8
Lungi Ngidi,Bowler,69,16,40,23,85,8,7.25,19
Lizaad Williams,Bowler,60,12,28,26,90,5,8.45,18.5
