Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Pathum Nissanka,Batter,490,35,0,0,144.5,95,0,0
Kusal Mendis,WK,420,30,0,0,158.2,82,0,0
Kusal Perera,WK,380,29.23,0,0,145.4,78,0,0
Pavan Rathnayake,Batter,266,29.59,0,0,142,60,0,0
Charith Asalanka,Batting All-rounder,255,34.61,3,26,131.8,64,7.85,19.9
Dasun Shanaka,Batting All-rounder,274,20,9,24.44,135.6,48,8.45,17.4
Kamindu Mendis,Batting All-rounder,220,27.5,5,22.8,130.4,52,7.6,18
Wanindu Hasaranga,Bowling All-rounder,140,21.81,28,18.5,128.5,45,6.8,16.3
Dunith Wellalage,Bowling All-rounder,90,18,11,23.9,110.5,34,7.15,20.1
Maheesh Theekshana,Bowler,50,12.5,21,21.2,115.2,22,6.55,19.4
Matheesha Pathirana,Bowler,15,5,24,17.4,85,12,7.95,13.1
Nuwan Thushara,Bowler,10,3.33,19,19.1,70,8,8.15,14.1
Asitha Fernando,Bowler,11,6.66,4,52,95,10,10.4,18.4
Dushmantha Chameera,Bowler,25,8.33,12,28.2,88,14,8.4,20.1
Dushan Hemantha,Bowling All-rounder,110,15.71,8,31.5,120.4,38,8.85,21.4
