Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Shai Hope,WK,654,55.83,0,0,80.2,120,0,0
Brandon King,Batter,510,36.4,0,0,82.4,115,0,0
Keacy Carty,Batter,440,40,0,0,78.6,88,0,0
Shimron Hetmyer,Batter,380,34.5,0,0,173.2,126,0,0
Sherfane Rutherford,Batter,350,38.8,2,41,172.1,102,5.2,47.3
Johnson Charles,WK,48,16,0,0,85,39,0,0
Rovman Powell,BattingAll-rounder,210,28.1,5,39,175.6,95,5.6,41.8
Romario Shepherd,Bowling All-rounder,197,24,18,31.5,110.2,64,5.8,32.6
Roston Chase,BattingAll-rounder,280,31.1,11,35.2,85.5,82,4.9,43.1
Matthew Forde,Bowler,95,19,14,28.6,80,38,5.4,31.8
Alzarri Joseph,Bowler,70,14,21,27.4,72.5,22,5.5,29.9
Gudakesh Motie,Bowler,110,22,19,26.8,75.4,34,4.8,33.5
Akeal Hosein,Bowler,60,12,17,30.4,70,25,5,36.5
Jayden Seales,Bowler,40,10,12,34,65,12,5.3,38.5
Hayden Walsh Jr,Bowler,50,12.5,9,36.5,68,18,5.7,38.4
