Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Shai Hope,WK,527,58.55,0,0,136.6,102,0,0
Brandon King,Batter,410,31.5,0,0,131.8,85,0,0
Johnson Charles,WK,390,30,0,0,134.4,118,0,0
Shimron Hetmyer,Batter,556,23.17,0,0,164.07,63,0,0
Sherfane Rutherford,Batter,320,35.5,0,0,138.5,68,0,0
Rovman Powell,Batting All-rounder,380,33.8,4,36,142.2,107,8.5,25.4
Romario Shepherd,Bowling All-rounder,190,19,18,23.2,140.4,44,9.1,15.3
Jason Holder,Bowling All-rounder,150,18.75,14,27.5,128.6,38,8.4,19.6
Roston Chase,Batting All-rounder,210,26.25,12,22.8,126.2,67,7.2,19
Akeal Hosein,Bowler,75,15,20,21.4,110.5,44,7.1,18.1
Gudakesh Motie,Bowler,45,11.25,19,19.8,102.4,32,6.9,17.2
Alzarri Joseph,Bowler,30,7.5,16,25.4,98,15,8.8,17.3
Shamar Joseph,Bowler,20,5,10,26,85,10,8.5,18.4
Obed McCoy,Bowler,15,7.5,13,24.8,88.5,12,8.2,18.1
Matthew Forde,Bowler,40,13.3,11,28.2,112,28,8.4,20.1
