Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Brian Bennett,Batter,390,39,4,38.5,85.4,94,5.2,44.4
Craig Ervine,Batter,440,36.66,0,0,78.2,102,0,0
Ryan Burl,Batting All-rounder,340,30.9,11,35.2,102.5,75,5.5,38.4
Tadiwanashe Marumani,Batter,310,28.18,0,0,92.1,88,0,0
Brendan Taylor,WK,420,38.18,0,0,84.6,120,0,0
Sikandar Raza,Batting All-rounder,580,44.61,15,32.4,88.5,115,4.8,40.5
Clive Madande,WK,280,25.45,0,0,95,66,0,0
Tony Munyonga,Batting All-rounder,210,23.33,6,39,90.5,52,5.8,40.3
Blessing Muzarabani,Bowler,65,13,22,26.8,45.2,18,4.6,35
Richard Ngarava,Bowler,40,10,19,28.5,40.1,12,4.9,34.9
Wellington Masakadza,Bowler,85,17,14,31.4,65.4,34,4.7,40.1
Brad Evans,Bowler,95,19,12,33.2,72.8,42,5.4,36.9
Luke Jongwe,Bowler,120,24,10,36.5,88,55,5.7,38.4
Wesley Madhevere,Batting All-rounder,180,20,7,41,82.3,48,5.3,46.4
Trevor Gwandu,Bowler,15,5,9,34.8,35.5,10,5.1,40.9
