Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Tadiwanashe Marumani,Batter,380,27.14,0,0,130.4,62,0,0
Brian Bennett,Batter,410,31.53,5,28,135.5,75,7.8,21.5
Ryan Burl,Batting All-rounder,310,25.83,12,23.5,140.2,58,7.5,18.8
Brendan Taylor,WK,340,28.33,0,0,125.6,74,0,0
Sikandar Raza,Batting All-rounder,490,35,21,21.4,145.2,88,7.2,17.8
Clive Madande,WK,240,24,0,0,128.8,52,0,0
Dion Myers,Batter,280,25.45,2,36,122.5,66,8.5,25.4
Tashinga Musekiwa,Batter,190,21.11,0,0,118.4,44,0,0
Wesley Madhevere,Batting All-rounder,220,22,9,24.8,132.5,55,7.6,19.6
Blessing Muzarabani,Bowler,30,7.5,24,19.2,105,15,7.1,16.2
Richard Ngarava,Bowler,25,6.25,22,20.5,100,12,7.3,16.8
Bradley Evans,Bowler,45,11.25,15,25.4,115.4,28,8.2,18.6
Tinotenda Maposa,Bowler,15,5,11,22.1,90,10,7.9,16.8
Wellington Masakadza,Bowler,40,13.33,14,24.5,110.5,22,7.4,19.9
Graeme Cremer,Bowling All-rounder,90,18,13,21.8,120,32,7.5,17.4
