Ground,Country,City,Matches,Home Wins,Away Wins,Other
Adelaide Oval,Australia,Adelaide,88,43.18,19.32,37.5
Al Amerat Cricket Ground Ministry Turf 1,Oman,Al Amarat,30,36.67,16.67,46.67
AMI Stadium,New Zealand,Christchurch,48,54.17,41.67,4.17
Antigua Recreation Ground,West Indies,"St. John's, Antigua",11,54.55,9.09,36.36
Arbab Niaz Stadium,Pakistan,Peshawar,15,46.67,26.67,26.67
Arnos Vale Ground,West Indies,"Kingstown, St. Vincent",23,78.26,17.39,4.35
Arun Jaitley Stadium,India,Delhi,31,45.16,22.58,32.26
Bangabandhu National Stadium,Bangladesh,Dhaka (Dacca),58,5.17,50,44.83
Barabati Stadium,India,Cuttack,20,70,20,10
Basin Reserve,New Zealand,Wellington,31,45.16,35.48,19.35
Bay Oval,New Zealand,Mount Maunganui,13,53.85,38.46,7.69
Bellerive Oval,Australia,Hobart,36,38.89,13.89,47.22
Boland Park,South Africa,Paarl,17,47.06,17.65,35.29
Bourda,West Indies,"Georgetown, Guyana",11,54.55,27.27,18.18
Brisbane Cricket Ground,Australia,Brisbane,78,29.49,19.23,51.28
Buffalo Park,South Africa,East London,23,60.87,21.74,17.39
Captain Roop Singh Stadium,India,Gwalior,12,66.67,16.67,16.67
Carisbrook,New Zealand,Dunedin,21,47.62,42.86,9.52
Castle Avenue,Ireland,Dublin,28,39.29,25,35.71
Central Broward Regional Park,United States,"Lauderhill, Florida",12,50,16.67,33.33
Choice Moosa Stadium,United States,Pearland,12,33.33,25,41.67
Civil Service Cricket Club,Ireland,Belfast,34,38.24,41.18,20.59
County Ground (Bristol),England,Bristol,21,28.57,28.57,42.86
"Cricket, Skating & Curling Club",Canada,Toronto,30,3.33,23.33,73.33
Daren Sammy Cricket Ground,West Indies,"Gros Islet, St Lucia",30,26.67,36.67,36.67
Diamond Oval,South Africa,Kimberley,15,46.67,20,33.33
Dr YS Rajasekhara Reddy Cricket Stadium,India,Visakhapatnam,11,72.73,18.18,9.09
Dubai International Cricket Stadium,United Arab Emirates,Dubai,66,9.09,15.15,75.76
Eden Gardens,India,Kolkata,36,38.89,22.22,38.89
Eden Park,New Zealand,Auckland,80,46.25,45,8.75
Edgbaston,England,Birmingham,65,40,20,40
Etihad Stadium,Australia,Melbourne,12,66.67,25,8.33
Forthill,Scotland,Dundee,12,41.67,16.67,41.67
Gaddafi Stadium,Pakistan,Lahore,73,46.58,27.4,26.03
Grange Cricket Club,Scotland,Edinburgh,22,27.27,59.09,13.64
Green Park,India,Kanpur,15,66.67,26.67,6.67
Gymkhana Club Ground,Kenya,Nairobi,63,19.05,39.68,41.27
Hagley Oval,New Zealand,Christchurch,17,64.71,5.88,29.41
Harare Sports Club,Zimbabwe,Harare,191,28.8,56.54,14.66
Hazelaarweg,Netherlands,Rotterdam,18,44.44,27.78,27.78
Headingley,England,Leeds,48,43.75,27.08,29.17
ICC Global Cricket Academy,United Arab Emirates,Dubai,32,25,40.63,34.38
Iqbal Stadium,Pakistan,Faisalabad (Lyallpur),19,57.89,21.05,21.05
Jinnah Stadium (Gujwranwala),Pakistan,Gujwranwala,11,63.64,27.27,9.09
Keenan Stadium,India,Jamshedpur,10,10,70,20
Kennington Oval,England,London,77,41.56,23.38,35.06
Kensington Oval,West Indies,"Bridgetown, Barbados",49,40.82,46.94,12.24
Khan Shaheb Osman Ali Stadium,Bangladesh,Fatullah,10,30,40,30
Kingsmead,South Africa,Durban,47,46.81,23.4,29.79
Lal Bahadur Shastri Stadium,India,Hyderabad (Deccan),14,42.86,7.14,50
Lord's,England,London,71,39.44,39.44,19.72
M Chinnaswamy Stadium,India,"Bengaluru, Bangalore",31,48.39,16.13,35.48
MA Aziz Stadium,Bangladesh,Chittagong,10,10,80,10
MA Chidambaram Stadium,India,Chennai,28,28.57,21.43,50
Madhavrao Scindia Cricket Ground,India,Rajkot,12,50,41.67,8.33
Maharashtra Cricket Association Stadium,India,Pune,12,41.67,25,33.33
Mahinda Rajapaksha International Cricket Stadium,Sri Lanka,Hambantota,26,42.31,34.62,23.08
Mangaung Oval,South Africa,Bloemfontein,34,52.94,26.47,20.59
Mannofield Park,Scotland,Aberdeen,22,54.55,27.27,18.18
Manuka Oval,Australia,Canberra,11,45.45,9.09,45.45
Maple Leaf North - West Ground,Canada,"King City, Ontario",21,33.33,42.86,23.81
McLean Park,New Zealand,Napier,47,57.45,31.91,10.64
Melbourne Cricket Ground,Australia,Melbourne,152,50.66,30.26,19.08
Mombasa Sports Ground,Kenya,Mombasa,13,53.85,30.77,15.38
Multan Cricket Stadium,Pakistan,Multan,11,72.73,27.27,0
Narendra Modi Stadium,India,Ahmedabad,32,37.5,28.13,34.38
National Cricket Stadium (Grenada),West Indies,"St. George's, Grenada",24,41.67,29.17,29.17
National Stadium (Karachi),Pakistan,Karachi,59,44.07,37.29,18.64
Nehru Stadium (Guwahati),India,Guwahati,14,42.86,28.57,28.57
Nehru Stadium (Pune),India,Pune,11,45.45,27.27,27.27
Newlands,South Africa,Cape Town,45,71.11,15.56,13.33
Old Trafford,England,Manchester,57,49.12,26.32,24.56
P Sara Oval,Sri Lanka,Colombo,12,66.67,16.67,16.67
Pallekele International Cricket Stadium,Sri Lanka,"Pallekele, Kandy",45,51.11,35.56,13.33
Providence Stadium,West Indies,"Providence, Guyana",25,28,44,28
Punjab Cricket Association IS Bindra Stadium,India,"Mohali, Chandigarh",26,42.31,23.08,34.62
Queen's Park Oval,West Indies,"Port-Of-Spain, Trinidad",73,38.36,38.36,23.29
Queens Sports Club,Zimbabwe,Bulawayo,93,24.73,55.91,19.35
R Premadasa Stadium,Sri Lanka,Colombo,160,53.75,27.5,18.75
Rajiv Gandhi International Stadium,India,Hyderabad,10,40,30,30
Rangiri Dambulla International Stadium,Sri Lanka,Dambulla,56,46.43,30.36,23.21
Rawalpindi Cricket Stadium,Pakistan,Rawalpindi,30,63.33,20,16.67
Reliance Stadium,India,Vadodara,10,60,30,10
Riverside Ground,England,Chester-Le-Street,22,45.45,22.73,31.82
Sabina Park,West Indies,"Kingston, Jamaica",40,60,25,15
Sawai Mansingh Stadium,India,Jaipur,19,42.11,21.05,36.84
Saxton Oval,New Zealand,Nelson,12,58.33,8.33,33.33
Seddon Park,New Zealand,Hamilton,43,65.12,16.28,18.6
Senwes Park,South Africa,Potchefstroom,21,42.86,4.76,52.38
Sharjah Cricket Stadium,United Arab Emirates,Sharjah,255,0.78,2.35,96.86
Sheikh Zayed Stadium,United Arab Emirates,Abu Dhabi,56,5.36,3.57,91.07
Shere Bangla National Stadium,Bangladesh,"Mirpur, Dhaka",128,42.97,42.19,14.84
Sinhalese Sports Club Ground,Sri Lanka,Colombo,61,39.34,18.03,42.62
