Ground,City,Country,Matches,RPW
Adelaide Oval,Adelaide,Australia,88,29.68
Bellerive Oval,Hobart,Australia,36,31.22
Berri Oval,Berri,Australia,1,26.18
Brisbane Cricket Ground,Brisbane,Australia,78,29.36
Cazaly's Stadium,Cairns,Australia,6,24.48
Devonport Oval,Devonport,Australia,1,17.11
Eastern Oval,Ballarat,Australia,1,28.38
Etihad Stadium,Melbourne,Australia,12,29.42
Harrup Park,Mackay,Australia,3,33.03
Lavington Sports Oval,Albury,Australia,1,12.95
Manuka Oval,Canberra,Australia,11,35.86
Marrara Cricket Ground,Darwin,Australia,4,20.68
Melbourne Cricket Ground,Melbourne,Australia,152,28.94
North Tasmania Cricket Association Ground,Launceston,Australia,1,20.56
Perth Stadium,Perth,Australia,4,23.47
Riverway Stadium,Townsville,Australia,5,23.51
Sydney Cricket Ground,Sydney,Australia,162,28.05
Tasmania Cricket Association Ground,Hobart,Australia,1,43.89
WACA Ground,Perth,Australia,80,27.27
Bangabandhu National Stadium,Dhaka (Dacca),Bangladesh,58,30.79
Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium,Chattogram,Bangladesh,1,26.39
Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,10,32.51
MA Aziz Stadium,Chittagong,Bangladesh,10,24.99
Shaheed Chandu Stadium,Bogra,Bangladesh,5,25.09
Sheikh Abu Naser Stadium,Khulna,Bangladesh,4,30.34
Shere Bangla National Stadium,"Mirpur, Dhaka",Bangladesh,128,27.83
Sylhet Stadium,Sylhet,Bangladesh,7,34.42
Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,31,28.79
County Ground (Bristol),Bristol,England,21,32.13
County Ground (Chelmsford),Chelmsford,England,6,26.81
County Ground (Derby),Derby,England,2,25.48
County Ground (Hove),Hove,England,1,46.09
County Ground (Northampton),Northampton,England,2,18.24
County Ground (Southampton),Southampton,England,3,30.25
Edgbaston,Birmingham,England,65,29.48
Grace Road,Leicester,England,3,20.67
Headingley,Leeds,England,48,30.38
Kennington Oval,London,England,77,33.61
Lord's,London,England,71,31.25
Nevill Ground,Tunbridge Wells,England,1,27.83
New Road,Worcester,England,3,34.09
North Marine Road Ground,Scarborough,England,2,28.64
Old Trafford,Manchester,England,57,28.67
Riverside Ground,Chester-Le-Street,England,22,35.12
St Lawrence Ground,Canterbury,England,4,37.78
The Cooper Associates County Ground,Taunton,England,6,35.48
The Rose Bowl,Southampton,England,33,34.43
Trent Bridge,Nottingham,England,51,34.02
Arun Jaitley Stadium,Delhi,India,31,31.09
Barabati Stadium,Cuttack,India,20,35.57
Barkatullah Khan Stadium,Jodhpur,India,2,28.53
Barsapara Cricket Stadium,Guwahati,India,2,53.08
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,9,29.51
Brabourne Stadium,Mumbai,India,9,22.23
Captain Roop Singh Stadium,Gwalior,India,12,36.13
Dr YS Rajasekhara Reddy Cricket Stadium,Visakhapatnam,India,11,40.16
Eden Gardens,Kolkata,India,36,30.62
Gandhi Sports Complex Ground,Amritsar,India,2,25.9
Gandhi Stadium,Jalandhar (Jullundur),India,3,32.23
Greater Noida Sports Complex Ground,Greater Noida,India,5,33.28
Green Park,Kanpur,India,15,36.37
Greenfield International Stadium,Thiruvananthapuram,India,2,25.85
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,9,30.56
Holkar Cricket Stadium,Indore,India,8,37.04
Indira Gandhi Stadium,Vijayawada,India,1,30.94
Indira Priyadarshini Stadium,Visakhapatnam,India,5,34.68
Jawaharlal Nehru Stadium (Delhi),"New Delhi, Delhi",India,2,38.68
JSCA International Stadium Complex,Ranchi,India,7,36.92
"KD Singh ""Babu"" Stadium",Lucknow,India,1,27
Keenan Stadium,Jamshedpur,India,10,34.4
Kotambi Stadium,Vadodara,India,1,43.29
Lal Bahadur Shastri Stadium,Hyderabad (Deccan),India,14,31.65
M Chinnaswamy Stadium,"Bengaluru, Bangalore",India,31,35.93
MA Chidambaram Stadium,Chennai,India,28,30.5
Madhavrao Scindia Cricket Ground,Rajkot,India,12,38.07
