Ground,City,Country,Matches,RPO
Adelaide Oval,Adelaide,Australia,13,8.3
ANZ Stadium,Sydney,Australia,4,7.59
Bellerive Oval,Hobart,Australia,15,8.31
Brisbane Cricket Ground,Brisbane,Australia,12,8.36
Carrara Oval,Gold Coast,Australia,3,7.86
Cazaly's Stadium,Cairns,Australia,1,8.66
GMHBA Stadium,Geelong,Australia,7,6.93
Manuka Oval,Canberra,Australia,6,7.99
Marrara Cricket Ground,Darwin,Australia,2,9.3
Melbourne Cricket Ground,Melbourne,Australia,20,7.5
Perth Stadium,Perth,Australia,8,7.61
Riverway Stadium,Townsville,Australia,3,6.38
Sydney Cricket Ground,Sydney,Australia,19,8.13
WACA Ground,Perth,Australia,2,7.81
Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium,Chattogram,Bangladesh,7,8.1
Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,4,8.34
Sheikh Abu Naser Stadium,Khulna,Bangladesh,5,8.08
Shere Bangla National Stadium,"Mirpur, Dhaka",Bangladesh,66,7.09
Sylhet Stadium,Sylhet,Bangladesh,16,8.21
Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,27,7.64
County Ground (Bristol),Bristol,England,7,9.25
Edgbaston,Birmingham,England,8,8.71
Headingley,Leeds,England,1,8.91
Kennington Oval,London,England,17,8.31
Lord's,London,England,10,7.6
Old Trafford,Manchester,England,13,8.77
Riverside Ground,Chester-Le-Street,England,5,8.15
The Cooper Associates County Ground,Taunton,England,1,8.63
The Rose Bowl,Southampton,England,13,8.49
Trent Bridge,Nottingham,England,14,8.19
Arun Jaitley Stadium,Delhi,India,14,8.16
Barabati Stadium,Cuttack,India,4,7.08
Barsapara Cricket Stadium,Guwahati,India,5,9.99
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,6,7.04
Brabourne Stadium,Mumbai,India,1,8.72
Dr YS Rajasekhara Reddy Cricket Stadium,Visakhapatnam,India,5,8.05
Eden Gardens,Kolkata,India,19,8.17
Greater Noida Sports Complex Ground,Greater Noida,India,6,8.9
Green Park,Kanpur,India,1,7.73
Greenfield International Stadium,Thiruvananthapuram,India,5,9.42
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,11,8.19
