Australia,Bangladesh,England,India,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,West Indies,Zimbabwe
R. Gurbaz,R. Gurbaz,R. Gurbaz,R. Gurbaz,R. Gurbaz,R. Gurbaz,R. Gurbaz,R. Gurbaz,R. Gurbaz,R. Gurbaz,R. Gurbaz
Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran
Rahmat Shah,Rahmat Shah,Rahmat Shah,Rahmat Shah,Rahmat Shah,Rahmat Shah,Rahmat Shah,Rahmat Shah,Rahmat Shah,Rahmat Shah,Rahmat Shah
H. Shahidi,H. Shahidi,H. Shahidi,H. Shahidi,H. Shahidi,H. Shahidi,H. Shahidi,H. Shahidi,H. Shahidi,H. Shahidi,H. Shahidi
A. Omarzai,A. Omarzai,A. Omarzai,A. Omarzai,A. Omarzai,A. Omarzai,A. Omarzai,A. Omarzai,A. Omarzai,A. Omarzai,A. Omarzai
Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi
Gulbadin Naib,Gulbadin Naib,Gulbadin Naib,Gulbadin Naib,Gulbadin Naib,Gulbadin Naib,Gulbadin Naib,Gulbadin Naib,Gulbadin Naib,Gulbadin Naib,Gulbadin Naib
N. Kharote,Noor Ahmad,N. Kharote,N. Kharote,N. Kharote,N. Kharote,N. Kharote,N. Kharote,Rashid Khan,N. Kharote,N. Kharote
Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Noor Ahmad,Rashid Khan,Rashid Khan
Noor Ahmad,Bilal Sami,Noor Ahmad,Noor Ahmad,A. Ghazanfar,Noor Ahmad,Noor Ahmad,Noor Ahmad,Bilal Sami,F. Farooqi,A. Ghazanfar
F. Farooqi,F. Farooqi,F. Farooqi,F. Farooqi,Fareed Malik,F. Farooqi,F. Farooqi,F. Farooqi,F. Farooqi,A. Ghazanfar,Fareed Malik
