Australia,Bangladesh,England,India,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,West Indies,Zimbabwe
Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz
Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran,Ibrahim Zadran
Sediqullah Atal,Sediqullah Atal,Sediqullah Atal,Sediqullah Atal,Sediqullah Atal,Sediqullah Atal,Sediqullah Atal,Sediqullah Atal,Sediqullah Atal,Sediqullah Atal,Sediqullah Atal
Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai,Azmatullah Omarzai
Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi
Najibullah Zadran,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran
Karim Janat,Karim Janat,Karim Janat,Karim Janat,Karim Janat,Karim Janat,Karim Janat,Karim Janat,Karim Janat,Karim Janat,Karim Janat
Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan,Rashid Khan
Mujeeb Ur Rahman,Noor Ahmad,Mujeeb Ur Rahman,Mujeeb Ur Rahman,Noor Ahmad,Mujeeb Ur Rahman,Noor Ahmad,Mujeeb Ur Rahman,Noor Ahmad,Noor Ahmad,Noor Ahmad
Naveen-ul-Haq,Naveen-ul-Haq,Naveen-ul-Haq,Naveen-ul-Haq,Fareed Ahmad,Naveen-ul-Haq,Naveen-ul-Haq,Naveen-ul-Haq,Naveen-ul-Haq,Naveen-ul-Haq,Fareed Ahmad
Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi
