Afghanistan,Bangladesh,England,India,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,West Indies,Zimbabwe
Travis Head,Travis Head,Travis Head,Travis Head,Travis Head,Travis Head,Matthew Short,Travis Head,Travis Head,Travis Head,Travis Head
Josh Inglis,Matthew Short,Matthew Short,Josh Inglis,Matthew Short,Matthew Short,Travis Head,Matthew Short,Josh Inglis,Josh Inglis,Josh Inglis
Mitchell Marsh,Mitchell Marsh,Mitchell Marsh,Mitchell Marsh,Mitchell Marsh,Mitchell Marsh,Josh Inglis,Mitchell Marsh,Cameron Green,Mitchell Marsh,Cameron Green
Glenn Maxwell,Glenn Maxwell,Josh Inglis,Glenn Maxwell,Josh Inglis,Josh Inglis,Glenn Maxwell,Josh Inglis,Tim David,Glenn Maxwell,Mitchell Marsh
Tim David,Tim David,Glenn Maxwell,Tim David,Glenn Maxwell,Glenn Maxwell,Marcus Stoinis,Glenn Maxwell,Marcus Stoinis,Tim David,Marcus Stoinis
Marcus Stoinis,Marcus Stoinis,Tim David,Marcus Stoinis,Tim David,Tim David,Tim David,Tim David,Glenn Maxwell,Marcus Stoinis,Glenn Maxwell
Matthew Short,Josh Inglis,Marcus Stoinis,Cameron Green,Marcus Stoinis,Marcus Stoinis,Aaron Hardie,Marcus Stoinis,Matt Renshaw,Cameron Green,Tim David
Pat Cummins,Xavier Bartlett,Pat Cummins,Nathan Ellis,Sean Abbott,Sean Abbott,Sean Abbott,Pat Cummins,Xavier Bartlett,Ben Dwarshuis,Ben Dwarshuis
Mitchell Starc,Adam Zampa,Adam Zampa,Adam Zampa,Nathan Ellis,Adam Zampa,Nathan Ellis,Adam Zampa,Nathan Ellis,Nathan Ellis,Nathan Ellis
Adam Zampa,Nathan Ellis,Josh Hazlewood,Xavier Bartlett,Adam Zampa,Nathan Ellis,Adam Zampa,Xavier Bartlett,Adam Zampa,Adam Zampa,Adam Zampa
Nathan Ellis,Spencer Johnson,Nathan Ellis,Ben Dwarshuis,Spencer Johnson,Xavier Bartlett,Xavier Bartlett,Nathan Ellis,Matt Kuhnemann,Xavier Bartlett,Matt Kuhnemann
