Afghanistan,Australia,Bangladesh,India,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,West Indies,Zimbabwe
Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt
Ben Duckett,Ben Duckett,Ben Duckett,Ben Duckett,Ben Duckett,Ben Duckett,Ben Duckett,Ben Duckett,Ben Duckett,Ben Duckett,Ben Duckett
Joe Root,Joe Root,Joe Root,Joe Root,Joe Root,Joe Root,Joe Root,Joe Root,Joe Root,Joe Root,Joe Root
Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook
Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jacob Bethell,Jos Buttler,Jos Buttler,Jacob Bethell,Jacob Bethell,Jos Buttler
Liam Livingstone,Jacob Bethell,Liam Livingstone,Jacob Bethell,Liam Livingstone,Jos Buttler,Liam Livingstone,Jacob Bethell,Jos Buttler,Jos Buttler,Liam Livingstone
Jacob Bethell,Liam Livingstone,Jacob Bethell,Liam Livingstone,Jacob Bethell,Jamie Overton,Jacob Bethell,Liam Livingstone,Jamie Overton,Jamie Overton,Jacob Bethell
Adil Rashid,Brydon Carse,Adil Rashid,Brydon Carse,Adil Rashid,Brydon Carse,Brydon Carse,Brydon Carse,Sam Curran,Brydon Carse,Brydon Carse
Jofra Archer,Adil Rashid,Jofra Archer,Adil Rashid,Brydon Carse,Adil Rashid,Adil Rashid,Adil Rashid,Adil Rashid,Adil Rashid,Adil Rashid
Reece Topley,Jofra Archer,Gus Atkinson,Jofra Archer,Reece Topley,Jofra Archer,Jofra Archer,Jofra Archer,Jofra Archer,Jofra Archer,Reece Topley
Mark Wood,Mark Wood,Mark Wood,Mark Wood,Mark Wood,Mark Wood,Mark Wood,Mark Wood,Mark Wood,Mark Wood,Mark Wood
