Afghanistan,Australia,Bangladesh,India,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,West Indies,Zimbabwe
Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt,Phil Salt
Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler,Jos Buttler
Jacob Bethell,Jacob Bethell,Jacob Bethell,Jacob Bethell,Ben Duckett,Jacob Bethell,Ben Duckett,Jacob Bethell,Jacob Bethell,Jacob Bethell,Ben Duckett
Harry Brook,Harry Brook,Harry Brook,Tom Banton,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Tom Banton,Harry Brook
Ben Duckett,Ben Duckett,Tom Banton,Harry Brook,Jacob Bethell,Tom Banton,Liam Livingstone,Tom Banton,Ben Duckett,Harry Brook,Jacob Bethell
Liam Livingstone,Liam Livingstone,Will Jacks,Sam Curran,Liam Livingstone,Will Jacks,Jacob Bethell,Will Jacks,Liam Livingstone,Sam Curran,Liam Livingstone
Will Jacks,Will Jacks,Sam Curran,Will Jacks,Will Jacks,Sam Curran,Will Jacks,Sam Curran,Will Jacks,Will Jacks,Will Jacks
Sam Curran,Sam Curran,Liam Dawson,Liam Dawson,Sam Curran,Liam Dawson,Sam Curran,Liam Dawson,Sam Curran,Liam Dawson,Sam Curran
Jofra Archer,Jofra Archer,Jofra Archer,Jamie Overton,Jofra Archer,Jofra Archer,Jofra Archer,Jofra Archer,Jofra Archer,Reece Topley,Jofra Archer
Adil Rashid,Adil Rashid,Adil Rashid,Jofra Archer,Adil Rashid,Adil Rashid,Adil Rashid,Adil Rashid,Adil Rashid,Jofra Archer,Adil Rashid
Tom Hartley,Mark Wood,Tom Hartley,Adil Rashid,Reece Topley,Reece Topley,Mark Wood,Mark Wood,Mark Wood,Adil Rashid,Mark Wood
