Afghanistan,Australia,Bangladesh,England,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,West Indies,Zimbabwe
Rohit Sharma,Rohit Sharma,Rohit Sharma,Rohit Sharma,Rohit Sharma,Rohit Sharma,Rohit Sharma,Rohit Sharma,Rohit Sharma,Rohit Sharma,Shubman Gill
Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,Shubman Gill,KL Rahul
Virat Kohli,Virat Kohli,Virat Kohli,Virat Kohli,Virat Kohli,Virat Kohli,Virat Kohli,Virat Kohli,Virat Kohli,Virat Kohli,Shreyas Iyer
Shreyas Iyer,Shreyas Iyer,Shreyas Iyer,Shreyas Iyer,Suryakumar Yadav,Shreyas Iyer,Shreyas Iyer,Shreyas Iyer,Shreyas Iyer,Shreyas Iyer,Suryakumar Yadav
KL Rahul,KL Rahul,KL Rahul,KL Rahul,Hardik Pandya,KL Rahul,KL Rahul,KL Rahul,KL Rahul,KL Rahul,Hardik Pandya
Hardik Pandya,Axar Patel,Hardik Pandya,Hardik Pandya,KL Rahul,Hardik Pandya,Hardik Pandya,Hardik Pandya,Hardik Pandya,Hardik Pandya,Washington Sundar
Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja
Kuldeep Yadav,Washington Sundar,Kuldeep Yadav,Kuldeep Yadav,Washington Sundar,Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav
Mohammed Siraj,Jasprit Bumrah,Mohammed Siraj,Mohammed Siraj,Prasidh Krishna,Mohammed Siraj,Mohammed Siraj,Mohammed Siraj,Mohammed Siraj,Mohammed Siraj,Mohammed Siraj
Jasprit Bumrah,Mohammed Siraj,Jasprit Bumrah,Jasprit Bumrah,Mohammed Siraj,Jasprit Bumrah,Jasprit Bumrah,Jasprit Bumrah,Jasprit Bumrah,Jasprit Bumrah,Jasprit Bumrah
Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Jasprit Bumrah,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh
