Afghanistan,Australia,Bangladesh,England,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,West Indies,Zimbabwe
Abhishek Sharma,Abhishek Sharma,Sanju Samson,Abhishek Sharma,Abhishek Sharma,Abhishek Sharma,Abhishek Sharma,Sanju Samson,Sanju Samson,Abhishek Sharma,Ishan Kishan
Sanju Samson,Sanju Samson,Abhishek Sharma,Sanju Samson,Ishan Kishan,Sanju Samson,Ishan Kishan,Abhishek Sharma,Shubman Gill,Sanju Samson,Abhishek Sharma
Shreyas Iyer,Shreyas Iyer,Shreyas Iyer,Shreyas Iyer,Shreyas Iyer,Ishan Kishan,Tilak Varma,Suryakumar Yadav,Shreyas Iyer,Tilak Varma,Shreyas Iyer
Suryakumar Yadav,Tilak Varma,Tilak Varma,Tilak Varma,Rinku Singh,Suryakumar Yadav,Suryakumar Yadav,Tilak Varma,Tilak Varma,Shreyas Iyer,Tilak Varma
Shivam Dube,Hardik Pandya,Hardik Pandya,Hardik Pandya,Shivam Dube,Tilak Varma,Shivam Dube,Hardik Pandya,Hardik Pandya,Hardik Pandya,Hardik Pandya
Hardik Pandya,Shivam Dube,Shivam Dube,Shivam Dube,Sanju Samson,Hardik Pandya,Hardik Pandya,Shivam Dube,Shivam Dube,Shivam Dube,Axar Patel
Axar Patel,Axar Patel,Riyan Parag,Axar Patel,Washington Sundar,Axar Patel,Axar Patel,Axar Patel,Axar Patel,Axar Patel,Washington Sundar
Ravi Bishnoi,Ravi Bishnoi,Washington Sundar,Varun Chakravarthy,Ravi Bishnoi,Kuldeep Yadav,Kuldeep Yadav,Varun Chakravarthy,Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav
Kuldeep Yadav,Arshdeep Singh,Varun Chakravarthy,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Ravi Bishnoi,Arshdeep Singh,Ravi Bishnoi
Arshdeep Singh,Varun Chakravarthy,Arshdeep Singh,Mohammed Siraj,Jasprit Bumrah,Mohammed Siraj,Jasprit Bumrah,Ravi Bishnoi,Arshdeep Singh,Jasprit Bumrah,Mohammed Siraj
Jasprit Bumrah,Jasprit Bumrah,Jasprit Bumrah,Jasprit Bumrah,Mohammed Siraj,Jasprit Bumrah,Mohammed Siraj,Jasprit Bumrah,Jasprit Bumrah,Varun Chakravarthy,Jasprit Bumrah
