Afghanistan,Australia,Bangladesh,England,India,Ireland,New Zealand,South Africa,Sri Lanka,West Indies,Zimbabwe
Saim Ayub,Saim Ayub,Saim Ayub,Saim Ayub,Fakhar Zaman,Saim Ayub,Saim Ayub,Saim Ayub,Fakhar Zaman,Saim Ayub,Saim Ayub
Fakhar Zaman,Fakhar Zaman,Fakhar Zaman,Fakhar Zaman,Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Fakhar Zaman,Fakhar Zaman
Babar Azam,Babar Azam,Babar Azam,Babar Azam,Babar Azam,Babar Azam,Babar Azam,Babar Azam,Babar Azam,Babar Azam,Babar Azam
Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan,Mohammad Rizwan
Saud Shakeel,Saud Shakeel,Saud Shakeel,Saud Shakeel,Saud Shakeel,Saud Shakeel,Saud Shakeel,Saud Shakeel,Saud Shakeel,Saud Shakeel,Saud Shakeel
Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha
Shadab Khan,Shadab Khan,Shadab Khan,Shadab Khan,Iftikhar Ahmed,Iftikhar Ahmed,Iftikhar Ahmed,Iftikhar Ahmed,Iftikhar Ahmed,Iftikhar Ahmed,Iftikhar Ahmed
Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi
Naseem Shah,Naseem Shah,Naseem Shah,Naseem Shah,Haris Rauf,Naseem Shah,Naseem Shah,Naseem Shah,Haris Rauf,Naseem Shah,Naseem Shah
Haris Rauf,Haris Rauf,Haris Rauf,Haris Rauf,Mohammad Wasim Jr,Haris Rauf,Haris Rauf,Haris Rauf,Mohammad Wasim Jr,Haris Rauf,Haris Rauf
Abrar Ahmed,Abrar Ahmed,Mohammad Hasnain,Abrar Ahmed,Abrar Ahmed,Mohammad Hasnain,Abrar Ahmed,Abrar Ahmed,Abrar Ahmed,Abrar Ahmed,Mohammad Hasnain
