Afghanistan,Australia,Bangladesh,England,India,Ireland,New Zealand,South Africa,Sri Lanka,West Indies,Zimbabwe
Saim Ayub,Saim Ayub,Saim Ayub,Saim Ayub,Saim Ayub,Saim Ayub,Saim Ayub,Saim Ayub,Sahibzada Farhan,Saim Ayub,Saim Ayub
Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Sahibzada Farhan,Fakhar Zaman,Sahibzada Farhan,Sahibzada Farhan
Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Babar Azam,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha,Salman Ali Agha
Babar Azam,Babar Azam,Babar Azam,Babar Azam,Salman Ali Agha,Babar Azam,Babar Azam,Babar Azam,Khawaja Nafay,Babar Azam,Babar Azam
Usman Khan,Usman Khan,Usman Khan,Usman Khan,Usman Khan,Usman Khan,Usman Khan,Usman Khan,Usman Khan,Usman Khan,Usman Khan
Shadab Khan,Shadab Khan,Mohammad Nawaz,Shadab Khan,Shadab Khan,Mohammad Nawaz,Shadab Khan,Mohammad Nawaz,Shadab Khan,Mohammad Nawaz,Shadab Khan
Mohammad Nawaz,Mohammad Nawaz,Shadab Khan,Mohammad Nawaz,Mohammad Nawaz,Shadab Khan,Mohammad Nawaz,Shadab Khan,Mohammad Nawaz,Shadab Khan,Mohammad Nawaz
Shaheen Afridi,Shaheen Afridi,Faheem Ashraf,Shaheen Afridi,Shaheen Afridi,Faheem Ashraf,Shaheen Afridi,Shaheen Afridi,Shaheen Afridi,Faheem Ashraf,Faheem Ashraf
Naseem Shah,Naseem Shah,Shaheen Afridi,Naseem Shah,Naseem Shah,Shaheen Afridi,Naseem Shah,Naseem Shah,Naseem Shah,Shaheen Afridi,Shaheen Afridi
Abrar Ahmed,Abrar Ahmed,Naseem Shah,Abrar Ahmed,Abrar Ahmed,Naseem Shah,Abrar Ahmed,Abrar Ahmed,Abrar Ahmed,Naseem Shah,Naseem Shah
Usman Tariq,Usman Tariq,Abrar Ahmed,Usman Tariq,Usman Tariq,Abrar Ahmed,Usman Tariq,Usman Tariq,Usman Tariq,Abrar Ahmed,Abrar Ahmed
