Date,Series,Full Venue Name,Toss Winner,Toss Decis,1st Inn Runs,1st Inn Wk,2nd Inn Runs,2nd Inn Wk,Result,Player of the Match,Start Time
24/03/07,AFG v IRE,Sharjah Cricket Stadium,Ireland,Bowl,310,5,275,8,AFG (35 runs),Rahmanullah Gurbaz,15:30
24/03/12,AFG v IRE,Sharjah Cricket Stadium,Ireland,Bowl,236,9,119,10,AFG (117 runs),Mohammad Nabi,15:30
24/10/02,IRE v SA,Sheikh Zayed Stadium,South Africa,Bat,271,9,132,10,SA (139 runs),Ryan Rickelton,15:30
24/10/04,IRE v SA,Sheikh Zayed Stadium,South Africa,Bat,343,4,169,9,SA (174 runs),Tristan Stubbs,15:30
24/10/07,IRE v SA,Sheikh Zayed Stadium,Ireland,Bat,284,9,215,10,IRE (69 runs),Paul Stirling,15:30
25/02/14,ZIM v IRE,Harare Sports Club,Zimbabwe,Bat,268,8,219,10,ZIM (49 runs),Sikandar Raza,9:30
25/02/16,ZIM v IRE,Harare Sports Club,Ireland,Bowl,194,10,197,4,IRE (6 wkts),Josh Little,9:30
25/02/18,ZIM v IRE,Harare Sports Club,Zimbabwe,Bowl,162,10,165,1,ZIM (9 wkts),Richard Ngarava,9:30
25/05/21,IRE v WI,Castle Avenue,Ireland,Bat,302,7,178,10,IRE (124 runs),Harry Tector,10:45
25/05/23,IRE v WI,Castle Avenue,West Indies,Bowl,48,2,0,0,No Result,N/A,10:45
25/05/25,IRE v WI,Castle Avenue,West Indies,Bat,341,5,144,10,WI (197 runs),Shai Hope,10:45
