Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R
Abdul Malik,Abdul Malik,2024-,4,3,122,0,84,40.67,0,0,  -,  -
Abdul Rahman,Abdul Rahman,2023-,3,3,10,0,4,5,1,0,133,7.67
Azmatullah Omarzai,Azmatullah Omarzai,2021-,42,34,1093,1,149,43.72,44,3,27.25,5.36
Bashir Ahmad,Bashir Ahmad,2025-,2,1,0,0,0,0,0,0,  -,7.83
Bilal Sami,Bilal Sami,2024-,2,1,0,0,0,0,5,1,11.6,5.7
Darwish Rasooli,Darwish Rasooli,2024-,1,0,0,0,0,0,0,0,  -,  -
Fareed Ahmad,Fareed Ahmad,2014-,19,8,46,0,17,11.5,25,0,27.08,5.41
Fazalhaq Farooqi,Fazalhaq Farooqi,2022-,42,21,21,0,6,3.5,52,5,32.62,5.73
A M Ghazanfar,A M Ghazanfar,2024-,14,6,59,0,31,11.8,23,2,16.78,4.23
Gulbadin Naib,Gulbadin Naib,2011-,89,78,1332,0,82,19.88,74,4,36.16,5.57
Hashmatullah Shahidi,Hashmatullah Shahidi,2013-,93,91,2474,0,97,32.99,0,0,  -,8.33
Ibrahim Zadran,Ibrahim Zadran,2019-,39,39,1869,6,177,51.92,0,0,  -,  -
Ikram Ali Khil,Ikram Ali Khil,2019-,32,23,386,0,86,21.44,0,0,  -,  -
Karim Janat,Karim Janat,2017-,3,3,32,0,22,10.67,0,0,  -,6.92
Mohammad Nabi,Mohammad Nabi,2009-,176,154,3762,2,136,27.66,176,5,32.57,4.3
Mohammad Saleem,Mohammad Saleem,2023-,2,0,0,0,0,0,0,0,  -,6.77
Mujeeb Ur Rahman,Mujeeb Ur Rahman,2017-,75,39,236,0,64,9.08,101,4,28.35,4.33
Najibullah Zadran,Najibullah Zadran,2012-,92,84,2060,1,104,29.01,0,0,  -,6
Nangeyalia Kharote,Nangeyalia Kharote,2024-,10,6,64,0,27,12.8,13,2,18.38,3.55
Naveed Zadran,Naveed Zadran,2024-,3,2,10,0,9,10,3,0,26.33,7.18
Naveen-ul-Haq,Naveen-ul-Haq,2016-,15,10,37,0,10,7.4,22,1,32.18,6.15
Noor Ahmad,Noor Ahmad,2022-,13,6,46,0,26,9.2,10,0,64.4,6.09
Qais Ahmad,Qais Ahmad,2022-,3,2,12,0,11,6,6,0,22.17,6.14
Rahmanullah Gurbaz,Rahmanullah Gurbaz,2021-,52,52,1888,8,151,37.02,0,0,  -,  -
Rahmat Shah,Rahmat Shah,2013-,125,120,4034,5,114,35.39,15,1,35.47,5.88
Rashid Khan,Rashid Khan,2015-,117,89,1393,0,60,19.08,210,12,19.65,4.21
Riaz Hassan,Riaz Hassan,2022-,7,6,165,0,50,27.5,0,0,  -,  -
Sediqullah Atal,Sediqullah Atal,2024-,12,11,377,1,104,34.27,0,0,  -,  -
Shahidullah Kamal,Shahidullah Kamal,2022-,3,3,39,0,37,13,0,0,  -,5.33
Sharafuddin Ashraf,Sharafuddin Ashraf,2014-,20,12,70,0,21,8.75,14,0,46.5,4.42
Zia-Ur-Rehman,Zia-Ur-Rehman,2023-,1,1,5,0,5,5,0,0,  -,6.29
