Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
S A Abbott,Sean Abbott,2014-,29,21,374,0,69,19.68,35,0,36.31,5.73,
A C Agar,Ashton Agar,2015-,22,18,322,0,48,24.77,21,0,45.62,5.23,
X C Bartlett,Xavier Bartlett,2024-,5,2,11,0,8,5.5,15,2,11.13,4.06,
A T Carey,Alex Carey,2018-,85,77,2245,1,106,35.08,0,0,  -,  -,
C Connolly,Cooper Connolly,2024-,8,5,94,0,61,31.33,6,1,22.83,5.27,
P J Cummins,Pat Cummins,2011-,90,59,537,0,37,14.51,143,7,28.78,5.27,
T H David,Tim David,2023-,4,4,45,0,35,11.25,1,0,20,10,
B J Dwarshuis,Ben Dwarshuis,2024-,6,3,61,0,33,20.33,11,0,24.55,5.51,
N Ellis,Nathan Ellis,2022-,17,12,106,0,18,13.25,18,0,43.28,5.58,
J Fraser-Mcgurk,Jake Fraser-McGurk,2024-,7,7,98,0,41,14,0,0,  -,  -,
C Green,Cameron Green,2020-,31,27,782,1,118,43.44,20,1,39.2,5.78,
A M Hardie,Aaron Hardie,2023-,15,12,180,0,44,15,10,0,39.2,5.52,
J R Hazlewood,Josh Hazlewood,2010-,96,38,135,0,23,15,142,4,27.66,4.73,
T M Head,Travis Head,2016-,79,76,3007,7,154,43.58,28,2,41.14,5.75,
J P Inglis,Josh Inglis,2022-,33,29,766,1,120,29.46,0,0,  -,  -,
S H Johnson,Spencer Johnson,2023-,5,3,12,0,12,12,4,0,59,5.9,
M P Kuhnemann,Matthew Kuhnemann,2022-,5,2,16,0,15,8,8,0,27.13,5.17,
M Labuschagne,Marnus Labuschagne,2020-,66,58,1871,2,124,34.65,10,0,35.8,6.65,
M R Marsh,Mitchell Marsh,2011-,99,95,3098,4,177,37.33,57,2,35.72,5.52,
G J Maxwell,Glenn Maxwell,2012-,149,136,3990,4,201,33.81,77,4,47.32,5.46,
L R T Morris,Lance Morris,2024-,3,1,0,0,0,0,4,0,24,4.68,
M G Neser,Michael Neser,2018-,4,4,11,0,6,2.75,3,0,79.67,6.52,
M J Owen,Mitchell Owen,2025-,3,2,37,0,36,18.5,2,0,21,7,
J R Philippe,Josh Philippe,2021-,4,4,102,0,39,25.5,0,0,  -,  -,
M T Renshaw,Matt Renshaw,2025-,3,3,107,0,56,53.5,0,0,  -,  -,
T Sangha,Tanveer Sangha,2023-,4,3,6,0,5,6,2,0,100,6.9,
M W Short,Matt Short,2023-,18,16,392,0,74,24.5,2,0,161.5,5.77,
S P D Smith,Steve Smith,2010-,170,154,5800,12,164,43.28,28,0,34.68,5.41,
M A Starc,Mitchell Starc,2010-,130,77,583,0,52,11.66,247,21,23.59,5.27,
M P Stoinis,Marcus Stoinis,2015-,71,64,1495,1,146,26.7,48,0,43.13,6,
W Sutherland,Will Sutherland,2024-,2,1,18,0,18,18,2,0,16.5,3.88,
A Zampa,Adam Zampa,2016-,116,59,378,0,36,9.95,196,13,28.59,5.56,
