Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
S A Abbott,Sean Abbott,2014-,29,13,50,0,13,7.14,34,1,25.15,9.33,
A C Agar,Ashton Agar,2016-,49,29,279,0,29,11.63,49,2,23.04,6.5,
X C Bartlett,Xavier Bartlett,2024-,21,11,73,0,34,10.43,24,0,22.04,7.95,
M Beardman,Mahli Beardman,2026-,1,0,0,0,0,0,2,0,16.5,8.25,
J P Behrendorff,Jason Behrendorff,2017-,17,2,7,0,5,7,18,1,24.61,8.36,
A T Carey,Alex Carey,2018-,42,29,267,0,37,11.13,0,0,  -,  -,
C Connolly,Cooper Connolly,2024-,11,7,28,0,13,4.67,3,0,77,9.24,
P J Cummins,Pat Cummins,2011-,57,27,158,0,28,10.53,66,0,23.44,7.4,
T H David,Tim David,2022-,57,46,1044,1,102,30.71,0,0,  -,  -,
B J Dwarshuis,Ben Dwarshuis,2022-,15,11,63,0,17,7.88,22,1,24.36,9.4,
J R Edwards,Jack Edwards,2026-,1,1,5,0,5,5,0,0,  -,12.5,
N Ellis,Nathan Ellis,2021-,36,11,39,0,12,7.8,55,2,17.78,7.79,
J Fraser-Mcgurk,Jake Fraser-McGurk,2024-,8,8,115,0,50,14.38,0,0,  -,  -,
C Green,Cameron Green,2022-,28,26,638,0,62,29,14,0,25,9.09,
C J Green,Chris Green,2023-,1,1,2,0,2,0,0,0,  -,9,
A M Hardie,Aaron Hardie,2023-,16,11,180,0,28,22.5,13,0,26.62,8.65,
J R Hazlewood,Josh Hazlewood,2013-,60,12,29,0,13,9.67,79,4,21.32,7.5,
T M Head,Travis Head,2016-,53,51,1335,0,91,28.4,1,0,56,9.33,
J P Inglis,Josh Inglis,2022-,46,43,1000,2,110,27.78,0,0,  -,  -,
S H Johnson,Spencer Johnson,2023-,8,1,0,0,0,0,14,1,17.07,8.96,
M P Kuhnemann,Matthew Kuhnemann,2025-,8,3,7,0,5,3.5,3,0,73.33,8.15,
M R Marsh,Mitchell Marsh,2011-,85,80,2220,1,103,33.64,17,0,22.76,7.74,
G J Maxwell,Glenn Maxwell,2012-,130,118,2897,5,145,28.97,51,0,29.9,8.1,
B R McDermott,Ben McDermott,2018-,25,23,342,0,54,18,0,0,  -,  -,
R P Meredith,Riley Meredith,2021-,6,0,0,0,0,0,9,0,24.67,9.72,
M J Owen,Mitchell Owen,2025-,15,11,179,0,50,17.9,2,0,29.5,11.8,
J R Philippe,Josh Philippe,2021-,17,15,186,0,45,12.4,0,0,  -,  -,
M T Renshaw,Matt Renshaw,2026-,6,5,120,0,65,24,0,0,  -,  -,
K W Richardson,Kane Richardson,2014-,36,7,17,0,9,4.25,45,1,23.53,8.4,
T Sangha,Tanveer Sangha,2023-,7,1,2,0,2,0,10,1,24.9,8.89,
M W Short,Matt Short,2023-,24,22,416,0,66,20.8,9,1,22.89,11.44,
S P D Smith,Steve Smith,2010-,67,55,1094,0,90,25.44,17,0,22.18,7.77,
M A Starc,Mitchell Starc,2012-,65,21,98,0,14,9.8,79,1,23.86,7.76,
M P Stoinis,Marcus Stoinis,2015-,87,70,1416,0,78,30.78,53,1,25.04,8.8,
A J Turner,Ashton Turner,2017-,19,14,110,0,24,12.22,4,0,20.5,6.31,
M S Wade,Matthew Wade,2011-,92,68,1202,0,80,26.13,0,0,  -,  -,
A Zampa,Adam Zampa,2016-,115,30,80,0,13,4.71,147,6,20.64,7.42,
