Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
Afif Hossain,Afif Hossain,2020-,38,33,713,0,93,27.42,4,0,32.5,6,
Anamul Haque,Anamul Haque,2012-,49,46,1352,3,120,29.39,0,0,  -,  -,
Ebadat Hossain,Ebadot Hossain,2022-,12,6,3,0,1,1.5,22,2,22.91,5.6,
Hasan Mahmud,Hasan Mahmud,2021-,26,17,63,0,15,4.85,33,1,35,6.13,
Jaker Ali,Jaker Ali,2024-,12,12,394,0,68,39.4,0,0,  -,  -,
Khaled Ahmed,Khaled Ahmed,2023-,2,2,1,0,1,1,3,0,24,5.4,
Litton Das,Litton Das,2015-,101,100,2783,5,176,30.58,0,0,  -,  -,
Mahedi Hasan,Mahedi Hasan,2021-,11,10,122,0,29,15.25,14,1,31.14,4.95,
Mahidul Islam Ankon,Mahidul Islam Ankon,2025-,3,3,69,0,46,23,0,0,  -,  -,
Mahmudullah,Mahmudullah,2007-,239,209,5689,4,128,36.47,82,0,46.45,5.22,
Mehidy Hasan Miraz,Mehidy Hasan Miraz,2017-,120,89,1827,2,112,24.04,128,5,36.34,4.72,
Mohammad Naim,Mohammad Naim,2020-,9,8,102,0,28,12.75,0,0,  -,  -,
Mrittunjoy Chowdhury,Mrittunjoy Chowdhury,2023-,1,1,8,0,8,8,0,0,  -,8,
Mushfiqur Rahim,Mushfiqur Rahim,2006-,274,256,7795,9,144,36.43,0,0,  -,  -,
Mustafizur Rahman,Mustafizur Rahman,2015-,120,61,179,0,20,7.16,188,12,26.33,5.17,
Nahid Rana,Nahid Rana,2024-,11,5,9,0,4,0,21,2,24,4.99,
Najmul Hossain Shanto,Najmul Hossain Shanto,2018-,64,63,1914,4,122,32.44,2,0,61.5,6.36,
Nasum Ahmed,Nasum Ahmed,2022-,20,13,201,0,44,18.27,21,0,33.67,4.35,
Nurul Hasan,Nurul Hasan,2016-,13,11,237,0,45,33.86,0,0,  -,  -,
Parvez Hossain Emon,Parvez Hossain Emon,2025-,3,3,108,0,67,36,0,0,  -,  -,
Rishad Hossain,Rishad Hossain,2023-,19,15,182,0,48,15.17,29,1,28.55,5.31,
Rony Talukdar,Rony Talukdar,2023-,1,1,4,0,4,4,0,0,  -,  -,
Saif Hassan,Saif Hassan,2025-,12,12,297,0,80,24.75,4,0,16,4.22,
Shakib Al Hasan,Shakib Al Hasan,2006-,247,234,7570,9,134,37.29,317,14,29.53,4.47,
Shamim Hossain,Shamim Hossain,2023-,7,7,67,0,22,9.57,2,0,41,4.82,
Shoriful Islam,Shoriful Islam,2021-,43,25,102,0,16,6.8,63,3,28.33,5.34,
Soumya Sarkar,Soumya Sarkar,2014-,81,76,2364,3,169,32.83,17,0,34.94,6.12,
Taijul Islam,Taijul Islam,2014-,20,12,110,0,39,11,31,2,25.97,4.6,
Tamim Iqbal,Tamim Iqbal,2007-,243,240,8357,14,158,36.65,0,0,  -,13,
Tanvir Islam,Tanvir Islam,2025-,10,8,42,0,11,6,16,1,27.56,4.5,
Tanzid Hasan,Tanzid Hasan,2023-,34,33,812,1,107,25.38,0,0,  -,  -,
Tanzim Hasan Sakib,Tanzim Hasan Sakib,2023-,15,11,151,0,45,18.88,24,0,27.29,5.75,
Taskin Ahmed,Taskin Ahmed,2014-,88,49,244,0,21,6.97,126,9,29.58,5.36,
Towhid Hridoy,Towhid Hridoy,2023-,50,45,1459,1,100,37.41,0,0,  -,12,
Zakir Hasan,Zakir Hasan,1997-,2,1,1,0,1,1,0,0,  -,8.5,
Zakir Hasan,Zakir Hasan,2024-,1,1,4,0,4,4,0,0,  -,  -,
