Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
Afif Hossain,Afif Hossain,2018-,70,64,1117,0,77,20.31,12,0,21.67,7.65,
Hasan Mahmud,Hasan Mahmud,2020-,26,9,50,0,26,25,28,0,24.75,7.79,
Hasan Murad,Hasan Murad,2023-,2,0,0,0,0,0,0,0,  -,8,
Jaker Ali,Jaker Ali,2023-,48,43,752,0,72,25.07,0,0,  -,  -,
Khaled Ahmed,Khaled Ahmed,2025-,1,0,0,0,0,0,0,0,  -,9.25,
Litton Das,Litton Das,2015-,121,119,2676,0,83,23.47,0,0,  -,  -,
Mahedi Hasan,Mahedi Hasan,2018-,71,48,427,0,33,11.86,69,2,24.16,6.75,
Mahmudul Hasan Joy,Mahmudul Hasan Joy,2023-,3,2,5,0,5,2.5,0,0,  -,15,
Mahmudullah,Mahmudullah,2007-,141,130,2444,0,64,23.5,41,0,27.68,7.17,
Mehidy Hasan Miraz,Mehidy Hasan Miraz,2017-,34,29,418,0,46,16.72,18,1,37.06,8.55,
Mohammad Naim,Mohammad Naim,2019-,38,38,860,0,81,23.89,0,0,  -,  -,
Mohammad Saifuddin,Mohammad Saifuddin,2017-,47,26,272,0,39,20.92,52,1,26.42,8.55,
Mrittunjoy Chowdhury,Mrittunjoy Chowdhury,2023-,1,1,4,0,4,4,0,0,  -,14,
Mustafizur Rahman,Mustafizur Rahman,2015-,126,37,112,0,15,5.6,158,5,20.97,7.28,
Nahid Rana,Nahid Rana,2025-,1,0,0,0,0,0,2,0,25,12.5,
Najmul Hossain Shanto,Najmul Hossain Shanto,2019-,50,48,987,0,71,22.95,0,0,  -,8.67,
Nasum Ahmed,Nasum Ahmed,2021-,49,24,115,0,20,8.85,49,3,22.96,7.1,
Nurul Hasan,Nurul Hasan,2016-,55,50,570,0,42,18.39,0,0,  -,  -,
Parvez Hossain Emon,Parvez Hossain Emon,2022-,31,31,635,1,100,21.9,0,0,  -,  -,
Rakibul Hasan,Rakibul Hasan,2023-,3,2,18,0,14,18,2,0,27.5,7.86,
Ripon Mondol,Ripon Mondol,2023-,4,1,0,0,0,0,4,0,24.75,9,
Rishad Hossain,Rishad Hossain,2023-,56,33,213,0,53,8.52,73,0,20.84,8.12,
Rony Talukdar,Rony Talukdar,2015-,11,10,224,0,67,22.4,0,0,  -,  -,
Saif Hassan,Saif Hassan,2021-,22,21,460,0,69,25.56,2,0,61,7.11,
Shahadat Hossain,Shahadat Hossain,2006-,8,6,13,0,5,4.33,4,0,49.5,9.9,
Shahadat Hossain,Shahadat Hossain,2023-,1,1,21,0,21,21,0,0,  -,  -,
Shakib Al Hasan,Shakib Al Hasan,2006-,129,126,2551,0,84,23.19,149,8,20.92,6.81,
Shamim Hossain,Shamim Hossain,2021-,48,39,610,0,51,19.68,2,0,67.5,7.86,
Shoriful Islam,Shoriful Islam,2021-,60,24,89,0,16,5.93,64,0,25.06,8.13,
Soumya Sarkar,Soumya Sarkar,2015-,87,86,1462,0,68,17.83,12,0,37.58,9.4,
Sumon Khan,Sumon Khan,2023-,1,0,0,0,0,0,0,0,  -,10,
Tanvir Islam,Tanvir Islam,2023-,6,3,12,0,8,12,4,0,34,8,
Tanzid Hasan,Tanzid Hasan,2024-,46,46,1140,0,89,27.8,0,0,  -,  -,
Tanzim Hasan Sakib,Tanzim Hasan Sakib,2023-,41,23,195,0,50,13,48,1,25.04,8.3,
Taskin Ahmed,Taskin Ahmed,2014-,86,39,223,0,31,9.7,106,3,22.2,7.76,
Towhid Hridoy,Towhid Hridoy,2023-,58,52,1228,0,83,28.56,0,0,  -,15,
Yasir Ali,Yasir Ali,2022-,11,11,128,0,42,16,0,0,  -,  -,
Zakir Hasan,Zakir Hasan,2023-,3,3,1,0,1,0.33,0,0,  -,  -,
