Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
J C Archer,Jofra Archer,2019-,36,22,207,0,38,18.82,65,3,24.38,5.02,
A A P Atkinson,Gus Atkinson,2023-,11,8,104,0,38,17.33,13,0,40.54,6.7,
J M Bairstow,Jonny Bairstow,2011-,107,98,3868,11,141,42.98,0,0,  -,  -,
S Baker,Sonny Baker,2025-,1,1,0,0,0,0,0,0,  -,10.86,
T Banton,Tom Banton,2020-,7,6,172,0,58,28.67,0,0,  -,  -,
J G Bethell,Jacob Bethell,2024-,21,19,603,1,110,33.5,8,0,46.38,7.47,
H C Brook,Harry Brook,2023-,38,38,1354,3,136,39.82,0,0,  -,  -,
J C Buttler,Jos Buttler,2012-,199,171,5515,11,162,39.11,0,0,  -,  -,
B A Carse,Brydon Carse,2021-,30,21,264,0,36,17.6,34,1,40.44,6.34,
J M Cox,Jordan Cox,2024-,3,3,22,0,17,7.33,0,0,  -,  -,
Z Crawley,Zak Crawley,2021-,9,9,205,0,58,25.63,0,0,  -,  -,
S M Curran,Sam Curran,2018-,41,31,642,0,95,22.93,37,2,42.49,6.18,
L A Dawson,Liam Dawson,2016-,9,6,65,0,20,10.83,9,0,44.78,5.45,
B M Duckett,Ben Duckett,2016-,34,34,1345,3,165,40.76,0,0,  -,  -,
S R Hain,Samuel Hain,2023-,2,2,106,0,89,53,0,0,  -,  -,
T W Hartley,Tom Hartley,2023-,2,1,12,0,12,0,0,0,  -,4.8,
W G Jacks,Will Jacks,2023-,23,21,629,0,94,33.11,9,0,49.67,6.21,
L S Livingstone,Liam Livingstone,2021-,39,36,932,1,124,31.07,25,0,39.28,6.09,
S Mahmood,Saqib Mahmood,2020-,17,7,31,0,12,10.33,25,1,29.12,5.19,
D J Malan,Dawid Malan,2019-,30,30,1450,6,140,55.77,1,0,17,6.8,
Moeen Ali,Moeen Ali,2014-,138,112,2355,3,128,24.28,111,2,47.85,5.32,
D R Mousley,Dan Mousley,2024-,3,3,69,0,57,34.5,0,0,  -,8.5,
J Overton,Jamie Overton,2024-,13,10,272,0,68,27.2,14,0,29.5,5.87,
M J Potts,Matthew Potts,2022-,11,6,45,0,15,45,12,1,33.33,5.97,
A U Rashid,Adil Rashid,2009-,161,87,971,0,69,16.74,242,12,31.29,5.62,
Rehan Ahmed,Rehan Ahmed,2023-,9,7,99,0,27,14.14,12,1,29.25,5.32,
J E Root,Joe Root,2013-,189,178,7577,20,166,49.52,30,0,58.17,5.92,
P D Salt,Phil Salt,2021-,33,31,988,1,122,31.87,0,0,  -,  -,
G L S Scrimshaw,George Scrimshaw,2023-,2,0,0,0,0,0,3,0,22,7.62,
J L Smith,Jamie Smith,2023-,19,18,392,0,64,21.78,0,0,  -,  -,
B A Stokes,Ben Stokes,2011-,114,99,3463,5,182,41.23,74,2,42.39,6.05,
O P Stone,Olly Stone,2018-,10,6,24,0,9,8,9,1,44.33,6.08,
R J W Topley,Reece Topley,2015-,30,14,35,0,15,11.67,47,3,26.74,5.42,
J A Turner,John Turner,2024-,2,1,2,0,2,0,2,0,34,6.18,
D J Willey,David Willey,2015-,73,46,663,0,51,24.56,100,5,29.77,5.52,
L Wood,Luke Wood,2022-,2,2,15,0,10,15,1,0,113,6.28,
M A Wood,Mark Wood,2015-,70,29,168,0,43,12.92,80,2,40.83,5.59,
