Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
J C Archer,Jofra Archer,2019-,45,18,114,0,21,11.4,57,1,24.16,8.31,
A A P Atkinson,Gus Atkinson,2023-,4,2,10,0,8,10,6,1,20.33,11.26,
J M Bairstow,Jonny Bairstow,2011-,80,72,1671,0,90,29.84,0,0,  -,  -,
S Baker,Sonny Baker,2025-,1,0,0,0,0,0,0,0,  -,13,
T Banton,Tom Banton,2019-,35,32,696,0,73,25.78,0,0,  -,  -,
J G Bethell,Jacob Bethell,2024-,31,29,697,1,105,29.04,8,1,16.88,8.71,
H C Brook,Harry Brook,2022-,63,55,1303,1,100,30.3,0,0,  -,  -,
J C Buttler,Jos Buttler,2011-,155,143,4037,1,101,33.64,0,0,  -,  -,
B A Carse,Brydon Carse,2023-,14,8,46,0,31,9.2,20,0,20.6,9.22,
J M Cox,Jordan Cox,2024-,6,4,88,0,55,22,0,0,  -,  -,
S M Curran,Sam Curran,2019-,75,49,696,0,58,20.47,66,1,27.98,8.73,
L A Dawson,Liam Dawson,2016-,32,10,79,0,34,11.29,32,1,24.06,7.76,
B M Duckett,Ben Duckett,2019-,21,21,527,0,84,27.74,0,0,  -,  -,
W G Jacks,Will Jacks,2022-,40,34,630,0,53,22.5,16,0,19.5,8.67,
C J Jordan,Chris Jordan,2014-,95,57,439,0,36,13.72,108,4,26.36,8.75,
L S Livingstone,Liam Livingstone,2017-,60,47,955,1,103,25.13,33,0,25.39,8.73,
S Mahmood,Saqib Mahmood,2019-,19,9,35,0,12,7,21,1,27.9,9.3,
D J Malan,Dawid Malan,2017-,62,60,1892,1,103,36.38,1,0,27,13.5,
T S Mills,Tymal Mills,2016-,15,5,8,0,7,2.67,14,0,32.93,9.1,
Moeen Ali,Moeen Ali,2014-,92,75,1229,0,72,21.19,51,0,27.14,8.31,
D R Mousley,Dan Mousley,2024-,4,1,8,0,8,8,2,0,41,9.11,
J Overton,Jamie Overton,2024-,24,15,88,0,19,8.8,25,0,19.08,8.25,
M J Potts,Matthew Potts,2025-,1,0,0,0,0,0,2,0,24,12,
A U Rashid,Adil Rashid,2009-,145,44,163,0,22,7.41,163,4,23.25,7.49,
Rehan Ahmed,Rehan Ahmed,2023-,13,9,74,0,19,14.8,15,0,24.07,9.5,
P D Salt,Phil Salt,2022-,60,56,1717,4,141,34.34,0,0,  -,  -,
J L Smith,Jamie Smith,2025-,5,5,130,0,60,26,0,0,  -,  -,
R J W Topley,Reece Topley,2015-,35,10,17,0,9,8.5,33,0,29.64,8.31,
J A Turner,John Turner,2024-,2,0,0,0,0,0,1,0,64,10.67,
L Wood,Luke Wood,2022-,16,2,4,0,3,4,19,0,22.47,8.9,
M A Wood,Mark Wood,2015-,38,7,27,0,10,13.5,54,0,20.24,8.45,
