Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
M R Adair,Mark Adair,2019-,54,39,469,0,32,18.04,71,6,33.96,5.82,
A Balbirnie,Andy Balbirnie,2010-,117,110,3264,9,145,32,2,0,53,6.24,
C Campher,Curtis Campher,2020-,43,35,1113,1,120,33.73,32,1,34.44,5.81,
C Carmichael,Cade Carmichael,2025-,3,2,64,0,48,32,0,0,  -,  -,
G J Delany,Gareth Delany,2020-,21,18,234,0,22,18,7,0,58.57,6.31,
G H Dockrell,George Dockrell,2010-,133,94,1459,0,91,22.45,111,4,35.89,4.91,
S T Doheny,Stephen Doheny,2023-,11,9,165,0,84,18.33,0,0,  -,  -,
F Hand,Fionn Hand,2024-,1,1,0,0,0,0,1,0,44,5.5,
G Hoey,Gavin Hoey,2024-,2,2,24,0,23,12,1,0,114,6.71,
G I Hume,Graham Hume,2022-,21,10,72,0,21,14.4,28,2,30.64,5.34,
M J Humphreys,Matthew Humphreys,2023-,6,3,6,0,4,6,1,0,211,5.15,
J B Little,Josh Little,2019-,42,15,81,0,29,8.1,61,4,34.34,6.22,
T Mayes,Thomas Mayes,2025-,2,1,8,0,8,0,1,0,72,5.54,
A R McBrine,Andy McBrine,2014-,96,65,920,0,79,18.4,91,3,37.59,4.58,
B J McCarthy,Barry McCarthy,2016-,48,31,220,0,41,9.17,81,4,29.21,5.9,
L McCarthy,Liam McCarthy,2025-,3,1,0,0,0,0,5,0,37,7.4,
J E Neill,Jordan Neill,2025-,1,0,0,0,0,0,0,0,  -,6.6,
P R Stirling,Paul Stirling,2008-,170,162,6005,14,177,37.77,43,2,45.16,4.77,
H T Tector,Harry Tector,2020-,54,49,1992,5,140,46.33,4,0,65.5,6.39,
L J Tucker,Lorcan Tucker,2019-,58,48,1054,0,85,25.1,0,0,  -,  -,
T F van Woerkom,Theo van Woerkom,2023-,4,2,11,0,9,0,5,0,35.2,6.29,
B C White,Ben White,2023-,2,0,0,0,0,0,1,0,118,6.56,
C A Young,Craig Young,2014-,48,27,166,0,40,13.83,81,2,25.85,5.46,
